key	text	tooltip
#Loc;1;text/mtu_text/[01]__MTU_generals__Fire_vanguard.loc		
land_units_onscreen_name_3k_mtu_hero_fire_chunyu_qiong	Chunyu Qiong	false
land_units_onscreen_name_3k_mtu_general_fire_chunyu_qiong	Chunyu Qiong	false
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_chunyu_qiong_01	Commandant	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_chunyu_qiong_02	Colonel	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_chunyu_qiong_03	Imperial General	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_zhang_bao_01	Son of the Brawling Tiger	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_zhang_bao_01	Inheriting his father’s spirit and ferocity, Zhang Bao revels in the rush of the battlefield, again and again proving himself to be worthy of his father’s legacy.	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_chunyu_qiong_reborn	Imperial General	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_chunyu_qiong_reborn	Once, Chunyu Qiong was a colonel of the Emperor’s own army. He will regain that pride.	true
land_units_onscreen_name_3k_mtu_hero_fire_lady_zhang_xingcai	Zhang Xueer	false
land_units_onscreen_name_3k_mtu_general_fire_lady_zhang_xingcai	Zhang Xueer	false
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_zhang_xingcai_01	Empress Zhang	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_zhang_xingcai_01	Of energetic and bright personality, she inherited her mother’s feminine charms but her father’s resilience and constitution. With a tiger for a father, only an Emperor will be a worthy husband.	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_zhang_xingcai_01	Commandant	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_zhang_xingcai_02	General	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_zhang_xingcai_03	Empress Zhang	true
