key	text	tooltip
#Loc;1;text/mtu_text/[01]__MTU_generals__Water_strategist.loc		
land_units_onscreen_name_3k_mtu_hero_water_lady_lu_zheng	Lu Zheng	false
land_units_onscreen_name_3k_mtu_general_water_lady_lu_zheng	Lu Zheng	false
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_lu_zheng_01	Scout of Taiyuan	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_lu_zheng_01	She transforms the sound of her bow and movement of her troops into a violent and beautiful song and dance.	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_lu_zheng_01	Bandit	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_lu_zheng_02	Warlord	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_lu_zheng_03	Scout of Taiyuan	true
land_units_onscreen_name_3k_mtu_hero_water_hua_xin	Hua Xin	false
land_units_onscreen_name_3k_mtu_general_water_hua_xin	Hua Xin	false
ceo_nodes_title_3k_mtu_ceo_node_career_historical_hua_xin_01	Ignoble Opportunist	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_hua_xin_01	A man of measured approach, but also a keen opportunist that does not let go by a chance to climb higher.	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_hua_xin_01	Secretary	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_hua_xin_02	Chancellor	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_hua_xin_03	Ignoble Opportunist	true
land_units_onscreen_name_3k_mtu_hero_water_cai_yan	Cai Yan	false
land_units_onscreen_name_3k_mtu_general_water_cai_yan	Cai Yan	false
ceo_nodes_title_3k_dlc04_ceo_node_career_historical_lady_cai_yan_wenji_01	Tragic Writer	false
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_cai_yan_01	Tragic Writer	true
ceo_nodes_description_3k_dlc04_ceo_node_career_historical_lady_cai_yan_wenji_01	She never gave up in life - her art and her will were passed on from generation to generation.	false
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_cai_yan_01	She never gave up in life - her art and her will were passed on from generation to generation.	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_cai_yan_01	Kidnapped Girl	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_cai_yan_02	Suffered Woman	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_cai_yan_03	Spiritualized Rage	true
land_units_onscreen_name_3k_mtu_hero_metal_lady_xiao_qiao	Yuan Anyang	false
land_units_onscreen_name_3k_mtu_general_metal_lady_xiao_qiao	Yuan Anyang	false
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_xiao_qiao_01	Princess Zhong	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_xiao_qiao_01	The beauty and qualities of Yuan Anyang, a princess of the Kingdom of Zhong, are known throughout the land.	true
