key	text	tooltip
#Loc;1;text/mtu_text/[04]__MTU_events___Cai_family.loc		
dilemmas_localised_title_3k_mtu_global_event_xiong_nu_catches_cai_yan_dilemma_pc	Xiongnu's Invasion	true
dilemmas_localised_description_3k_mtu_global_event_xiong_nu_catches_cai_yan_dilemma_pc	A surprise invasion is launched by the Xiongnu and the city is devastated. Many are wounded or captured during the assault. One of your military advisors informs you that Cai Yong's daughter, the last of his line, Cai Yan is among those captured by the barbarians. The Xiongnu chanyu Liu Bao has placed a sizeable ransom price on her head.\\n	true
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_global_event_xiong_nu_catches_cai_yan_dilemma_pcFIRST	Pay the Chanyu's Price	true
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_global_event_xiong_nu_catches_cai_yan_dilemma_pcSECOND	Ignore the Barbarian's Demands	true
cdir_events_dilemma_choice_details_localised_choice_title_3k_mtu_global_event_xiong_nu_catches_cai_yan_dilemma_pcFIRST	You could not allow the last of the talented Cai Yong's children to be taken hostage, but the others are unhappy about the special treatment.	true
cdir_events_dilemma_choice_details_localised_choice_title_3k_mtu_global_event_xiong_nu_catches_cai_yan_dilemma_pcSECOND	You refused to pay the barbarian for his atrocities against you and your people. Many were captured - how could you put her above them all?	true
incidents_localised_title_3k_mtu_global_event_xiong_nu_kidnaps_cai_yan_incident_pc	Xiongnu's Invasion	true
incidents_localised_description_3k_mtu_global_event_xiong_nu_kidnaps_cai_yan_incident_pc	A surprise invasion is launched by the Xiongnu and your city is devastated. Many are wounded or captured during the assault. One of your military advisors informs you that Cai Yong's daughter, the last of his line, Cai Yan is among those captured by the barbarians. The Xiongnu chanyu Liu Bao has taken her and all the others back north with his horde.	true
dilemmas_localised_title_3k_mtu_global_event_cai_yong_death_dilemma_pc	A Remarkable Writer Laments 	true
dilemmas_localised_description_3k_mtu_global_event_cai_yong_death_dilemma_pc	After Dong Zhou's death, it was observed that the noted scholar Cai Yong mourned his passing. Upon hearing this, Wang Yun immediately sent troops to capture Cai Yong and ordered for his execution.\\n\\n "Cai Yong mourned as the tyrant lie dead! It's clear that his loyalty lied with Dong Zhou! Treason!" exclaimed Wang Yun, madness in his eyes.	true
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_global_event_cai_yong_death_dilemma_pcFIRST	Support Wang Yun's Order	true
