key	text	tooltip
#Loc;1;text/mtu_text/[04]__MTU_events___Concubine.loc		
dilemmas_localised_description_3k_mtu_leader_concubine_diao_chan_dilemma	Diaochan, a deadly beauty and a most beautiful woman who shook the hearts of countless men, has joined our faction. You rush out to greet her and, then at night, secretly call to her. She recalled the tyrant Dong Zhou, asking where your ambitions lie and of your true intentions to do justice. After all this, you contemplate making this beauty your concubine.	true
dilemmas_localised_description_3k_mtu_leader_concubine_da_qiao_dilemma	Da Qiao, the elder of the Two Qiaos of Jiangdong, a famous beauty and skilled musician, has come to your faction. You know of her skill as a musician and ask her to sing for you. Her soothing tones wash over you and you cannot help, but consider making her your concubine.	true
dilemmas_localised_description_3k_mtu_leader_concubine_xiao_qiao_dilemma	Xiao Qiao, the younger of the Two Qiaos of Jiangdong, a famous beauty and skillful musician, has joined your faction. You recall hearing of her adeptness with a zither and ask her to play for you. She plucks at the strings of her zither and your heart alike and, when she is finished, you relax in your seat and contemplate making her your concubine.	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_wu_dilemma	A letter was sent to Lady Wu of the famous Wu family in Jiangdong - no words, only a drawing of a dying tiger. Soon after, she came to visit you secretly and you brought her into your faction. Your time together reaffirms what’s said about Lady Wu - a practical approach and a devotion to her loved ones. You wonder if your family could be the benefactor of her piety. 	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_wang_dilemma	Wang Kuang’s spouse, Yijian Liting, has found her way to us. She’s as renowned for her courage in combat as she is her perseverance. As you share private moments with her, you find her desire to excel in all aspects of life to be admirable. Women, true of heart and ambitious, must be appreciated. Perhaps, she would be a fine concubine - making capable sons and daughters.	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_sun_dilemma	Sun Ren, born to a family of heroes and the daughter of legendary general Sun Jian, has joined your cause. Her prowess in martial combat is worthy of the name Sun. You meet the wildfire Lady Sun, flanked by a dozen of her personal handmaiden guard, in the courtyard. Her radiant beauty, strength, and intensity capture your imagination, giving thought to brighter days with Lady Sun as your concubine.	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_ma_dilemma	Hua Lanli, renowned for her archery skill, joined the faction. Like many warrior women of Liang Province, her face and hands are a bit rough, but fetching and formidable all the same. You gift to her several fine silk garments, rare gems, and provide exquisite meals. In your mind, the designs to make her your concubine have already taken flight like an arrow from her Goshawk bow.	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_dong_dilemma	The tyrant’s wife, Dong Peishan, has entered your court. Though she clearly possesses cruel tendencies, you can see the cunning intellectual and adept politician beneath. Enamored by her maturity and political talents, you contemplate what her addition as a concubine could provide. Upon presenting her troves of silks and jewels, you perceive her thoughts may perfectly align with yours.	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_ma_yunlu_dilemma	Ma Yunlu, kin to a myriad of heroic warriors, has come to join your ranks. She had been raised by a strong mother and watched her magnificent brother Ma Chao’s every move - the lessons had clearly served her well. You invited her on a horseback ride and were enthralled by her prowess on horse and her strong presence. You imagined the brood she would produce with you, and the blood she would spill for you.	true
dilemmas_localised_description_3k_mtu_leader_concubine_empress_he_dilemma	On an ordinary day, you receive a letter - it’s from the presumably deceased, but truly hidden Empress He! An envoy and small, trusted guard are sent to retrieve her. Upon arrival, despite her non-descript attire, she presents the powerful and dignified aura that made her a peerless politico. Your mind calculates what she could offer your ambitions, or if her presence could bring more harm than good.	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_zheng_jiang_dilemma	The Bandit Queen named Zheng Jiang joined your forces. A Taiyuan woman, infamous for her ferocity and skill, she carried a pair of well-crafted axes called the “Red Sisters”. Your welcome, a banquet with much wine, soon turned to sport as the Bandit Queen desired combat. Her martial display ended with two of your defeated bodyguards and much excitement. Perhaps, gold and glory would be ample trade to make her unending skill and free spirit yours.	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_lu_zheng_dilemma	Lu Zheng, the chief strategist and confidant to the Bandit Queen Zheng Jiang, comes under your employ. Her brilliance in military affairs is matched only by her considerable skill with a bow. You spend an evening together with a robust wine and fulfilling conversation. Her mind is as sharp as her approach is pointed. You must notch and fire this one like an arrow from her Wind of Taiyuan bow; without question, your foes will be cut down before you.	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_cai_yan_dilemma	Cai Yan, daughter of the famous calligraphist Cai Yong, has moved to your capital. The additional scholarly presence was warmly welcomed and, to express her gratitude for your hospitality, she composed a poem for you - a masterpiece of utmost eloquence. You, being so enamored by her written word, could not help, but want to join her lines with yours.	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_du_dilemma	A treasure came to us! Lady Du, considered one of the true beauties in all of China, has joined our court! It is known that each and every hero, warlord, and royal longed to make her theirs. You find yourself drawn to her like a moth to the flame and, after spending a great deal of time in her company and in self-contemplation, you must choose if you could see her with another.	false
dilemmas_localised_description_3k_mtu_leader_concubine_lady_feng_dilemma	We must truly have Heaven’s approval. Treated poorly by Yuan Shu’s concubines, Lady Feng has been driven into our waiting arms. She has served powerful lords, but, more importantly, she’s known to be pure-hearted and of great benevolence. Her presence alone seems to boost the spirits of the court and the public alike. Treat her well, pamper her and surely you will see the favor returned.	false
dilemmas_localised_description_3k_mtu_leader_concubine_lady_yuan_anyang_dilemma	Lady Yuan Anyang, the elegant and eldest daughter of Yuan Shu, has joined us. All across China, young nobles desired to have her hand in marriage as the Yuan’s have held the highest government offices for four generations. These family traits seemed to have passed down - her adeptness at state affairs is truly remarkable! Such a youthful talent should not go to waste ...	false
dilemmas_localised_description_3k_mtu_leader_concubine_lady_mi_dilemma	Our faction grows stronger! Lady Mi, of the wealthy and influential Mi clan, has joined us. Her family faithfully served Tao Qian for many years. She’s said to be a modest and loyal companion who is a boon to have at your side. The more thought you give to adding the daughter of a powerful Xuzhou family to your harem, the more enticing it seems.	false
