key	text	tooltip
#Loc;1;text/mtu_text/[05]__MTU_sys__Names.loc		
names_name_60007	Yunlu	false
names_alt_name_60007	雲騄	false
names_name_1289534361	Beng	false
names_alt_name_1289534361	崩	false
names_name_1770238896	Tu	false
names_alt_name_1770238896	土	false
names_name_1288691848	Lady Du	false
names_alt_name_1288691848	杜夫人	false
names_name_785834225	Lady Trieu	false
names_alt_name_785834225	趙嫗	false
names_name_528608323	Guoda	false
names_alt_name_528608323	國達	false
names_name_622849696	Xueer	false
names_alt_name_622849696	雪兒	false
names_name_1479868341	Yuan	false
names_alt_name_1479868341	蓮	false
names_name_962851362	Anguo	false
names_alt_name_962851362	安國	false
