key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_skills_additional.loc		
character_skills_localised_name_hv_skill_add_unlock_metal	First Characteristic	true
character_skills_localised_name_hv_skill_add_unlock_earth	First Characteristic	true
character_skills_localised_name_hv_skill_add_unlock_wood	First Characteristic	true
character_skills_localised_name_hv_skill_add_unlock_fire	First Characteristic	true
character_skills_localised_name_hv_skill_add_unlock_water	First Characteristic	true
character_skills_localised_description_hv_skill_add_unlock_metal	Someone who stands out among the people.	true
character_skills_localised_description_hv_skill_add_unlock_earth	Someone who stands out among the people.	true
character_skills_localised_description_hv_skill_add_unlock_wood	Someone who stands out among the people.	true
character_skills_localised_description_hv_skill_add_unlock_fire	Someone who stands out among the people.	true
character_skills_localised_description_hv_skill_add_unlock_water	Someone who stands out among the people.	true
effects_description_hv_effects_skill_add_unlock_metal	Unlocks unit: {{tr:hv_tr_metal}} units	true
effects_description_hv_effects_skill_add_unlock_earth	Unlocks unit: {{tr:hv_tr_earth}} units	true
effects_description_hv_effects_skill_add_unlock_wood	Unlocks unit: {{tr:hv_tr_wood}} units	true
effects_description_hv_effects_skill_add_unlock_fire	Unlocks unit: {{tr:hv_tr_fire}} units	true
effects_description_hv_effects_skill_add_unlock_water	Unlocks unit: {{tr:hv_tr_water}} units	true
		false
effects_description_hv_effect_dummy_unlock_unit_militia_2h_axemen	Unlocks unit: {{tr:hv_unit_militia_2h_axemen}}	true
effects_description_hv_effect_dummy_unlock_unit_hidden_2h_spearmen	Unlocks unit: {{tr:hv_unit_hidden_2h_spearmen}}	true
effects_description_hv_effect_dummy_unlock_unit_militia_scout_cavalry	Unlocks unit: {{tr:hv_unit_militia_scout_cavalry}}	true
effects_description_hv_effect_dummy_unlock_unit_buqu_of_the_left	Replaces unit: {{tr:hv_unit_buqu_of_the_left}} ({{tr:hv_unit_buqu_archers}})	true
effects_description_hv_effect_dummy_unlock_unit_fellows_of_the_oath	Unlocks unit: {{tr:hv_unit_fellows_of_the_oath}}	true
effects_description_hv_effect_dummy_unlock_unit_handmaid_guard	Replaces unit: {{tr:hv_unit_handmaid_guard}}	true
effects_description_hv_effect_dummy_unlock_unit_hidden_assault_infantry	Unlocks unit: {{tr:hv_unit_hidden_assault_infantry}}	true
effects_description_hv_effect_dummy_unlock_unit_xian_chen_ying	Unlocks unit: {{tr:hv_unit_xian_chen_ying}}	true
effects_description_hv_effect_dummy_unlock_unit_white_horse_fellows	Unlocks unit: {{tr:hv_unit_white_horse_fellows}}	true
effects_description_hv_effect_dummy_unlock_unit_goshawk_cavalry	Unlocks unit: {{tr:hv_unit_goshawk_cavalry}}	true
