key	text	tooltip
#Loc;1;text/mtu_text/[01]__MTU_generals__Wood_champion.loc		
land_units_onscreen_name_3k_mtu_hero_wood_shen_pei	Shen Pei	false
land_units_onscreen_name_3k_mtu_general_wood_shen_pei	Shen Pei	false
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_shen_pei_01	Commandant	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_shen_pei_02	General	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_shen_pei_03	Elite General	true
land_units_onscreen_name_3k_mtu_hero_wood_lady_lu_ji	Lü Ji	false
land_units_onscreen_name_3k_mtu_general_wood_lady_lu_ji	Lü Ji	false
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_lu_ji_01	Daughter of the Dragon	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_lu_ji_01	Much is expected from the Warrior Without Equal’s daughter, but the ravishing Lü Ji fights with both the skill and ferocity to live up to the Lü name.	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_lu_ji_01	Commandant	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_lu_ji_02	Soaring General	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_lu_ji_03	Daughter of the Dragon	true
land_units_onscreen_name_3k_mtu_hero_wood_lady_trieu	Lady Trieu	false
land_units_onscreen_name_3k_mtu_general_wood_lady_trieu	Lady Trieu	false
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_trieu_01	Free-spirited Heroine	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_trieu_01	An untamable woman of the Trieu Dynasty who fights to see her people free.	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_trieu_01	Commandant	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_trieu_02	 General	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_trieu_03	Free-spirited Heroine	true
land_units_onscreen_name_3k_mtu_hero_wood_luo_jun	Luo Jun	false
land_units_onscreen_name_3k_mtu_general_wood_luo_jun	Luo Jun	false
ceo_nodes_title_3k_mtu_ceo_node_career_historical_luo_jun_01	Guardian of the People	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_luo_jun_01	"There is nothing to be gained from oppressing the people; they, ultimately, will decide our legacy."	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_luo_jun_01	General	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_luo_jun_02	Chancellor of Chen	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_luo_jun_03	Guardian of the People	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_zhu_beng_01	Disloyal Bandits	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_zhu_beng_01	Thirsting for vengeance, she rebelled against the Bandit Queen.	true
land_units_onscreen_name_3k_mtu_hero_wood_qu_gong	Qu Gong	false
land_units_onscreen_name_3k_mtu_general_wood_qu_gong	Qu Gong	false
ceo_nodes_title_3k_mtu_ceo_node_career_historical_qu_gong_01	One-Eyed Bandit	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_qu_gong_01	When your eye for banditry and mischief is this good, you don’t need both eyes.	true
land_units_onscreen_name_3k_mtu_hero_wood_huang_zu	Huang Zu	false
land_units_onscreen_name_3k_mtu_general_wood_huang_zu	Huang Zu	false
ceo_nodes_title_3k_mtu_ceo_node_career_historical_huang_zu_01	River Viper	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_huang_zu_01	Famed for setting the ambush that killed Sun Jian, Huang Zu guards the Yangtze, lying in wait and striking at the most opportune moment.	true
land_units_onscreen_name_3k_mtu_hero_wood_chen_jiu	Pang De	false
land_units_onscreen_name_3k_mtu_general_wood_chen_jiu	Pang De	false
ceo_nodes_title_3k_mtu_ceo_node_career_historical_chen_jiu_01	White Horse General	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_chen_jiu_01	Pang De is an unrelenting force, whose avowed enemies know they must face him sooner or later.	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_guan_yinping_01	Daughter of the War-God	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_guan_yinping_01	A tiger does not father nor marry a dog. The Silver Treasure of the prideful Guan Yu is a tigress, and must be treated accordingly. 	true
land_units_onscreen_name_3k_mtu_hero_wood_wu_anguo	Wu Anguo	false
land_units_onscreen_name_3k_mtu_general_wood_wu_anguo	Wu Anguo	false
ceo_nodes_title_3k_mtu_ceo_node_career_historical_wu_anguo_01	One Armed Bear	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_wu_anguo_01	Although he lost one hand, he was one of the few who survived from duel with Lubu.	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_wu_anguo_01	Commandant	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_wu_anguo_02	General	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_wu_anguo_03	Elite General	true
