key	text	tooltip
#Loc;1;text/mtu_text/[02]__MTU_items__Bow.loc		
ceo_nodes_title_3k_mtu_ancillary_weapon_goshawk	Goshawk	true
ceo_nodes_description_3k_mtu_ancillary_weapon_goshawk	It's small and light, but its power is enormous.	true
ceo_nodes_title_3k_mtu_ancillary_weapon_mothers_bow	Mother's Bow	true
ceo_nodes_description_3k_mtu_ancillary_weapon_mothers_bow	Mother’s Bow shall forever protect the daughter.	true
ceo_nodes_title_3k_mtu_ancillary_weapon_wind_of_taiyuan	Wind of Taiyuan	true
ceo_nodes_description_3k_mtu_ancillary_weapon_wind_of_taiyuan	The sound of its arrow cutting through the air resembles the fierce winds of Taiyuan.	true
ceo_nodes_title_3k_mtu_ancillary_weapon_hawk	Falcon	true
ceo_nodes_description_3k_mtu_ancillary_weapon_hawk	The Falcon’s arrows soar through the sky much like the bird of prey it’s named after.	true
ceo_nodes_title_3k_mtu_ancillary_weapon_hometowns_bow	Hometown Bow	true
ceo_nodes_description_3k_mtu_ancillary_weapon_hometowns_bow	A prominent bowyer from your hometown crafted this masterpiece.	true
ceo_nodes_title_3k_mtu_ancillary_weapon_wind_of_north	North Wind	true
ceo_nodes_description_3k_mtu_ancillary_weapon_wind_of_north	The frigid North Wind brings with it the cold grip of death.	true
