key	text	tooltip
#Loc;1;text/mtu_text/[03]__MTU_skills__Active_buff.loc		
unit_ability_types_onscreen_name_3k_main_ability_order_of_tyrant	Active Buff	true
unit_ability_types_localised_description_3k_main_ability_order_of_tyrant	Order of the Tyrant	true
unit_abilities_tooltip_text_3k_main_ability_order_of_tyrant	The roar of the tyrant hardens even the most cowardly soldier.	true
unit_abilities_onscreen_name_3k_main_ability_order_of_tyrant	Order of the Tyrant	true
special_ability_phases_onscreen_name_3k_main_ability_order_of_tyrant	Order of the Tyrant	true
effects_description_3k_main_skill_order_of_tyrant	Ability: Order of the Tyrant\\n	true
character_skills_localised_name_3k_main_skill_special_ability_earth_order_of_tyrant	Order of the Tyrant	true
character_skills_localised_description_3k_main_skill_special_ability_earth_order_of_tyrant	The roar of the tyrant hardens even the most cowardly soldier.	true
unit_ability_types_onscreen_name_3k_main_ability_battle_stance	Active Buff	true
unit_ability_types_localised_description_3k_main_ability_battle_stance	Battle Stance	true
unit_abilities_tooltip_text_3k_main_ability_battle_stance	If you know the enemy and know yourself, you will be formidable in battle.	true
unit_abilities_onscreen_name_3k_main_ability_battle_stance	Battle Stance	true
special_ability_phases_onscreen_name_3k_main_ability_battle_stance	Battle Stance	true
effects_description_3k_main_skill_battle_stance	Ability: Battle Stance	true
character_skills_localised_name_3k_main_skill_special_ability_earth_battle_stance	Battle Stance	true
character_skills_localised_description_3k_main_skill_special_ability_earth_battle_stance	If you know the enemy and know yourself, you will be formidable in battle.	true
effects_description_3k_main_skill_advance	Active Buff: Order to Advance	true
character_skills_localised_name_3k_main_skill_special_ability_earth_advance	Order to Advance	true
special_ability_phases_onscreen_name_3k_main_ability_advance	Order to Advance	true
unit_abilities_onscreen_name_3k_main_ability_advance	Order to Advance	true
unit_ability_types_localised_description_3k_main_ability_advance	Order to Advance	true
unit_ability_types_onscreen_name_3k_main_ability_advance	Active Buff	true
character_skills_localised_description_3k_main_skill_special_ability_earth_advance	“Do not fear, men! You are the great warriors of the Jingdong!”	true
unit_abilities_tooltip_text_3k_main_ability_advance	“Do not fear, men! You are the great warriors of the Jingdong!”	true
