key	text	tooltip
#Loc;1;text/mtu_text/[03]__MTU_skills__Passive_buff.loc		
effects_description_3k_main_skill_indiscriminate_charge	Ability: Indiscriminate Charge	true
unit_ability_types_localised_description_3k_main_ability_indiscriminate_charge	Indiscriminate Charge	true
unit_abilities_onscreen_name_3k_main_ability_indiscriminate_charge	Indiscriminate Charge	true
special_ability_phases_onscreen_name_3k_main_ability_indiscriminate_charge	Indiscriminate Charge	true
character_skills_localised_name_3k_main_skill_special_ability_wood_indiscriminate_charge	Indiscriminate Charge	true
unit_ability_types_onscreen_name_3k_main_ability_indiscriminate_charge	Passive Buff	true
unit_abilities_tooltip_text_3k_main_ability_indiscriminate_charge	Strong of will, but without tact. Shen Pei charges into the fray without hesitation, pushing his men with him, willing to win by determination alone.	true
character_skills_localised_description_3k_main_skill_special_ability_wood_indiscriminate_charge	Strong of will, but without tact. Shen Pei charges into the fray without hesitation, pushing his men with him, willing to win by determination alone.	true
effects_description_3k_main_skill_chunyu_qiong_frenzy	Ability: Frenzy	true
unit_ability_types_localised_description_3k_main_ability_chunyu_qiong_frenzy	Frenzy	true
unit_abilities_onscreen_name_3k_main_ability_chunyu_qiong_frenzy	Frenzy	true
special_ability_phases_onscreen_name_3k_main_ability_chunyu_qiong_frenzy	Frenzy	true
character_skills_localised_name_3k_main_skill_special_ability_fire_chunyu_qiong_frenzy	Frenzy	true
unit_ability_types_onscreen_name_3k_main_ability_chunyu_qiong_frenzy	Passive Buff	true
unit_abilities_tooltip_text_3k_main_ability_chunyu_qiong_frenzy	Once Yan Liang angers, he can quite literally crush his opponent.	true
character_skills_localised_description_3k_main_skill_special_ability_fire_chunyu_qiong_frenzy	Once Yan Liang angers, he can quite literally crush his opponent.	true
effects_description_3k_main_skill_cheers_of_encouragement	Ability: Personal Bodyguard	true
character_skills_localised_name_3k_main_skill_special_ability_earth_cheers_of_encouragement	Personal Bodyguard	true
special_ability_phases_onscreen_name_3k_main_ability_cheers_of_encouragement	Personal Bodyguard	true
unit_abilities_onscreen_name_3k_main_ability_cheers_of_encouragement	Personal Bodyguard	true
unit_ability_types_localised_description_3k_main_ability_cheers_of_encouragement	Personal Bodyguard	true
unit_ability_types_onscreen_name_3k_main_ability_cheers_of_encouragement	Passive Buff	true
character_skills_localised_description_3k_main_skill_special_ability_earth_cheers_of_encouragement	"Protect me!"	true
unit_abilities_tooltip_text_3k_main_ability_cheers_of_encouragement	"Protect me!"	true
effects_description_3k_main_skill_encouragement_25	Ability: Encouragement	true
character_skills_localised_name_3k_main_skill_special_ability_earth_encouragement	Encouragement	true
special_ability_phases_onscreen_name_3k_main_ability_encouragement_25	Encouragement	true
unit_abilities_onscreen_name_3k_main_ability_encouragement_25	Encouragement	true
unit_ability_types_localised_description_3k_main_ability_encouragement_25	Encouragement	true
unit_ability_types_onscreen_name_3k_main_ability_encouragement_25	Passive Buff	true
unit_ability_types_onscreen_name_3k_main_ability_encouragement_50	Passive Buff	true
character_skills_localised_description_3k_main_skill_special_ability_earth_encouragement	"Your spirit will be remembered forever."	true
unit_abilities_tooltip_text_3k_main_ability_encouragement_25	"Your spirit will be remembered forever."	true
unit_abilities_tooltip_text_3k_main_ability_encouragement_50	"Your spirit will be remembered forever."	true
effects_description_3k_main_skill_encouragement_50	Ability: Encouragement	true
special_ability_phases_onscreen_name_3k_main_ability_encouragement_50	Encouragement	true
unit_abilities_onscreen_name_3k_main_ability_encouragement_50	Encouragement	true
unit_ability_types_localised_description_3k_main_ability_encouragement_50	Encouragement	true
effects_description_3k_main_skill_ferocious_rush	Ability: Bullheaded Wrath	true
character_skills_localised_name_3k_main_skill_special_ability_fire_ferocious_rush	Bullheaded Wrath	true
special_ability_phases_onscreen_name_3k_main_ability_ferocious_rush1	Bullheaded Wrath	true
special_ability_phases_onscreen_name_3k_main_ability_ferocious_rush2	Bullheaded Wrath	true
special_ability_phases_onscreen_name_3k_main_ability_ferocious_rush3	Bullheaded Wrath	true
unit_abilities_onscreen_name_3k_main_ability_ferocious_rush	Bullheaded Wrath	true
unit_ability_types_localised_description_3k_main_ability_ferocious_rush	Bullheaded Wrath	true
unit_ability_types_onscreen_name_3k_main_ability_ferocious_rush	Passive Buff	true
character_skills_localised_description_3k_main_skill_special_ability_fire_ferocious_rush	As the fight goes on, Chunyu Qiong’s rage and stubbornness will turn him into a reckless, but powerful fighter, rushing in the thick of battle over and over.	true
unit_abilities_tooltip_text_3k_main_ability_ferocious_rush	As the fight goes on, Chunyu Qiong’s rage and stubbornness will turn him into a reckless, but powerful fighter, rushing in the thick of battle over and over.	true
effects_description_3k_main_skill_reckless_warrior	Ability: Last Stand	true
character_skills_localised_name_3k_main_skill_special_ability_fire_reckless_warrior	Last Stand	true
special_ability_phases_onscreen_name_3k_main_ability_reckless_warrior	Last Stand	true
unit_abilities_onscreen_name_3k_main_ability_reckless_warrior	Last Stand	true
unit_ability_types_localised_description_3k_main_ability_reckless_warrior	Last Stand	true
