key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_cb_loadout.loc		
custom_battle_loadouts_name_3k_main_custom_battle_loadout_test	DEBUG GUY	false
custom_battle_loadouts_name_hv_cb_loadout_liu_bei_01	Liu Bei	false
custom_battle_loadouts_name_hv_cb_loadout_liu_bei_02	King of Shu	false
custom_battle_loadouts_name_hv_cb_loadout_zheng_jiang_01	Zheng Jiang	false
custom_battle_loadouts_name_hv_cb_loadout_zheng_jiang_02	Bandit Queen	false
custom_battle_loadouts_name_hv_cb_loadout_he_yi_01	He Yi	false
custom_battle_loadouts_name_hv_cb_loadout_he_yi_02	The Yellow Warlord	false
custom_battle_loadouts_name_hv_cb_loadout_zhuge_liang_01	Zhuge Liang	false
custom_battle_loadouts_name_hv_cb_loadout_guan_yu_01	Guan Yu	false
custom_battle_loadouts_name_hv_cb_loadout_zhang_fei_01	Zhang Fei	false
custom_battle_loadouts_name_hv_cb_loadout_zhao_yun_01	Zhao Yun	false
custom_battle_loadouts_name_hv_cb_loadout_cao_cao_01	Cao Cao	false
custom_battle_loadouts_name_hv_cb_loadout_cao_cao_02	King of Wei	false
custom_battle_loadouts_name_hv_cb_loadout_lu_zheng_01	Lu Zheng	false
custom_battle_loadouts_name_hv_cb_loadout_zhang_yan_01	Zhang Yan	false
custom_battle_loadouts_name_hv_cb_loadout_zhang_yan_02	King of the Black Mountain	false
custom_battle_loadouts_name_hv_cb_loadout_yan_baihu_01	Yan Baihu	false
custom_battle_loadouts_name_hv_cb_loadout_yan_baihu_02	The White Tiger	false
custom_battle_loadouts_name_hv_cb_loadout_yan_yu_01	Yan Yu	false
custom_battle_loadouts_name_hv_cb_loadout_qu_gong_01	Qu Gong	false
custom_battle_loadouts_name_hv_cb_loadout_sun_ce_01	Sun Ce	false
custom_battle_loadouts_name_hv_cb_loadout_sun_ce_02	Little Conqueror	false
custom_battle_loadouts_name_hv_cb_loadout_lu_bu_01	Lu Bu	false
custom_battle_loadouts_name_hv_cb_loadout_lu_bu_02	Warrior Without Equal	false
custom_battle_loadouts_name_hv_cb_loadout_dong_zhuo_01	Dong Zhuo	false
custom_battle_loadouts_name_hv_cb_loadout_dong_zhuo_02	Tyrant	false
custom_battle_loadouts_name_hv_cb_loadout_gan_ning_01	Gan Ning	false
custom_battle_loadouts_name_hv_cb_loadout_king_duosi_01	King Duosi	false
custom_battle_loadouts_name_hv_cb_loadout_king_duosi_02	King Duosi [[img:unit_elephant]][[/img]]	false
custom_battle_loadouts_name_hv_cb_loadout_king_meng_huo_01	King Meng Huo	false
custom_battle_loadouts_name_hv_cb_loadout_king_meng_huo_02	King Meng Huo [[img:unit_elephant]][[/img]]	false
custom_battle_loadouts_name_hv_cb_loadout_king_mulu_01	King Mulu	false
custom_battle_loadouts_name_hv_cb_loadout_king_mulu_02	King Mulu [[img:unit_elephant]][[/img]]	false
custom_battle_loadouts_name_hv_cb_loadout_king_shamoke_01	King Shamoke	false
custom_battle_loadouts_name_hv_cb_loadout_king_shamoke_02	King Shamoke [[img:unit_elephant]][[/img]]	false
custom_battle_loadouts_name_hv_cb_loadout_king_wutugu_01	King Wutugu	false
custom_battle_loadouts_name_hv_cb_loadout_king_wutugu_02	King Wutugu [[img:unit_elephant]][[/img]]	false
custom_battle_loadouts_name_hv_cb_loadout_lady_zhurong_01	Lady Zhurong	false
