key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_skills_skill_ability__historical.loc		
character_skills_localised_description_hv_historical_skill_ability_earth_01	A clash is inevitable.	true
character_skills_localised_name_hv_historical_skill_ability_earth_01	A Storm of Swords	true
effects_description_hv_effects_unlock_historical_ability_earth_01	Ability: A Storm of Swords	true
special_ability_phases_onscreen_name_hv_historical_ability_earth_01	A Storm of Swords	true
unit_abilities_onscreen_name_hv_historical_ability_earth_01	A Storm of Swords	true
unit_abilities_tooltip_text_hv_historical_ability_earth_01	A clash is inevitable.	true
unit_ability_types_localised_description_hv_historical_ability_earth_01	A Storm of Swords	true
unit_ability_types_onscreen_name_hv_historical_ability_earth_01	Active Buff	true
character_skills_localised_description_hv_historical_skill_ability_earth_02	With skin of earth, arrows rebound, harmless.	true
character_skills_localised_name_hv_historical_skill_ability_earth_02	Stone Bulwark	true
effects_description_hv_effects_unlock_historical_ability_earth_02	Ability: Stone Bulwark	true
special_ability_phases_onscreen_name_hv_historical_ability_earth_02	Stone Bulwark	true
unit_abilities_onscreen_name_hv_historical_ability_earth_02	Stone Bulwark	true
unit_abilities_tooltip_text_hv_historical_ability_earth_02	With skin of earth, arrows rebound, harmless.	true
unit_ability_types_localised_description_hv_historical_ability_earth_02	Stone Bulwark	true
unit_ability_types_onscreen_name_hv_historical_ability_earth_02	Active Buff	true
character_skills_localised_description_hv_historical_skill_ability_earth_03	Soldiers gather under the banner of this hero.	true
character_skills_localised_name_hv_historical_skill_ability_earth_03	Assemble	true
effects_description_hv_effects_unlock_historical_ability_earth_03	Ability: Assemble	true
special_ability_phases_onscreen_name_hv_historical_ability_earth_03	Assemble	true
unit_abilities_onscreen_name_hv_historical_ability_earth_03	Assemble	true
unit_abilities_tooltip_text_hv_historical_ability_earth_03	Soldiers gather under the banner of this hero.	true
unit_ability_types_localised_description_hv_historical_ability_earth_03	Assemble	true
unit_ability_types_onscreen_name_hv_historical_ability_earth_03	Passive Buff	true
character_skills_localised_description_hv_historical_skill_ability_metal_01	A war cry from one warrior to another.	true
character_skills_localised_name_hv_historical_skill_ability_metal_01	Commanding Shout	true
effects_description_hv_effects_unlock_historical_ability_metal_01	Ability: Commanding Shout	true
special_ability_phases_onscreen_name_hv_historical_ability_metal_01	Commanding Shout	true
unit_abilities_onscreen_name_hv_historical_ability_metal_01	Commanding Shout	true
unit_abilities_tooltip_text_hv_historical_ability_metal_01	A war cry from one warrior to another.	true
unit_ability_types_localised_description_hv_historical_ability_metal_01	Commanding Shout	true
unit_ability_types_onscreen_name_hv_historical_ability_metal_01	Active Buff	true
character_skills_localised_description_hv_historical_skill_ability_metal_02	This hero believes you can only kill that which you can catch.	true
character_skills_localised_name_hv_historical_skill_ability_metal_02	Fleet-footed	true
effects_description_hv_effects_unlock_historical_ability_metal_02	Ability: Fleet-footed	true
special_ability_phases_onscreen_name_hv_historical_ability_metal_02	Fleet-footed	true
unit_abilities_onscreen_name_hv_historical_ability_metal_02	Fleet-footed	true
unit_abilities_tooltip_text_hv_historical_ability_metal_02	This hero believes you can only kill that which you can catch.	true
unit_ability_types_localised_description_hv_historical_ability_metal_02	Fleet-footed	true
unit_ability_types_onscreen_name_hv_historical_ability_metal_02	Active Buff	true
character_skills_localised_description_hv_historical_skill_ability_metal_03	The forest provides a path, and surer footing, for the respectful.	true
character_skills_localised_name_hv_historical_skill_ability_metal_03	Nature's Ally	true
effects_description_hv_effects_unlock_historical_ability_metal_03	Ability: Nature's Ally	true
special_ability_phases_onscreen_name_hv_historical_ability_metal_03	Nature's Ally	true
unit_abilities_onscreen_name_hv_historical_ability_metal_03	Nature's Ally	true
unit_abilities_tooltip_text_hv_historical_ability_metal_03	The forest provides a path, and surer footing, for the respectful.	true
unit_ability_types_localised_description_hv_historical_ability_metal_03	Nature's Ally	true
unit_ability_types_onscreen_name_hv_historical_ability_metal_03	Active Buff	true
character_skills_localised_description_hv_historical_skill_ability_wood_01	An immovable mountain against the tide of the charge.	true
character_skills_localised_name_hv_historical_skill_ability_wood_01	Earthen Rampart	true
effects_description_hv_effects_unlock_historical_ability_wood_01	Ability: Earthen Rampart	true
special_ability_phases_onscreen_name_hv_historical_ability_wood_01	Earthen Rampart	true
unit_abilities_onscreen_name_hv_historical_ability_wood_01	Earthen Rampart	true
unit_abilities_tooltip_text_hv_historical_ability_wood_01	An immovable mountain against the tide of the charge.	true
unit_ability_types_localised_description_hv_historical_ability_wood_01	Earthen Rampart	true
unit_ability_types_onscreen_name_hv_historical_ability_wood_01	Active Buff	true
character_skills_localised_description_hv_historical_skill_ability_wood_02	The longer this warrior fights, the stronger they become!	true
character_skills_localised_name_hv_historical_skill_ability_wood_02	Tenacity of Steel	true
effects_description_hv_effects_unlock_historical_ability_wood_02	Ability: Tenacity of Steel	true
special_ability_phases_onscreen_name_hv_historical_ability_wood_02_1	Tenacity of Steel	true
special_ability_phases_onscreen_name_hv_historical_ability_wood_02_2	Tenacity of Steel	true
special_ability_phases_onscreen_name_hv_historical_ability_wood_02_3	Tenacity of Steel	true
unit_abilities_onscreen_name_hv_historical_ability_wood_02	Tenacity of Steel	true
unit_abilities_tooltip_text_hv_historical_ability_wood_02	The longer this warrior fights, the stronger they become!	true
unit_ability_types_localised_description_hv_historical_ability_wood_02	Tenacity of Steel	true
unit_ability_types_onscreen_name_hv_historical_ability_wood_02	Passive Buff	true
character_skills_localised_description_hv_historical_skill_ability_wood_03	A warrior who feels truly alive in battle.	true
character_skills_localised_name_hv_historical_skill_ability_wood_03	Inner Vitality	true
effects_description_hv_effects_unlock_historical_ability_wood_03	Ability: Inner Vitality	true
special_ability_phases_onscreen_name_hv_historical_ability_wood_03	Inner Vitality	true
unit_abilities_onscreen_name_hv_historical_ability_wood_03	Inner Vitality	true
unit_abilities_tooltip_text_hv_historical_ability_wood_03	A warrior who feels truly alive in battle.	true
unit_ability_types_localised_description_hv_historical_ability_wood_03	Inner Vitality	true
unit_ability_types_onscreen_name_hv_historical_ability_wood_03	Passive Buff	true
character_skills_localised_description_hv_historical_skill_ability_water_01	Inspirational deeds spur forces to swifter action!	true
character_skills_localised_name_hv_historical_skill_ability_water_01	Inspiring Surge	true
effects_description_hv_effects_unlock_historical_ability_water_01	Ability: Inspiring Surge	true
special_ability_phases_onscreen_name_hv_historical_ability_water_01	Inspiring Surge	true
unit_abilities_onscreen_name_hv_historical_ability_water_01	Inspiring Surge	true
unit_abilities_tooltip_text_hv_historical_ability_water_01	Inspirational deeds spur forces to swifter action!	true
unit_ability_types_localised_description_hv_historical_ability_water_01	Inspiring Surge	true
unit_ability_types_onscreen_name_hv_historical_ability_water_01	Passive Buff	true
character_skills_localised_description_hv_historical_skill_ability_water_02	Organised volleys prove more effective.	true
character_skills_localised_name_hv_historical_skill_ability_water_02	Fire Control	true
effects_description_hv_effects_unlock_historical_ability_water_02	Ability: Fire Control	true
