key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_skills_skill_ability_name_desc.loc		
----ability name----		false
unit_abilities_onscreen_name_hv_ability_flower_of_battlefield	Flower of the Battlefield	true
unit_abilities_onscreen_name_hv_ability_royal_blood	Royal Blood	true
unit_abilities_onscreen_name_hv_ability_order_of_tyrant	Mettlesome Advance	true
unit_abilities_onscreen_name_hv_ability_cruel_lord	Cruel Command	true
unit_abilities_onscreen_name_hv_ability_defence_mastery	Mountains	true
unit_abilities_onscreen_name_hv_ability_the_weight_on_the_shoulders	The Weight on the Shoulders	true
unit_abilities_onscreen_name_hv_ability_storm_of_swords	A Storm of Swords	true
unit_abilities_onscreen_name_hv_ability_mark_target	Mark Target	true
unit_abilities_onscreen_name_hv_ability_brawl	Brawl	true
unit_abilities_onscreen_name_hv_ability_mortal_strike	Mortal Strike	true
unit_abilities_onscreen_name_hv_ability_fleet_footed	Fleet-footed	true
unit_abilities_onscreen_name_hv_ability_assemble	Assemble	true
unit_abilities_onscreen_name_hv_ability_calm_down	Calm Down	true
unit_abilities_onscreen_name_hv_ability_wisdom_of_the_waterfall	Wisdom of the Waterfall	true
unit_abilities_onscreen_name_hv_ability_fire_control	Fire Control	true
unit_abilities_onscreen_name_hv_ability_restore	Restore	true
unit_abilities_onscreen_name_hv_ability_anti_cavalry	Anti-Cavalry Tactics	true
unit_abilities_onscreen_name_hv_ability_inspection	Frontline Observation	true
unit_abilities_onscreen_name_hv_ability_dong_command	Dong Zhuo's Command	true
unit_abilities_onscreen_name_hv_ability_burning	Burning Soul	true
unit_abilities_onscreen_name_hv_ability_aggressive_anger	Brute Power	true
unit_abilities_onscreen_name_hv_ability_indomitable_warrior	Indomitable Warrior	true
unit_abilities_onscreen_name_hv_ability_overwhelm	Overwhelmming	true
unit_abilities_onscreen_name_hv_ability_ghost_of_forest	Ghost of the woods	true
unit_abilities_onscreen_name_hv_ability_blade_mastery	Blade Mastery	true
unit_abilities_onscreen_name_hv_ability_hamper	Disturb	true
unit_abilities_onscreen_name_hv_ability_bleed	Sinister Strike	true
unit_abilities_onscreen_name_hv_ability_tiger	White Tiger	true
unit_abilities_onscreen_name_hv_ability_foresight	Foresight	true
unit_abilities_onscreen_name_hv_ability_kingmaker	Kingmaker	true
unit_abilities_onscreen_name_hv_ability_zhou_the_youth	Zhou the Youth	true
unit_abilities_onscreen_name_hv_ability_veil_of_darkness	Veil of Darkness	true
unit_abilities_onscreen_name_hv_ability_oil_bomb	Oil Pot	true
unit_abilities_onscreen_name_hv_ability_wolf	Wolf	true
unit_abilities_onscreen_name_hv_ability_hero_poisonwind_shot	Poison-wind	true
unit_abilities_onscreen_name_hv_ability_crash	Earth-shattering Strike	true
unit_abilities_onscreen_name_hv_ability_sparrow	Swallow	true
unit_abilities_onscreen_name_hv_ability_inner_vitality	Inner Vitality	true
unit_abilities_onscreen_name_hv_ability_eviscerate	Eviscerate	true
unit_abilities_onscreen_name_hv_ability_forest_strider	Forest Strider	true
unit_abilities_onscreen_name_hv_ability_commanding_shout	Commanding Shout	true
unit_abilities_onscreen_name_hv_ability_condemn	Condemn	true
unit_abilities_onscreen_name_hv_ability_desperate_cry	Desperate Cry	true
unit_abilities_onscreen_name_hv_ability_disorientate	Disorientate	true
unit_abilities_onscreen_name_hv_ability_favourable_skies	Favourable Skies	true
unit_abilities_onscreen_name_hv_ability_inner_fire	Inner Fire	true
unit_abilities_onscreen_name_hv_ability_judgement	Judgement	true
unit_abilities_onscreen_name_hv_ability_knowledge_of_the_body	Knowledge of the Body	true
unit_abilities_onscreen_name_hv_ability_knowledge_of_the_mind	Knowledge of the Mind	true
unit_abilities_onscreen_name_hv_ability_knowledge_of_the_spirit	Knowledge of the Spirit	true
unit_abilities_onscreen_name_hv_ability_one_with_heaven	One with Heaven	true
unit_abilities_onscreen_name_hv_ability_one_with_the_land	One with the Land	true
unit_abilities_onscreen_name_hv_ability_one_with_the_people	One with the People	true
unit_abilities_onscreen_name_hv_ability_preach	Preach	true
unit_abilities_onscreen_name_hv_ability_strength_of_the_land	Strength of the Land	true
		false
unit_abilities_tooltip_text_hv_ability_disorientate	A master of the battlefield can undermine even the surest of soldiers.	true
unit_abilities_tooltip_text_hv_ability_flower_of_battlefield	It's not a good place for a beautiful woman to stay.	true
unit_abilities_tooltip_text_hv_ability_royal_blood	Fearing retribution, enemies hesitate to fire upon a scion of the Han.	true
unit_abilities_tooltip_text_hv_ability_order_of_tyrant	Pride and confidence go hand in hand.	true
unit_abilities_tooltip_text_hv_ability_cruel_lord	This general's orders are absolute and cannot be refused, no matter how unreasonable they may be.	true
unit_abilities_tooltip_text_hv_ability_defence_mastery	Form an air-tight defence.	true
unit_abilities_tooltip_text_hv_ability_the_weight_on_the_shoulders	Someone has to take the first step even if no one wants it.	true
unit_abilities_tooltip_text_hv_ability_storm_of_swords	A clash is inevitable.	true
unit_abilities_tooltip_text_hv_ability_mark_target	Choose the targets to focus fire.	true
unit_abilities_tooltip_text_hv_ability_brawl	Send your warriors into the thick of battle and watch as they fight even more fiercely.	true
unit_abilities_tooltip_text_hv_ability_mortal_strike	Delivers a very powerful blow.	true
unit_abilities_tooltip_text_hv_ability_fleet_footed	This hero believes you can only kill that which you can catch.	true
unit_abilities_tooltip_text_hv_ability_assemble	Soldiers gather under the banner of this hero.	true
unit_abilities_tooltip_text_hv_ability_calm_down	Reassuring words prevent soldiers from wavering on a chaotic battlefield.	true
unit_abilities_tooltip_text_hv_ability_wisdom_of_the_waterfall	It is the bear's teeth that the salmon faces at the end of the falls.	true
unit_abilities_tooltip_text_hv_ability_fire_control	Organised volleys prove more effective.	true
unit_abilities_tooltip_text_hv_ability_restore	A moment's respite from battlefield to heal our troops.	true
