key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_unit_abilities_hit_effects.loc		
unit_abilities_onscreen_name_hv_hit_effect_trident	Parry	true
unit_ability_types_localised_description_hv_hit_effect_trident	Parry	true
unit_ability_types_onscreen_name_hv_hit_effect_trident	Melee Debuff	true
unit_abilities_tooltip_text_hv_hit_effect_trident	Certain polearms, such as the Ji, can parry incoming attacks.	true
special_ability_phases_onscreen_name_hv_hit_effect_trident	Parry	true
unit_abilities_onscreen_name_hv_hit_effect_rosin_fire	Rosin Flaming Shot	true
unit_ability_types_localised_description_hv_hit_effect_rosin_fire	Rosin Flaming Shot	true
unit_ability_types_onscreen_name_hv_hit_effect_rosin_fire	Missile Debuff	true
unit_abilities_tooltip_text_hv_hit_effect_rosin_fire	Flammable rosin sticks to clothing and armour.	true
special_ability_phases_onscreen_name_hv_hit_effect_rosin_fire	Rosin Flaming Shot	true
unit_abilities_onscreen_name_hv_hit_effect_special_crossbow	Chen Crossbow Shot	true
unit_ability_types_localised_description_hv_hit_effect_special_crossbow	Chen Crossbow Shot	true
unit_ability_types_onscreen_name_hv_hit_effect_special_crossbow	Missile Debuff	true
unit_abilities_tooltip_text_hv_hit_effect_special_crossbow	Specially made crossbow bolts from Chen.	true
special_ability_phases_onscreen_name_hv_hit_effect_special_crossbow	Chen Crossbow Shot	true
unit_abilities_onscreen_name_hv_hit_effect_whistle	Agitation	true
unit_ability_types_localised_description_hv_hit_effect_whistle	Agitation	true
unit_ability_types_onscreen_name_hv_hit_effect_whistle	Missile Debuff	true
unit_abilities_tooltip_text_hv_hit_effect_whistle	It causes fear.	true
special_ability_phases_onscreen_name_hv_hit_effect_whistle	Agitation	true
unit_abilities_onscreen_name_hv_hit_effect_firelance	Fear of Gunpowder	true
unit_ability_types_localised_description_hv_hit_effect_firelance	Fear of Gunpowder	true
unit_ability_types_onscreen_name_hv_hit_effect_firelance	Missile Debuff	true
unit_abilities_tooltip_text_hv_hit_effect_firelance	The roar of gunpowder is more terrifying than any man or beast.	true
special_ability_phases_onscreen_name_hv_hit_effect_firelance	Fear of Gunpowder	true
unit_abilities_onscreen_name_hv_hit_effect_taishan_poison_pot	Poison-wind	true
unit_ability_types_localised_description_hv_hit_effect_taishan_poison_pot	Poison-wind	true
unit_ability_types_onscreen_name_hv_hit_effect_taishan_poison_pot	Missile Debuff	true
unit_abilities_tooltip_text_hv_hit_effect_taishan_poison_pot	Powerful toxins spread and paralyze the body.	true
special_ability_phases_onscreen_name_hv_hit_effect_taishan_poison_pot	Poison-wind	true
unit_abilities_onscreen_name_hv_hit_effect_white_horse	White Horse Fellows Shot	true
unit_ability_types_localised_description_hv_hit_effect_white_horse	White Horse Fellows Shot	true
unit_ability_types_onscreen_name_hv_hit_effect_white_horse	Missile Debuff	true
unit_abilities_tooltip_text_hv_hit_effect_white_horse	Shots from the White Horse Fellows give their enemies pause.	true
special_ability_phases_onscreen_name_hv_hit_effect_white_horse	White Horse Fellows Shot	true
unit_abilities_onscreen_name_hv_hit_effect_overwhelmed	Overwhelmed	true
unit_ability_types_localised_description_hv_hit_effect_overwhelmed	Overwhelmed	true
unit_ability_types_onscreen_name_hv_hit_effect_overwhelmed	Melee Debuff	true
unit_abilities_tooltip_text_hv_hit_effect_overwhelmed	This unit has been overwhelmed by the enemy and cannot move properly.	true
special_ability_phases_onscreen_name_hv_hit_effect_overwhelmed	Overwhelmed	true
unit_abilities_onscreen_name_hv_hit_effect_shield_broken	Shield Breaker	true
unit_ability_types_localised_description_hv_hit_effect_shield_broken	Shield Breaker	true
unit_ability_types_onscreen_name_hv_hit_effect_shield_broken	Melee Debuff	true
unit_abilities_tooltip_text_hv_hit_effect_shield_broken	Whether through hooking, or hacking, axes have a unique ability to reduce the effectiveness of shields.	true
special_ability_phases_onscreen_name_hv_hit_effect_shield_broken	Shield Breaker	true
unit_abilities_onscreen_name_hv_hit_effect_venom	Poison!	true
unit_ability_types_localised_description_hv_hit_effect_venom	Poison!	true
unit_ability_types_onscreen_name_hv_hit_effect_venom	Missile Debuff	true
unit_abilities_tooltip_text_hv_hit_effect_venom	Poison! Poison!	true
special_ability_phases_onscreen_name_hv_hit_effect_venom	Poison!	true
unit_abilities_onscreen_name_hv_hit_effect_armour_broken	Armour Breaker	true
unit_ability_types_localised_description_hv_hit_effect_armour_broken	Armour Breaker	true
unit_ability_types_onscreen_name_hv_hit_effect_armour_broken	Melee Debuff	true
unit_abilities_tooltip_text_hv_hit_effect_armour_broken	Armour broken.	true
special_ability_phases_onscreen_name_hv_hit_effect_armour_broken	Armour Breaker	true
unit_abilities_onscreen_name_hv_hit_effect_sniper_shot	Sniped	true
unit_ability_types_localised_description_hv_hit_effect_sniper_shot	Sniped	true
unit_ability_types_onscreen_name_hv_hit_effect_sniper_shot	Missile Debuff	true
unit_abilities_tooltip_text_hv_hit_effect_sniper_shot	Escaped death.	true
special_ability_phases_onscreen_name_hv_hit_effect_sniper_shot	Sniped	true
