key	text	tooltip
#Loc;1;text/mtu_text/[03]__MTU_skills__Active_debuff.loc		
effects_description_3k_main_skill_dignity_of_the_empress	Ability : Dignity	true
character_skills_localised_name_3k_main_skill_special_ability_earth_dignity_of_the_empress	Dignity	true
special_ability_phases_onscreen_name_3k_main_ability_dignity_of_the_empress	Dignity	true
unit_abilities_onscreen_name_3k_main_ability_dignity_of_the_empress	Dignity	true
unit_ability_types_localised_description_3k_main_ability_dignity_of_the_empress	Dignity	true
unit_ability_types_onscreen_name_3k_main_ability_dignity_of_the_empress	Active Debuff	true
character_skills_localised_description_3k_main_skill_special_ability_earth_dignity_of_the_empress	“Tell me your opinion, but do be courteous about it.”	true
unit_abilities_tooltip_text_3k_main_ability_dignity_of_the_empress	“Tell me your opinion, but do be courteous about it.”	true
effects_description_3k_main_skill_shout	Ability: Angry Scolding	true
character_skills_localised_name_3k_main_skill_special_ability_earth_shout	Angry Scolding	true
special_ability_phases_onscreen_name_3k_main_ability_shout	Angry Scolding	true
unit_abilities_onscreen_name_3k_main_ability_shout	Angry Scolding	true
unit_ability_types_localised_description_3k_main_ability_shout	Angry Scolding	true
unit_ability_types_onscreen_name_3k_main_ability_shout	Active Debuff	true
character_skills_localised_description_3k_main_skill_special_ability_earth_shout	"Stop! How dare you!"	true
unit_abilities_tooltip_text_3k_main_ability_shout	"Stop! How dare you!"	true
effects_description_3k_main_skill_provocation	Ability: Provocation	true
character_skills_localised_name_3k_main_skill_special_ability_metal_provocation	Provocation	true
special_ability_phases_onscreen_name_3k_main_ability_provocation	Provocation	true
unit_abilities_onscreen_name_3k_main_ability_provocation	Provocation	true
unit_ability_types_localised_description_3k_main_ability_provocation	Provocation	true
unit_ability_types_onscreen_name_3k_main_ability_provocation	Active Debuff	true
unit_abilities_tooltip_text_3k_main_ability_provocation	“Come on, come on! You’ll have to deal with Liu Bei, Guan Yu, and Zhang Fei first! Haha!”	true
character_skills_localised_description_3k_main_skill_special_ability_metal_provocation	“Come on, come on! You’ll have to deal with Liu Bei, Guan Yu, and Zhang Fei first! Haha!”	true
effects_description_3k_main_skill_thunderous_bellow	Ability: Wild Cry	true
character_skills_localised_name_3k_main_skill_special_ability_fire_thunderous_bellow	Wild Cry	true
special_ability_phases_onscreen_name_3k_main_ability_thunderous_bellow	Wild Cry	true
unit_abilities_onscreen_name_3k_main_ability_thunderous_bellow	Wild Cry	true
unit_ability_types_localised_description_3k_main_ability_thunderous_bellow	Wild Cry	true
unit_ability_types_onscreen_name_3k_main_ability_thunderous_bellow	Active Debuff	true
character_skills_localised_description_3k_main_skill_special_ability_fire_thunderous_bellow	So terrifying is Zhang Bao’s booming howl, it has unhorsed enemy generals.	true
unit_abilities_tooltip_text_3k_main_ability_thunderous_bellow	So terrifying is Zhang Bao’s booming howl, it has unhorsed enemy generals.	true
		false
effects_description_3k_main_skill_calculated_judgment	Ability: Element of Surprise	true
character_skills_localised_name_3k_main_skill_special_ability_water_calculated_judgment	Element of Surprise	true
special_ability_phases_onscreen_name_3k_main_ability_calculated_judgment	Element of Surprise	true
unit_abilities_onscreen_name_3k_main_ability_calculated_judgment	Element of Surprise	true
unit_ability_types_localised_description_3k_main_ability_calculated_judgment	Element of Surprise	true
unit_ability_types_onscreen_name_3k_main_ability_calculated_judgment	Active Debuff	true
character_skills_localised_description_3k_main_skill_special_ability_water_calculated_judgment	By anticipating the enemy’s movement, Yan Xiang is able to outmaneuver and catch them off-guard.	true
unit_abilities_tooltip_text_3k_main_ability_calculated_judgment	By anticipating the enemy’s movement, Yan Xiang is able to outmaneuver and catch them off-guard.	true
effects_description_3k_main_skill_fatal_attraction	Ability: Fatal Attraction	true
character_skills_localised_name_3k_main_skill_special_ability_water_fatal_attraction	Fatal Attraction	true
special_ability_phases_onscreen_name_3k_main_ability_fatal_attraction	Fatal Attraction	true
unit_abilities_onscreen_name_3k_main_ability_fatal_attraction	Fatal Attraction	true
unit_ability_types_localised_description_3k_main_ability_fatal_attraction	Fatal Attraction	true
unit_ability_types_onscreen_name_3k_main_ability_fatal_attraction	Active Debuff	true
character_skills_localised_description_3k_main_skill_special_ability_water_fatal_attraction	Those attracted to the charms of Lady Zhu... beware.	true
unit_abilities_tooltip_text_3k_main_ability_fatal_attraction	Those attracted to the charms of Lady Zhu... beware.	true
