key	text	tooltip
#Loc;1;text/db/abilities__.loc		
abilities_on_screen_name_hinder_province	Deploy Hero	false
abilities_on_screen_name_undercover_character_target_character_supply_units	[PH]	false
abilities_on_screen_name_target_faction_placeholder	[PH]	false
abilities_on_screen_name_undercover_character_target_character_military_rebellion	[PH]	false
abilities_on_screen_description_command_force	a	false
abilities_on_screen_description_hinder_character	Your hero will assassinate the opposing character.	false
abilities_on_screen_description_undercover_character_target_faction_increase_undercover_character_action_costs	[PH]	false
abilities_on_screen_description_undercover_character_target_character_slander	[PH]	false
abilities_on_screen_description_undercover_character_target_character_exhaust_force	[PH]	false
abilities_on_screen_name_undercover_character_target_faction_accost_traders	[PH]	false
abilities_on_screen_description_undercover_character_target_faction_build_spy_network	[PH]	false
abilities_on_screen_name_undercover_character_target_character_exhaust_force	[PH]	false
abilities_on_screen_name_hinder_character	Assassinate	false
abilities_on_screen_description_assist_army	Your hero will join the army in battle and enhance the force on the campaign map.	false
abilities_on_screen_description_undercover_character_target_faction_improve_relations	[PH]	false
abilities_on_screen_name_undercover_character_target_faction_request_administrator	[PH]	false
abilities_on_screen_description_hinder_army	Your hero will cause damage to the opposing army or hinder their effectiveness on the campaign map.	false
abilities_on_screen_description_undercover_character_target_garrison_weaken_garrison	[PH]	false
abilities_on_screen_description_undercover_character_target_character_assassinate_faction_heir	[PH]	false
abilities_on_screen_name_undercover_character_target_faction_build_spy_network	[PH]	false
abilities_on_screen_name_undercover_character_target_character_hinder_replenishment	[PH]	false
abilities_on_screen_description_undercover_character_target_garrison_open_gates	[PH]	false
abilities_on_screen_name_hinder_agent	Manipulate Hero	false
abilities_on_screen_name_assist_army	Embed Hero	false
abilities_on_screen_name_undercover_character_target_character_exile	[PH]	false
abilities_on_screen_name_command_force	 	false
abilities_on_screen_description_undercover_character_target_garrison_lower_public_order	[PH]	false
abilities_on_screen_description_undercover_character_target_character_assassinate_faction_leader	[PH]	false
abilities_on_screen_description_target_faction_placeholder	[PH]	false
abilities_on_screen_name_undercover_character_target_faction_surrender_faction	[PH]	false
abilities_on_screen_description_undercover_character_target_faction_empower_trade	[PH]	false
abilities_on_screen_name_undercover_character_target_garrison_trigger_rebellion	[PH]	false
abilities_on_screen_name_hinder_army	Target Army	false
abilities_on_screen_name_undercover_character_target_character_assassinate_faction_leader	[PH]	false
abilities_on_screen_name_undercover_character_target_faction_steal_ceo_and_extract	[PH]	false
abilities_on_screen_description_undercover_character_target_faction_steal_ceo_and_extract	[PH]	false
abilities_on_screen_description_hinder_agent	Your hero will convert the opposing hero to join your cause.	false
abilities_on_screen_description_undercover_character_target_character_supply_units	[PH]	false
abilities_on_screen_name_undercover_character_target_faction_increase_undercover_character_action_costs	[PH]	false
abilities_on_screen_description_undercover_character_target_faction_request_general	[PH]	false
abilities_on_screen_description_hinder_province	Your hero will use their skills to diminish the workings of the opposing province.	false
abilities_on_screen_name_assist_province	Deploy Hero	false
abilities_on_screen_description_undercover_character_target_faction_request_administrator	[PH]	false
abilities_on_screen_name_undercover_character_target_garrison_lower_public_order	[PH]	false
abilities_on_screen_description_undercover_character_target_faction_accost_traders	[PH]	false
abilities_on_screen_description_undercover_character_target_character_exile	[PH]	false
abilities_on_screen_name_undercover_character_target_faction_request_minister	[PH]	false
abilities_on_screen_name_undercover_character_target_character_assassinate_faction_heir	[PH]	false
abilities_on_screen_description_undercover_character_target_faction_request_minister	[PH]	false
abilities_on_screen_name_undercover_character_target_character_leak_patrol_routes	[PH]	false
abilities_on_screen_name_hinder_settlement	Target Settlement	false
abilities_on_screen_description_undercover_character_target_character_military_rebellion	[PH]	false
abilities_on_screen_description_undercover_character_target_character_leak_patrol_routes	[PH]	false
abilities_on_screen_description_passive_ability	 	false
abilities_on_screen_description_undercover_character_target_character_bribe_soldiers	[PH]	false
abilities_on_screen_name_passive_ability	 	false
abilities_on_screen_name_undercover_character_target_faction_empower_trade	[PH]	false
abilities_on_screen_description_undercover_character_target_garrison_bolster_garrison	[PH]	false
abilities_on_screen_name_undercover_character_target_faction_improve_relations	[PH]	false
abilities_on_screen_name_undercover_character_target_garrison_bolster_garrison	[PH]	false
abilities_on_screen_name_undercover_character_target_faction_request_general	[PH]	false
abilities_on_screen_description_undercover_character_target_garrison_trigger_rebellion	[PH]	false
abilities_on_screen_name_undercover_character_target_garrison_surrender_region	[PH]	false
abilities_on_screen_description_hinder_settlement	Your hero will impede the opposing settlement's effectiveness.	false
abilities_on_screen_description_undercover_character_target_garrison_surrender_region	[PH]	false
abilities_on_screen_name_undercover_character_target_garrison_open_gates	[PH]	false
abilities_on_screen_description_undercover_character_target_character_hinder_replenishment	[PH]	false
abilities_on_screen_description_undercover_character_target_faction_surrender_faction	[PH]	false
abilities_on_screen_name_undercover_character_target_garrison_weaken_garrison	[PH]	false
abilities_on_screen_description_assist_province	Your hero will use their skills to assist the workings of the local province.	false
abilities_on_screen_name_undercover_character_target_character_slander	[PH]	false
abilities_on_screen_name_undercover_character_target_character_bribe_soldiers	[PH]	false
