key	text	tooltip
#Loc;1;text/db/achievements__.loc		
achievements_description_TK_ACHIEVEMENT_WIN_CAMPAIGN_ON_LEGENDARY	Playing as any faction, complete a campaign on legendary difficulty.	false
achievements_description_TK_ACHIEVEMENT_CONSTRUCTION_FACTION_PALACE_1	Playing as any faction, construct a faction palace.	false
achievements_title_TK_DLC04_ACHIEVEMENT_RAZE_LOUYANG	History Repeats Itself	false
achievements_title_TK_ACHIEVEMENT_WIN_CAMPAIGN_ON_LEGENDARY	Now the Stuff of Dreams	false
achievements_title_TK_ACHIEVEMENT_TRIGGER_PROXY_WAR_CAO_CAO	The Tortoise Lives Long	false
achievements_title_TK_ACHIEVEMENT_CREATE_ALLIANCE	BFFs	false
achievements_title_TK_ACHIEVEMENT_TURN_RIVAL_TO_FRIEND	Keep Enemies Closer	false
achievements_title_TK_ACHIEVEMENT_DESTROY_BUILDING_IN_BATTLE	Demolition Man	false
achievements_title_TK_DLC05_ACHIEVEMENT_SUN_CE_KILL_HUANG_ZU	You Killed My Father. Prepare to Die!	false
achievements_description_TK_DLC05_ACHIEVEMENT_YAN_BAIHU_DESTROY_SUN_CE	Playing as Yan Baihu, destroy Sun Ce's faction.	false
achievements_description_TK_ACHIEVEMENT_DESTROY_BUILDING_IN_BATTLE	Playing as any faction, breach a wall during a battle.	false
achievements_description_TK_ACHIEVEMENT_FIGHT_BATTLE_WITH_ALL_UNIT_GROUPS	Playing as any faction, win a single battle with 1 of each unit type.	false
achievements_title_TK_ACHIEVEMENT_MAKE_X_INCOME_SINGLE_TURN	A Land of Milk & Honey	false
achievements_title_TK_ACHIEVEMENT_ALL_FIVE_TIGER_GENERALS_IN_SAME_FACTION	Party of Five	false
achievements_title_TK_ACHIEVEMENT_MAINTAIN_X_TRADE_ROUTES	Here Comes the Sun (Jian)	false
achievements_title_TK_ACHIEVEMENT_DEFEAT_DONG_ZHUO_CHARACTER	Guangdong Coalition	false
achievements_description_TK_ACHIEVEMENT_AMBUSH_AND_DEFEAT_THE_ENEMY_IN_CAMPAIGN	Playing as any faction, successfully ambush and defeat any opponent.	false
achievements_title_TK_DLC06_ACHIEVEMENT_ELEPHANT_MOUNTS	That Still Only Counts as One	false
achievements_description_TK_DLC04_ACHIEVEMENT_COLLECT_ALL_BOOKS	Playing as Lu Zhi, collect all books.	false
achievements_title_TK_YTR_ACHIEVEMENT_OWN_FISHING_PORT	There Will Be Fish	false
achievements_description_TK_DLC02_ACHIEVEMENT_CAMPAIGN_COMPLETE_AS_EMPEROR	Playing as any Eight Princes faction, become the emperor, then win the game.	false
achievements_title_TK_ACHIEVEMENT_CONTROL_ALL_SPICE_RESOURCES	…Control the Universe!	false
achievements_title_TK_YTR_ACHIEVEMENT_OWN_HOUSE_OF_COMPASSION	Dù Zǐténg Will See You Now	false
achievements_title_TK_ACHIEVEMENT_WIN_X_MULTIPLAYER_BATTLES	Frenemies	false
achievements_title_TK_ACHIEVEMENT_CONTROL_ONE_SPICE_RESOURCE	First Taste	false
achievements_description_TK_ACHIEVEMENT_MAX_OUT_CHARACTER_ATTRIBUTE	Playing as any faction, obtain the maximum level in any 1 character attribute.	false
achievements_description_TK_ACHIEVEMENT_TURN_FRIEND_TO_RIVAL	Playing as any faction, turn a friend into a rival.	false
achievements_title_TK_DLC06_ACHIEVEMENT_NANMAN_EMPEROR	The Barbarian Emperor	false
achievements_title_TK_YTR_ACHIEVEMENT_OWN_X_COMMUNAL_SQUARES	Common People	false
achievements_description_TK_DLC05_ACHIEVEMENT_WIN_CAMPAIGN_AS_BANDIT_EMPEROR	Playing as a bandit faction, win the game.	false
achievements_description_TK_ACHIEVEMENT_FIGHT_BATTLE_WITH_LU_BEI_GUAN_YU_ZHANG_FEI_SAME_SIDE	Fight a battle with Liu Bei, Guan Yu, and Zhang Fei fighting on the same side.	false
achievements_description_TK_ACHIEVEMENT_ALL_FIVE_TIGER_GENERALS_IN_SAME_FACTION	Have all 5 Tiger Generals in your faction.	false
achievements_description_TK_YTR_ACHIEVEMENT_WIN_GAME	Playing as a Yellow Turban faction, complete a campaign.	false
achievements_title_TK_ACHIEVEMENT_WIN_X_DUELS	Satisfaction Guaranteed	false
achievements_title_TK_ACHIEVEMENT_TURN_FRIEND_TO_RIVAL	Fairweather Friend	false
achievements_title_TK_DLC05_ACHIEVEMENT_LU_BU_1_KILL_LIST_COMPLETE	First Blood	false
achievements_title_TK_YTR_ACHIEVEMENT_OWN_X_YOUXIA_UNITS	The Knights Who Say "Qi!"	false
achievements_description_TK_ACHIEVEMENT_CAPTURE_X_SETTLEMENTS	Playing as any faction, capture 29 settlements.	false
achievements_description_TK_ACHIEVEMENT_BECOME_EMPEROR_AS_GOVERNOR_FACTION	Playing as a governor faction, become emperor.	false
achievements_title_TK_YTR_ACHIEVEMENT_UNLOCK_ALL_HEAVEN_TECH	Lord of Heaven	false
achievements_title_TK_DLC06_ACHIEVEMENT_NANMAN_TECHS	The Purist	false
achievements_title_TK_DLC02_ACHIEVEMENT_CAMPAIGN_COMPLETE_AS_REGENT	The World's Protector	false
achievements_description_TK_ACHIEVEMENT_WIN_MP_COOP_CAMPAIGN	Playing as any faction, win a multiplayer co-op campaign.	false
achievements_title_TK_ACHIEVEMENT_RAZE_X_SETTLEMENTS_AS_DONG_ZHUO	Firestarter	false
achievements_title_TK_ACHIEVEMENT_XIAHOU_DUN_ATTACKED_BY_ARCHERS	Eye of the Beholder	false
achievements_description_TK_YTR_ACHIEVEMENT_OWN_X_YOUXIA_UNITS	Playing as a Yellow Turban faction, recruit at least 7 Youxia units.	false
achievements_description_TK_DLC05_ACHIEVEMENT_SUN_CE_KILL_HUANG_ZU	Playing as Sun Ce, kill Huang Zu either in a duel or in battle.	false
achievements_description_TK_ACHIEVEMENT_BECOME_EMPEROR_AS_CHILD_TO_CAO_CAO	Playing as the child of Cao Cao, proclaim yourself emperor.	false
achievements_description_TK_DLC05_ACHIEVEMENT_LU_BU_1_KILL_LIST_COMPLETE	Playing as Lü Bu, kill a character from your kill list.	false
achievements_title_TK_ACHIEVEMENT_CREATE_X_ALLIANCES_YUAN_SHAO	One Hundred Thousand Troops	false
achievements_description_TK_ACHIEVEMENT_WIN_CAMPAIGN_AS_EMPEROR	Playing as any faction, become emperor and win the game.	false
achievements_title_TK_YTR_ACHIEVEMENT_REACH_EMPIRE_RANK	Mandate Regained!	false
achievements_description_TK_ACHIEVEMENT_BUILD_BANDIT_PALACE_AS_ZHENG_JIANG	Playing as Zheng Jiang, construct a bandit lair.	false
achievements_description_TK_DLC02_ACHIEVEMENT_CONSTRUCT_GRAND_INSPECTORS_PALACE	Playing as any Eight Princes faction, construct the Grand Inspector's Palace.	false
achievements_title_TK_ACHIEVEMENT_BECOME_EMPEROR_AS_GOVERNOR_FACTION	Humble Beginnings	false
achievements_title_TK_DLC04_ACHIEVEMENT_COLLECT_ALL_BOOKS	The Librarian	false
achievements_description_TK_YTR_ACHIEVEMENT_OWN_YTR_HEADQUARTERS	Playing as a Yellow Turban faction, construct a Yellow Turban Headquarters.	false
achievements_description_TK_ACHIEVEMENT_TURN_RIVAL_TO_FRIEND	Playing as any faction, turn a rival into a friend.	false
achievements_title_TK_ACHIEVEMENT_WIN_X_CAMPAIGN_BATTLES	Blood-drenched & Fancy Free	false
achievements_description_TK_DLC02_ACHIEVEMENT_CAMPAIGN_COMPLETE_AS_REGENT	Playing as any Eight Princes faction, become regent, then win the game.	false
achievements_title_TK_YTR_ACHIEVEMENT_OWN_CONCEALED_FORT	The Hidden Fortress	false
achievements_title_TK_ACHIEVEMENT_UNDERCOVER_SPY_ASSASINATION	Ill Omen	false
achievements_description_TK_ACHIEVEMENT_SPY_BECOMES_FACTION_LEADER	Playing as any faction, make your spy become faction leader.	false
achievements_description_TK_ACHIEVEMENT_KILL_OR_WOUND_DONG_ZHUO_IN_BATTLE_WITH_LU_BU_IN_PARTY	With Lü Bu in your party, kill or wound Dong Zhuo in battle.	false
achievements_title_TK_DLC06_ACHIEVEMENT_SHI_XIE_SOUTH	Lord of the South	false
