key	text	tooltip
#Loc;1;text/db/advice_levels__.loc		
advice_levels_advice_item_title_1819544323		false
advice_levels_advice_item_title_1861206170		false
advice_levels_onscreen_text_1129481750	Special, rare weapons, armour and horses can be taken from defeated enemies and will grant great advantages to their new owner, as well as increasing their satisfaction.	false
advice_levels_advice_item_title_1545410545		false
advice_levels_advice_item_title_1898953676		false
advice_levels_advice_item_title_1456162502		false
advice_levels_advice_item_title_1342034111		false
advice_levels_onscreen_text_389505340	This tyranny is barbaric; what of the people…?	false
advice_levels_onscreen_text_404293122	Much of the south is yours, Sun Ce, but there is more to do, and between you and your goal lie many obstacles…	false
advice_levels_onscreen_text_1110628939	Let the cry of the jungle and the howl of the beasts carry you to victory, King Mulu!	false
advice_levels_advice_item_title_427365028		false
advice_levels_onscreen_text_114815959	A noble ideal, but there is much and more standing between you and your goal.	false
advice_levels_onscreen_text_1555130801	He is a good man, but he has no titles, no lands. Perhaps Yuan Shu, or Gongsun Zan…	false
advice_levels_advice_item_title_333541895		false
advice_levels_advice_item_title_778152902		false
advice_levels_advice_item_title_2117374777		false
advice_levels_onscreen_text_485945905	There is also Liu Bei. He has nominal relations to the Han; such attachment could present a threat to your legitimacy.	false
advice_levels_advice_item_title_388131782		false
advice_levels_advice_item_title_960088710		false
advice_levels_onscreen_text_318123028	We have engaged the enemy in battle! Now it is up to you to command your forces and destroy our foes!	false
advice_levels_advice_item_title_1557079907		false
advice_levels_onscreen_text_2039306119	These setbacks are temporary – those 'noble' fools lack the strength and the wisdom to defeat me. 	false
advice_levels_onscreen_text_886683827	Your armies are composed of generals and their retinues. A retinue is made up of up to six units, and once a general is recruited, these loyal followers will follow them into battle in service of your cause.	false
advice_levels_advice_item_title_2039032315		false
advice_levels_advice_item_title_1389252938		false
advice_levels_advice_item_title_2039306119		false
advice_levels_onscreen_text_57396868	This army is in an encamped stance. They have raised their own fortifications, which will increase their defence capabilities and make attacking them harder.	false
advice_levels_onscreen_text_1061612841	Know the hearts and desires of your enemies to defeat and confound them. Sending a single spy to infiltrate an enemy may save hundreds of lives and spare unnecessary bloodshed.	false
advice_levels_advice_item_title_314098102		false
advice_levels_advice_item_title_1381530736		false
advice_levels_onscreen_text_1817550723	Some terrain can obscure your line of sight of the enemy. Beware of forests and hills, where the enemy can find cover.	false
advice_levels_onscreen_text_1404998575	Shamoke understands the world of the Han, as well as the Nanman. His resistance to you must end too, but it would be prudent to bring his wisdom to your side.	false
advice_levels_advice_item_title_902551749		false
advice_levels_advice_item_title_1954621642		false
advice_levels_advice_item_title_301102449		false
advice_levels_onscreen_text_1397355968	The time to strike is now. China is vulnerable; whilst those pompous dogs squabble for the throne, there is fame and wealth to be found amongst the fires.	false
