key	text	tooltip
#Loc;1;text/db/agent_actions__.loc		
agent_actions_localised_action_description_3k_main_spy_action_army_exhaustion	Dispatch false marching orders to an army, thereby diminishing its range and causing the troops to be fatigued in battle.	false
agent_actions_localised_action_description_3k_main_spy_action_faction_improve_relations	Vocally support your faction within the court, thereby improving diplomatic relations.	false
agent_actions_localised_action_description_3k_main_spy_action_character_assassinate_faction_leader	Set a plot to assassinate the faction leader in motion.	false
agent_actions_localised_action_description_3k_main_spy_action_region_spy_network	Acquire additional covert relations and assets within the faction, thereby allowing you to bolster your undercover network overall.	false
agent_actions_localised_action_name_3k_main_spy_action_region_surrender_province	Surrender Territory	false
agent_actions_localised_action_description_3k_main_spy_action_army_military_rebellion	Turn direct command of this spy's retinue over to you, forcing any other generals to be recalled and granting you a new active army in the field.	false
agent_actions_localised_action_name_3k_main_spy_action_army_vision_other_force	Infiltrate Army	false
agent_actions_localised_action_name_3k_main_spy_action_trigger_yellow_turban_rebellion	{{tr:agent_action_rebellion_title}}	false
agent_actions_localised_action_description_3k_main_spy_action_army_increase_replenishment	Arrange for an army's provisions to be poisoned, thereby inflicting casualties upon its units.	false
agent_actions_localised_action_name_3k_main_spy_action_faction_request_general	Pursue Military Appointment	false
agent_actions_localised_action_name_3k_main_spy_action_army_exhaustion	Falsify Marching Orders	false
agent_actions_localised_action_name_3k_main_spy_action_region_open_gates	Open Gates	false
agent_actions_localised_action_name_3k_main_spy_action_army_military_rebellion	Military Revolt	false
agent_actions_localised_action_name_3k_main_spy_action_region_bolster_garrison	Poison Garrison Provisions	false
agent_actions_localised_action_name_3k_main_spy_action_faction_request_administrator	Pursue Administrative Appointment	false
agent_actions_localised_action_description_3k_main_spy_action_army_hinder_replenishment	Prevent supplies from reaching an army, thereby hindering replenishment of units. 	false
agent_actions_localised_action_description_3k_main_spy_action_faction_surrender_faction	Trigger a civil war between those most loyal to the spy and those less satisfied with their rule, strongly reinforcing your influence over the faction in the process.	false
agent_actions_localised_action_description_3k_main_spy_action_character_assassinate_faction_heir	Set a plot to assassinate the faction heir in motion.	false
agent_actions_localised_action_name_3k_main_spy_action_character_assassinate_faction_leader	Assassinate Faction Leader	false
agent_actions_localised_action_name_3k_main_spy_action_region_weaken_garrison	Deny Garrison Supplies	false
agent_actions_localised_action_name_3k_main_spy_action_army_setup_ambush	Leak Marching Orders	false
agent_actions_localised_action_description_3k_main_spy_action_faction_empower_trade	Manipulate the faction's trade efforts, thereby increasing your own trade power.	false
agent_actions_localised_action_name_3k_main_spy_action_accost_traders	Accost Traders	false
agent_actions_localised_action_name_3k_main_spy_action_character_assassinate_faction_heir	Assassinate Faction Heir	false
agent_actions_localised_action_name_3k_main_spy_action_character_lower_satisfaction	Discredit Character	false
agent_actions_localised_action_description_3k_main_spy_action_character_kick_character	Incite a malcontent to spread untoward rumours about the faction, thereby slightly diminishing satisfaction throughout the court.	false
agent_actions_localised_action_description_3k_main_spy_action_faction_maintain_loyalty	Help maintain your spy's loyalty by keeping their satisfaction within the target faction in check.	false
