key	text	tooltip
#Loc;1;text/db/agent_localisations__.loc		
agent_localisations_text_undercover_character_status_active_general	Leading an Army	false
agent_localisations_text_general_profession_governor	{{tr:ministerial_positions_governors_title}}	false
agent_localisations_text_agent_localisation_action_execution_status_satisfaction_too_high	[[col:red]]Your spy's satisfaction is too high to perform this action.\\n[[/col]]	false
agent_localisations_text_agent_localisation_action_execution_status_no_stealable_ceo	[[col:red]]Your spy cannot steal an item as there is nothing that can be stolen.\\n[[/col]]	false
agent_localisations_text_agent_localisation_action_execution_status_satisfaction_too_low	[[col:red]]Your spy's satisfaction is too low to perform this action.\\n[[/col]]	false
agent_localisations_text_undercover_character_status_idle_minister	Serving in Office	false
agent_localisations_text_tooltip_potential_candidate_unlikely	Unlikely Candidate	false
agent_localisations_text_undercover_character_status_idle_faction_heir	Holding Court	false
agent_localisations_text_undercover_character_role_required_family	Your spy must be a member of the ruling family before they can engage in family subterfuge.\\n\\nTime will tell if they are worthy of being adopted by the faction leader...	false
agent_localisations_text_general_profession_candidate	Candidate	false
agent_localisations_text_general_profession_politician	{{tr:ministerial_positions_court_nobles_title}}	false
agent_localisations_text_action_execution_status_army_cap_reached	[[col:red]]You are already fielding your maximum number of armies.\\n[[/col]]	false
agent_localisations_text_tooltip_undercover_network_title	Undercover Network	false
agent_localisations_text_tooltip_known_provinces_must_be_recruited	Your spy must be recruited into the faction before being able to discover more about its commanderies.	false
agent_localisations_text_undercover_character_status_extraction	Preparing to Return...	false
agent_localisations_text_agent_localisation_action_execution_status_garrisoned_cannot_gain_another_force	[[col:red]]Your spy is currently garrisoned and is unable to instigate a military revolt.\\n[[/col]]	false
agent_localisations_text_tooltip_undercover_character_satisfaction_high	[[col:red]]Their satisfaction is dangerously high![[/col]]	false
agent_localisations_text_agent_localisation_action_execution_status_is_convalescing	[[col:red]]Your spy is convalescing and is unable to act.\\n[[/col]]	false
agent_localisations_text_tooltip_undercover_character_satisfaction_normal	Their satisfaction is no cause for concern.	false
agent_localisations_text_tooltip_must_be_infiltrating_to_spy	Your spy must have arrived at their target faction before they can begin to relay spy information.	false
agent_localisations_text_general_attribute_tooltip_subterfuge	Cunning||A general's wisdom and wit; their gift for scheming and strategising.	false
agent_localisations_text_agent_action_dilemma_capture_warning	[[col:red]]Your spy cannot afford to take this action safely! If you commit, the action will succeed but your spy will be captured in the process.[[/col]]	false
agent_localisations_text_undercover_character_role_required_noble	Your spy must be recruited into their target faction before they can engage in court intrigue and other spy activity.\\n\\nRecruitment is never guaranteed, but a capable-seeming candidate will present a more appealing recruitment prospect! Until then, your spy will scout the target faction's lands, reporting back as they go.	false
agent_localisations_text_undercover_character_status_idle_governor	Governing	false
agent_localisations_text_agent_localisation_action_execution_status_cannot_gain_another_force	[[col:red]]You are already fielding the current maximum number of armies.\\n[[/col]]	false
