key	text	tooltip
#Loc;1;text/db/aide_de_camp_speeches__.loc		
aide_de_camp_speeches_text_ADC_enemy_tower_captured	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_army_capturing_victory_point	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_ticker_nearly_run_out	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_ally_hero_dead	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_army_capturing_gates	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_unit_out_of_ammo	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_enemy_gates_destroyed	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_enemy_hero_wounded	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_army_reclaiming_victory_point	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_tower_captured	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_losing	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_enemy_capturing_district	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_unit_beserk	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_gates_attacked	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_enemy_walls_breached	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_enemy_capturing_victory_point	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_hero_wounded	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_losing_duel_should_retreat_self	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_hero_under_attack	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_army_capturing_district	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_reinforcements_under_your_control	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_unit_discovered	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_enemy_gates_captured	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_hero_nemesis_rival_under_attack	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_tower_destroyed	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_enemy_siege_equipment_destroyed	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_gates_being_captured	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_unit_wiped_out	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_hero_dead	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_gates_destroyed	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_winning	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_army_lost_victory_point	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_duel_engaged_other	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_enemy_unit_discovered	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_siege_equipment_destroyed	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_army_reclaiming_district	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_enemy_reinforcements_arrive	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_enemy_lost_victory_point	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_duel_engaged_self	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_enemy_lost_district	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_enemy_hero_dead	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_general_death_ADC_takeover	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_walls_breached	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_hero_sibling_friend_wounded	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_enemy_unit_routed	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_enemy_tower_destroyed	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_army_lost_district	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_ladders_docked_on_enemy_walls	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_enemy_ladders_docked_on_our_walls	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_hero_nemesis_rival_wounded	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_losing_duel_should_retreat_other	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_ally_hero_wounded	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_gates_captured	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_hero_sibling_friend_under_attack	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_reinforcements_arrive	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_unit_routed	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_barricades_under_attack	[NOT IN USE]	false
aide_de_camp_speeches_text_ADC_own_barricades_destroyed	[NOT IN USE]	false
