key	text	tooltip
#Loc;1;text/db/assembly_kit_localisation_texts__.loc		
assembly_kit_localisation_texts_source_text_perforceShelveUnshelve_2f43b42fd833d1e77420a8dae7419000	...	false
assembly_kit_localisation_texts_source_text_QTU::EntityComponent_30954d90085f6eaaf5817917fc5fecb3	Circle	false
assembly_kit_localisation_texts_source_text_SCREENSHOT_PALETTE_TOOL_WIDGET_a287efdbd66714756135433a65c3c276		false
assembly_kit_localisation_texts_source_text_GRAPH_SETTINGS_DIALOG_3a17280e8dfeff321406fe21ed72830a	Long action names:	false
assembly_kit_localisation_texts_source_text_QTU::EntityComponent_ebc38d823e78043f32439f1432cc60e5	Procedural exclusion zone	false
assembly_kit_localisation_texts_source_text_localDataChangesDialog_898fd772d03120abb80bc290103408c1	Original version	false
assembly_kit_localisation_texts_source_text_waitingToSubmitDialog_97585ba510b85aa9102ef133dfd85821	Try now	false
assembly_kit_localisation_texts_source_text_BUILD_PROGRESS_DIALOG_d7c8c85bf79bbe1b7188497c32c3b0ca	Failed	false
assembly_kit_localisation_texts_source_text_QTU::UserCreatedMapData_a517747c3d12f99244ae598910d979c5	Author	false
assembly_kit_localisation_texts_source_text_FILTER_DIALOG_092671d6fbcfa9171424fcc805c6ac4a	Up to date	false
assembly_kit_localisation_texts_source_text_ASSET_LIBRARY::MAIN_WINDOW_427aaadaad72fec91cbf1b6f1f1706e9	Show in tree view	false
assembly_kit_localisation_texts_source_text_TrackIcons_ea4788705e6873b424c65e91c2846b19	Cancel	false
assembly_kit_localisation_texts_source_text_QObject_a2387295527207f55b6f136c49de6313	Choose configuration:	false
assembly_kit_localisation_texts_source_text_SCREENSHOT_PALETTE_TOOL_WIDGET_021bbc7ee20b71134d53e20206bd6feb	1024	false
assembly_kit_localisation_texts_source_text_FEEDBACK_DIALOG_877f4e19b04fa063d3f77217190aa2ed	Submit!	false
assembly_kit_localisation_texts_source_text_MainWindow_e0aa021e21dddbd6d8cecec71e9cf564	OK	false
assembly_kit_localisation_texts_source_text_perforceShelveUnshelve_d0042a700e9bdf79689d63ee6846dc0e	Description:	false
assembly_kit_localisation_texts_source_text_QTSHARED::KeysetConfigDialog_f6ffc342ed9f627ff31f4f94c813e030	The shortcut %1 is already being used by the action '%2'. Do you want to override it?	false
assembly_kit_localisation_texts_source_text_QTU::EntityComponent_967d35e40f3f95b1f538bd248640bf3b	Camera	false
assembly_kit_localisation_texts_source_text_QObject_ebad505a51802eaebe94669db26d7fca	Get latest	false
assembly_kit_localisation_texts_source_text_QTU::ECDeploymentZone_cfb1842832c03318c62a02d63ef2a283	Facing direction	false
assembly_kit_localisation_texts_source_text_SWITCH_LANGUAGE_DIALOG_1e81fc32fea0e9f3a978661e4b5e484d	Simplified Chinese	false
assembly_kit_localisation_texts_source_text_CaptureLocationImportanceTypeEnum_6fed0c378a4b4e8c1e7dc5c16dabb388	Minor	false
assembly_kit_localisation_texts_source_text_QTU::EntityComponent_19c562a36aeb455d09534f93b4f5236f	Unit	false
assembly_kit_localisation_texts_source_text_QTU::DeploymentZoneTypeEnum_4d42dd03a4cb2851862575210295dd17	2 vs 3	false
assembly_kit_localisation_texts_source_text_TerrainMapTypeEnum_eec6c4bdbd339edf8cbea68becb85244	Height	false
assembly_kit_localisation_texts_source_text_QTU::ECTapeMeasure_d7da186c8c30871c540f282637165ba6	3D view render	false
assembly_kit_localisation_texts_source_text_QTU::ProjectTileWithVista_0ba29c6a1afacf586b03a26162c72274	Environment	false
assembly_kit_localisation_texts_source_text_QTU::EntityComponent_8324216cc5e0961769f2395f68782911	Terrain hole	false
assembly_kit_localisation_texts_source_text_QTU::EntityComponent_26f25f7d9527d17bc54087eb889c6ec0	Siege AI edge	false
assembly_kit_localisation_texts_source_text_QTU::EntityComponent_13f0afc9520c0bc44fd3c3f586d41487	Flat low-frequency area	false
assembly_kit_localisation_texts_source_text_QObject_a52438140a5d68aeb853b39c54d5a451	Collecting actions and affected files...%1/%2 %3	false
assembly_kit_localisation_texts_source_text_QTU::EntityComponent_397ae0f9ed1d56a3be595426321c0dba	DLC mask	false
assembly_kit_localisation_texts_source_text_QTU::ECSpotLight_b117eba575beb12d380c24f5e704d319	Falloff	false
