key	text	tooltip
#Loc;1;text/db/battlefield_buildings_names__.loc		
battlefield_buildings_names_global_effects_description_fort_bastion		false
battlefield_buildings_names_onscreen_name_gate	Gatehouse	false
battlefield_buildings_names_global_effects_description_gate		false
battlefield_buildings_names_local_effects_description_barricade	Protects defenders standing on it from melee attack. Friendly units can also be ordered to attack the barricade if necessary.	false
battlefield_buildings_names_onscreen_name_building	Building	false
battlefield_buildings_names_global_effects_description_building		false
battlefield_buildings_names_global_effects_description_barricade		false
battlefield_buildings_names_local_effects_description_palisade		false
battlefield_buildings_names_onscreen_name_fort_tower	Fort Tower	false
battlefield_buildings_names_onscreen_name_fort_wall	Fort Wall	false
battlefield_buildings_names_global_effects_description_palisade		false
battlefield_buildings_names_local_effects_description_fort_bastion	Can be manned by bastion artillery to defend the settlement from attack	false
battlefield_buildings_names_local_effects_description_gate	Allows passage to and from the settlement	false
battlefield_buildings_names_global_effects_description_arrow_tower		false
battlefield_buildings_names_onscreen_name_arrow_tower	Arrow Tower	false
battlefield_buildings_names_onscreen_name_barricade	Barricade	false
battlefield_buildings_names_onscreen_name_fort_bastion	Bastion	false
battlefield_buildings_names_local_effects_description_fort_tower	Fires on nearby enemies	false
battlefield_buildings_names_global_effects_description_fort_wall		false
battlefield_buildings_names_local_effects_description_fort_wall	Defends the settlement from assault. Can be scaled by infantry.	false
battlefield_buildings_names_local_effects_description_building		false
battlefield_buildings_names_onscreen_name_palisade	Palisade	false
battlefield_buildings_names_local_effects_description_arrow_tower	Fires arrows on nearby enemies	false
battlefield_buildings_names_global_effects_description_fort_tower		false
