key	text	tooltip
#Loc;1;text/db/battles__.loc		
battles_localised_name_3k_main_resource_han_port_a_trade_large	[DEV] Port - A Trade Large	false
battles_description_3k_main_settlement_city_han_c_large	[PH] City Han C Large	false
battles_description_ai_trial_centre_hard_collision	AI Test Map - Large collision in centre	false
battles_loading_screen_text_3k_nanman_settlement_previs		false
battles_description_3k_main_resource_han_mine_a_jade_small	[PH] Mine - A Jade Small	false
battles_loading_screen_text_3k_main_resource_han_farm_rice_a_small		false
battles_loading_screen_text_3k_main_settlement_city_han_c_small_walled		false
battles_loading_screen_text_3k_main_historical_battle_jing_province	The fragile equilibrium has shattered - your alliance with Sun Quan has collapsed, and now Jing Province is threatened by Sun Quan's advance. Your brother, Guan Yu, has fought bravely against the Sun forces whilst you, Liu Bei, have dealt with the threat of Cao Cao to the west. Yet now Guan Yu is surrounded, and if he cannot break through the ambush laid for him, he will surely perish...	false
battles_localised_name_3k_main_settlement_port_han_b_small_walled	[DEV] Port Han B Small Walled	false
battles_localised_name_demo_ambush	[DEV] Ambush - Demo	false
battles_localised_name_test_map_huangshan	[DEV] Huangshan Mountains	false
battles_loading_screen_text_3k_main_settlement_city_han_d_medium		false
battles_loading_screen_text_3k_main_settlement_city_han_h_small		false
battles_loading_screen_text_ai_trial_centre_hard_collision		false
battles_localised_name_3k_main_settlement_city_han_a_small	[DEV] City Han A Small	false
battles_description_3k_main_resource_han_mine_a_jade_large	[PH] Mine - A Jade Large	false
battles_loading_screen_text_3k_main_settlement_port_han_a_medium		false
battles_loading_screen_text_3k_main_settlement_city_han_a_large		false
battles_description_taipei	 	false
battles_description_3k_main_ambush_forest_03	Ambush test map	false
battles_loading_screen_text_3k_main_settlement_port_han_a_large		false
battles_loading_screen_text_test_map_subtropical_river		false
battles_loading_screen_text_3k_main_settlement_city_han_b_small		false
battles_description_3k_main_resource_han_mine_a_copper_small	[PH] Mine - A Copper Small	false
battles_loading_screen_text_3k_main_settlement_city_han_f_medium		false
battles_localised_name_ai_trial_size_500x500	[DEV] AI Trial: Size 500X500	false
battles_localised_name_3k_main_settlement_city_han_e_medium	[DEV] City Han E Medium	false
battles_description_test_map_lf_scale	Testing maximum resolution for low frequency height	false
battles_loading_screen_text_3k_dlc06_settlement_nanman_c_medium		false
battles_description_ai_trial_collision_corner	AI Test Map - Corner is hard collision	false
battles_description_dynasty_temperate	Dynasty Temperate	false
battles_localised_name_3k_main_settlement_city_han_e_small_walled	[DEV] City Han E Small Walled	false
battles_loading_screen_text_3k_main_historical_battle_wuzhang_plains	Zhuge Liang is a widely-regarded genius, and marches with persistence upon the north, time after time. This is his fifth campaign into Cao Wei lands and it falls to you, Sima Yi, to repel him. He has marched from the Xie Valley to attack. You have chosen to make your stand against him at the Wuzhang Plains. They call you a genius too, Sima Yi - send these Shu Han knaves to their graves!	false
battles_localised_name_3k_main_historical_battle_wuzhang_plains	Raid at Wuzhang Plains	false
battles_loading_screen_text_3k_main_settlement_city_han_d_large		false
battles_loading_screen_text_test_map_lf_scale		false
battles_loading_screen_text_test_map_steep_slope		false
battles_loading_screen_text_3k_main_resource_han_market_a_spice_small		false
battles_localised_name_cinematic_arid_mountains	[DEV] Cinematics Arid Mountains	false
battles_description_3k_main_settlement_city_han_b_small	[PH] City Han B Small	false
battles_localised_name_3k_main_settlement_city_han_d_large	[DEV] City Han D Large	false
battles_loading_screen_text_test_map_civilians		false
battles_localised_name_3k_main_historical_battle_xiapi	Siege of Xiapi	false
battles_localised_name_3k_main_historical_battle_xinyang	Battle of Xingyang	false
battles_description_3k_main_resource_han_market_a_spice_small	[PH] Market - A Spice Small	false
battles_loading_screen_text_3k_main_ambush_forest_03		false
battles_loading_screen_text_3k_main_settlement_city_han_b_small_walled		false
battles_loading_screen_text_3k_main_resource_han_mine_a_iron_small		false
battles_localised_name_3k_main_settlement_city_han_c_large	[DEV] City Han C Large	false
battles_description_test_map_lf_mountain	Testing using low frequency to create large mountain ranges	false
battles_description_3k_dlc06_gate_battles_nanman_b_both_deployments	[DEV] Gate Battles B	false
battles_description_test_map_tile_blend_edge	Tile Edge blending test map	false
battles_description_test_map_steep_slope	Testing rigid model cliffs that deform with the low frequency map	false
battles_description_3k_main_settlement_city_han_c_medium	[PH] City Han C Medium	false
battles_localised_name_3k_main_settlement_port_han_a_large	[DEV] Port Han A Large	false
battles_localised_name_test_map_zhangjiajie	[DEV] Zhangjiajie Mountains	false
battles_description_3k_main_settlement_city_han_e_small_walled	[PH] City Han E Small Walled	false
battles_description_3k_main_settlement_city_han_d_large	[PH] City Han D Large	false
battles_localised_name_3k_main_settlement_city_han_g_small	[DEV] City Han G Small	false
battles_loading_screen_text_3k_main_settlement_city_han_e_small		false
battles_description_3k_main_settlement_city_han_h_small_walled	[PH] City Han H Small Walled	false
battles_description_test_map_subtropical_river	Subtropical River Test Map	false
battles_localised_name_3k_main_resource_han_tools_a_regular_small	[DEV] Tools - A Regular Small	false
battles_loading_screen_text_test_map_lf_mountain		false
battles_description_3k_main_settlement_city_han_e_medium	[PH] City Han E Medium	false
battles_localised_name_3k_main_resource_han_mine_a_copper_small	[DEV] Mine - A Copper Small	false
battles_loading_screen_text_3k_main_settlement_city_han_a_small		false
battles_description_dynasty_arid	Dynasty Arid	false
battles_loading_screen_text_test_map_prefabs_settlement_buildings		false
battles_loading_screen_text_dynasty_subtropical		false
battles_localised_name_3k_main_settlement_city_han_d_small_walled	[DEV] City Han D Small Walled	false
battles_loading_screen_text_3k_main_settlement_city_han_h_large		false
battles_loading_screen_text_3k_main_resource_han_livestock_a_regular_small		false
battles_loading_screen_text_3k_main_resource_han_mine_a_jade_large		false
battles_description_3k_main_historical_battle_jing_province	Difficulty level: [[col:traffic_light_very_negative]]Hard[[/col]]\\n\\n219 CE. Lü Meng, under the banner of Sun Quan, continues his invasion of Jing Province. After taking stewardship of some of Sun Quan's territory, Liu Bei finds himself at war when he refuses to return the lands under his care. Strained by war with both Cao Cao and Sun Quan, yet able to score victories all the same, Liu Bei feels emboldened. Threatened by this growing power, Cao Cao allies with Sun Quan to tackle the threat of Liu Bei.\\n\\nTogether, the two kingdoms score successive victories against the Shu Han, isolating Guan Yu at Maicheng. Now, surrounded but never without hope, Guan Yu must break through this ambush if he is to have any chance of survival.	false
battles_description_3k_main_test_animation_playground	Animation Test Map	false
battles_description_3k_main_settlement_port_han_b_large	[PH] Port Han B Large	false
battles_description_ai_trial_size_350x350	AI Test Map - Tile Size - 1024x350	false
battles_description_test_map_ground_types	Testing ground types, rivers and water	false
battles_localised_name_test_graphics_env	[DEV] Graphics Environment	false
battles_description_3k_main_settlement_city_han_c_small	[PH] City Han C Small	false
battles_loading_screen_text_dynasty_temperate		false
battles_loading_screen_text_3k_main_resource_han_port_a_trade_large		false
battles_loading_screen_text_3k_main_settlement_city_han_c_large		false
battles_loading_screen_text_3k_main_resource_han_port_a_trade_small		false
battles_loading_screen_text_3k_main_resource_han_tools_a_regular_large		false
battles_loading_screen_text_test_map_ground_types		false
battles_loading_screen_text_3k_dlc06_settlement_port_nanman_a_small		false
battles_localised_name_ai_trial_collision_corner	[DEV] AI Trial: Collision Corner	false
battles_description_3k_main_historical_battle_jiangdong	Difficulty level: [[col:attribute_authority]]Normal[[/col]]\\n\\n196 CE. Sun Ce's campaigns to conquer the lands south of the Yangtze have been ongoing for several years. After success against Liu Yao and the capture of Wu Commandery, Sun Ce turns his attention to Wang Lang, and his position in Kuaiji Commandery. After rallying the support of his uncle Sun Jing, the two generals advance towards the Qiantang estuary, where Wang Lang has established his defensive position. Knowing that a frontal assault would be difficult, Sun Ce now plots to use Sun Jing's detachment to help isolate and destroy Wang Lang's forces.\\n\\nAs the Qiantang yawns into the ocean, Sun Ce sees the sun rising on the horizon, and knows his star rises too!	false
battles_loading_screen_text_3k_main_settlement_city_han_d_small		false
battles_localised_name_3k_main_settlement_city_han_d_small	[DEV] City Han D Small	false
battles_description_test_map_huangshan	'Yellowstone' Test Map	false
battles_loading_screen_text_3k_main_resource_han_port_a_fishing_small		false
battles_loading_screen_text_3k_main_settlement_city_han_g_small		false
battles_description_3k_main_settlement_port_han_a_small	[PH] Port Han A Small	false
battles_localised_name_3k_main_settlement_city_han_f_large	[DEV] City Han F Large	false
battles_localised_name_dynasty_subtropical	Battle of Yangzhou	false
battles_loading_screen_text_3k_main_ambush_forest_02		false
battles_loading_screen_text_3k_main_resource_han_farm_grain_a_small		false
battles_localised_name_taipei	[DEV] Daxing Hills	false
battles_localised_name_3k_main_test_subtropical	[DEV] Subtropical	false
battles_localised_name_test_map_lf_mountain	[DEV] LF Mountain	false
battles_loading_screen_text_ai_trial_collision_density_low		false
battles_localised_name_3k_main_ambush_forest_03	[DEV] Ambush - Forest 03	false
battles_loading_screen_text_3k_main_test_animation_playground		false
battles_localised_name_test_map_encampment	[DEV] Encampment	false
battles_localised_name_test_map_civilians	[DEV] Civilians	false
battles_description_3k_main_resource_han_tools_a_master_craftsmen_small	[PH] Tools - A Master Craftsmen Small	false
battles_localised_name_3k_main_settlement_city_han_a_medium	[DEV] City Han A Medium	false
battles_localised_name_ai_trial_collision_density_medium	[DEV] AI Trial: Collision Density Medium	false
