key	text	tooltip
#Loc;1;text/db/building_culture_variants__.loc		
building_culture_variants_name_3k_resource_banditry_white_tiger_yan_shanyue_13k_dlc05_faction_white_tiger_yan	Shanyue Camp	false
building_culture_variants_name_3k_dlc06_district_government_administration_2	Tribal Council	false
building_culture_variants_name_3k_district_market_inn_liu_biao_1	Clerk Travel Lodge	false
building_culture_variants_name_3k_ytr_district_residential_farming_yellow_turban_4	Communal Farming Estates	false
building_culture_variants_name_3k_resource_wood_lumber_pine_3	Pine Woodcutter Camp	false
building_culture_variants_name_3k_district_government_gongsun_zan_2	Military Administration Office	false
building_culture_variants_name_3k_district_military_conscription_dong_zhuo_3	Conscript Training Camp	false
building_culture_variants_name_3k_minor_port_placeholder	Placeholder Port	false
building_culture_variants_name_3k_ytr_district_market_inn_yellow_turban_1	Wine Vendor	false
building_culture_variants_name_3k_district_market_harbour_fish_1	Jetties	false
building_culture_variants_name_3k_district_artisan_workshop_private_4	Artisan Workshops	false
building_culture_variants_name_3k_district_artisan_sun_jian_fealty_5	Mercenary Encampment	false
building_culture_variants_name_3k_district_government_administration_decadence_4	Directorate of Zhong	false
building_culture_variants_name_3k_resource_metal_copper_0	Abandoned Copper Vein	false
building_culture_variants_name_3k_ytr_district_artisan_artisan_workshops_yellow_turban_2	Charm Maker's Workshop	false
building_culture_variants_name_3k_district_market_trade_port_4	Dock Warehouse	false
building_culture_variants_name_3k_district_market_trade_4	Merchant Warehouses	false
building_culture_variants_name_3k_district_residential_government_tools_4	Farm Tool Distribution	false
building_culture_variants_name_3k_resource_water_silk_bandit_13k_dlc05_subculture_bandits	Bandit Camp (Silk Trader)	false
building_culture_variants_name_3k_ytr_district_residential_housing_yellow_turban_4	Peasant Communes	false
building_culture_variants_name_3k_resource_metal_craftsmen_armour_0	Deserted Armourer	false
building_culture_variants_name_3k_dlc06_district_government_religion_3	House of the Devoted	false
building_culture_variants_name_ep_district_government_judiciary_2	Secretariat	false
building_culture_variants_name_3k_district_residential_livestock_market_5	Livestock Market of the Commandery Capital	false
