key	text	tooltip
#Loc;1;text/db/building_description_texts__.loc		
building_description_texts_long_description_3k_main_building_long_description_fishing_fleet_wharf	The addition of a wharf to this province’s fishing village allows more fishing boats to dock, unload their haul for collection, and unmoor to head back to the water to continue fishing. \\n\\n The deposited fish are collected by dock workers, packed in salt and temporarily placed into small storage buildings until the day’s yield can be transported as one. \\n\\n This hastens the delivery of fish and allows the boatmen to spend more time on the water, resulting in a higher yield of fish and more income for the province.	false
building_description_texts_long_description_3k_dlc06_district_military_infrastructure_1	No matter how well-trained a warrior may be, send him into battle without a weapon and he will not last long. \\n\\nWhen the call comes, your soldiers need to know they can get hold of the weapons they need without delay, allowing them to form up and march into battle with all necessary speed. A central repository for such items is therefore the logical solution.	false
building_description_texts_long_description_3k_main_building_long_description_markets_landlords_farming_estates	Estates provide permanent homes for the local farming community, attracting people looking for regular work and increasing income and food for the province. \\n\\n This creates a miniature ecosystem, where the grain produce from the fields provides food and income for the local peasantry, who use it to pay rent, which in turn goes towards the upkeep of the farms. \\n\\n With this additional revenue, farming enterprises can be improved by purchasing better tools and hiring in more workers.	false
building_description_texts_long_description_3k_main_building_long_description_port_coastal_trading_post	Development of the jetty into a harbour trading post increases the flow of trade and commerce into the district. \\n\\n Customers, merchants and visitors can anchor and moor their boats or ships in the harbour, either to transport in goods to sell to merchants and purchase for themselves or for third-parties. \\n\\n Much trade comes from the East and South China Sea routes, from countries as far flung as Tianzhu and Daqir. The exotic goods of China are well received in these places, and in high demand.	false
building_description_texts_long_description_3k_main_building_long_description_equipment_military_forge	A military forge enables a blacksmith to improve the quality of the weapons they produce. Fuel is placed within the forge and lit, and then air is directed and blasted up through the fire to fan it into an intense, white-hot heat. \\n\\n Next, ore is heated over the forge until it reaches a high enough temperature to become pliable, so it can be gradually hammered into shape. This process improves the quality of all metalwork, and so between orders the forge can be made available to be commissioned for commercial items.	false
building_description_texts_long_description_3k_main_building_long_description_gov_support_winnowing_machine_workshop	Before grain can be used, excess chaff and pests such as weevils must be removed. This is done by winnowing using one of several simple methods, such as throwing the grain into the air and allowing gravity to filter out the lighter chaff, or simply sieving it by hand. \\n\\n However, a more efficient method is to use one of the new winnowing machines. The grain and chaff mixture is put into the machine, where a rotary fan blows away the chaff as the grains are sieved into the separator.	false
building_description_texts_long_description_3k_main_building_long_description_security_watchtower_garrison	Watchtowers extend the view over the district, so that enemy incursions are sighted as early as possible. \\n\\n Garrison conscripts man the watchtowers, surveying the land for the movement of bands of encroaching enemies. If such a threat is spotted, the guards signal along the line to the main force, and if needed, fend off attacks by harassing enemies with bows and spears. \\n\\n The watchtower is visible to all in the town, and its looming presence deters any dissidents from stirring up trouble under its watchful eye.	false
building_description_texts_long_description_3k_main_building_long_description_grain_agricultural_garrison_camp	In his wisdom, Cao Cao has instigated the tuntian system here, which is the building and staffing of a farm to grow food for armies within the county, whether they are passing through, or encamped here on a permanent basis. \\n\\n Without it, armies would have to rely on the existing food, effectively taking it from the mouths of the local population and risking rebellion. This allows armies to plot their campaigns without compromise, as they can be assured that food and shelter always await them.	false
building_description_texts_long_description_3k_main_building_long_description_city_level_village	Officials oversee the development of the commandery’s village and its satellite resources here while acting as the local authority for the population. \\n\\n Some have lived here long enough to have lent their hands to the building of the village and may never venture beyond its borders, but the village itself can change: the mightiest oaks are born of acorns, and every village has the potential to grow to be a sprawling metropolis.	false
building_description_texts_long_description_3k_dlc06_district_residential_logistics_4	As with any other great endeavour meant to serve the masses, organisation is key here. \\n\\nEvery new contribution to this great storehouse is recorded with care, from the smallest sack of dried beans to a cartload of rice. Stored in a substantial building which is dry and vermin free, these lasting supplies are then ready to be re-issued to locals, or sent to where they are needed most. 	false
building_description_texts_long_description_3k_resource_banditry_black_market_1	Whilst a government may claim to provide for its people, there will always be objects they deem unsuitable for some, and too extravagant for others. A network of undercover black markets seeks to fix these discrepancies. \\n\\n These clandestine stores offer items forbidden by conventional markets; tribes beyond the border, for instance, are able to procure iron weapons, forged by Han smiths, and transport them out of the empire's territory. Not without significant cost, of course...	false
building_description_texts_long_description_3k_ytr_long_description_district_market_inn_yellow_turban_5	A communal square, where all can meet outside of the working day, increases the public order. \\n\\n Though many already know each other from their working life – from the fields, military service or as merchants – sitting down and relaxing with someone while enjoying a jug of rice wine is a very different experience and may reveal new favourable facets to their personality. \\n\\n The income from the wine boosts the economy of the area, and if the square is warm and welcoming enough – and the prices remain reasonable – it will even draw income from visiting strangers.	false
