key	text	tooltip
#Loc;1;text/db/building_superchains__.loc		
building_superchains_description_3k_resource_earth_temple	placeholder	false
building_superchains_name_3k_resource_water_school	[ph] School	false
building_superchains_description_3k_district_residential_housing	placeholder	false
building_superchains_description_3k_district_government_temples	placeholder	false
building_superchains_description_3k_dlc06_district_artisan_state_workshops	placeholder	false
building_superchains_name_3k_dlc06_city	[ph] City	false
building_superchains_name_3k_resource_wood_livestock	[ph] Livestock	false
building_superchains_name_3k_resource_water_silk	[ph] Silk	false
building_superchains_description_3k_district_artisan_state_workshops	placeholder	false
building_superchains_name_3k_resource_metal_tools	[ph] Tools	false
building_superchains_name_3k_resource_wood_lumber_bamboo	[ph] Bamboo	false
building_superchains_description_3k_province_capital_port	placeholder	false
building_superchains_description_3k_dlc06_district_military_conscription	placeholder	false
building_superchains_name_3k_district_artisan_private_workshops	[ph] Private Workshops	false
building_superchains_description_3k_dlc06_district_military_security	placeholder	false
building_superchains_name_3k_resource_metal_jade	[ph] Jade	false
building_superchains_description_3k_dlc06_district_residential_granaries	placeholder	false
building_superchains_name_3k_ytr_district_artisan_yellow_turban_caches	[ph] Caches	false
building_superchains_description_3k_resource_wood_tea	placeholder	false
building_superchains_description_3k_resource_water_spice	placeholder	false
building_superchains_description_3k_resource_earth_ying_chuan	placeholder	false
building_superchains_name_3k_province_capital_port	[ph] Port	false
building_superchains_name_3k_resource_water_trading_port	[ph] Trading Port	false
building_superchains_description_3k_resource_fire_horses	placeholder	false
building_superchains_description_3k_resource_wood_lumber_pine	placeholder	false
building_superchains_name_3k_resource_wood_lumber_pine	[ph] Pine	false
building_superchains_name_3k_resource_metal_craftsmen_armour	[ph] Armour	false
building_superchains_description_3k_resource_fire_northern_horses	placeholder	false
building_superchains_description_3k_test_minor	placeholder	false
building_superchains_name_3k_defences	[ph] Defence	false
building_superchains_description_3k_district_government_tribute_hall	placeholder	false
building_superchains_name_3k_resource_earth_temple	[ph] Earth Temple	false
building_superchains_description_3k_dlc06_district_government_temples	placeholder	false
building_superchains_description_3k_resource_metal_jade	placeholder	false
building_superchains_name_3k_ytr_district_artisan_yellow_turban_garden	[ph] Gardens	false
building_superchains_name_3k_dlc06_district_residential_markets	placeholder	false
building_superchains_description_3k_resource_water_salt	placeholder	false
building_superchains_description_3k_dlc06_district_government_law	placeholder	false
building_superchains_description_3k_resource_metal_tools	placeholder	false
building_superchains_description_3k_resource_wood_livestock	placeholder	false
building_superchains_name_3k_district_market_port_city	[ph] Market Port	false
building_superchains_name_3k_dlc06_district_artisan_state_workshops	placeholder	false
building_superchains_description_3k_resource_fire_iron	placeholder	false
building_superchains_description_3k_resource_water_trading_port	placeholder	false
building_superchains_description_3k_resource_metal_craftsmen_animal	placeholder	false
building_superchains_description_3k_ytr_district_artisan_yellow_turban_garden	placeholder	false
building_superchains_name_3k_district_government_rural	[ph] Rural Administration	false
building_superchains_name_3k_resource_metal_craftsmen_animal	[ph] Animal	false
building_superchains_name_3k_district_artisan_labourers	[ph] Artisan Labourers	false
building_superchains_description_3k_dlc06_district_artisan_private_workshops	placeholder	false
building_superchains_description_3k_resource_wood_farms_grain	placeholder	false
building_superchains_description_3k_dlc06_district_market_land_city	placeholder	false
building_superchains_description_3k_resource_wood_fish	placeholder	false
building_superchains_name_3k_district_government_tribute_hall	Tribute Hall	false
building_superchains_description_3k_test	placeholder	false
building_superchains_description_3k_defences	placeholder	false
building_superchains_description_3k_district_military_equipment	placeholder	false
building_superchains_name_3k_resource_earth_ying_chuan	[ph] Earth Ying Chuan	false
building_superchains_name_3k_resource_wood_farms_rice	[ph] Rice	false
building_superchains_name_3k_dlc06_district_market_land_city	placeholder	false
building_superchains_name_3k_district_market_schools	[ph] Schools	false
building_superchains_name_3k_dlc06_gate_pass	[ph] Gate Pass	false
building_superchains_name_3k_district_government_temples	[ph] Temples	false
building_superchains_name_3k_test	placeholder	false
building_superchains_description_3k_dlc06_district_residential_markets	placeholder	false
building_superchains_description_3k_district_market_schools	placeholder	false
building_superchains_name_3k_resource_fire_iron	[ph] Iron	false
building_superchains_description_3k_district_artisan_private_workshops	placeholder	false
building_superchains_name_3k_district_military_equipment	[ph] Military Equipment	false
building_superchains_description_3k_resource_metal_copper	placeholder	false
building_superchains_description_3k_district_residential_bandits	placeholder	false
building_superchains_name_3k_district_residential_bandits	[ph] Bandit Lair	false
building_superchains_name_3k_resource_bandit_buildings	Banditry	false
building_superchains_name_3k_dlc06_district_government_temples	placeholder	false
building_superchains_description_3k_district_residential_granaries	placeholder	false
building_superchains_description_3k_district_government_rural	placeholder	false
building_superchains_name_3k_dlc06_district_market_inn	placeholder	false
building_superchains_description_3k_district_government_black_mountain	placeholder	false
building_superchains_name_3k_district_artisan_state_workshops	[ph] State Workshops	false
building_superchains_name_3k_district_artisan_sun_jian_fealty	[ph] Mercenaries	false
