key	text	tooltip
#Loc;1;text/db/building_ui_groups__.loc		
building_ui_groups_onscreen_name_3k_dlc06_ui_building_group_district_government	Government Buildings	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_resource_spices	Spice	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_district_market	Learning & Market Buildings	false
building_ui_groups_onscreen_name_3k_dlc06_ui_building_group_district_market	Learning & Market Buildings	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_resource_fishing	Fishing	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_resource_farms	Farms	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_resource_salt	Salt	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_resource_livestock	Livestock	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_resource_horses	Northern Horses	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_district_government	Government Buildings	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_resource_copper	Copper	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_resource_lumber	Lumber	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_resource_tools	Tools	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_district_residential	Agriculture Buildings	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_resource_trade_port	Trade Port	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_resource_tea	Tea	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_resource_silk	Silk	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_resource_craftsmen_weapon	Master Weaponsmith	false
building_ui_groups_onscreen_name_3k_dlc06_ui_building_group_gate_pass	Gate Pass	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_resource_craftsmen_mounts	Master Animal Tamer	false
building_ui_groups_onscreen_name_3k_dlc05_ui_building_group_bandit_resource_options	Banditry	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_resource_craftsmen_armour	Master Armourer	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_resource_jade	Jade	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_resource_iron	Iron	false
building_ui_groups_onscreen_name_3k_dlc06_ui_building_group_district_workshops	Economic Buildings	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_district_military	Military Buildings	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_resource_temple	Temple of Pengcheng	false
building_ui_groups_onscreen_name_3k_dlc06_ui_building_group_district_military	Military Buildings	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_district_artisan	Economic Buildings	false
building_ui_groups_onscreen_name_3k_main_ui_building_group_settlement	Settlement	false
building_ui_groups_onscreen_name_3k_dlc06_ui_building_group_district_residential	Agriculture Buildings	false
