key	text	tooltip
#Loc;1;text/db/campaign_diplomacy_automatic_deal_situations__.loc		
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_create_coalition_yuan_shao	Coalition Created	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_annex_vassal	Vassal Annexed	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_proposer_declares_war_against_target	Faction Provides Military Support	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_non_aggression_pact_tao_qian	Non-aggression Pact Signed	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_support_independence_offer	Vassal Independence Supported	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_create_coalition_no_conditions	Coalition Created	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_vassalise_recipient_no_requirements	Factions Become Master and Vassal	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_imperial_annexation_enable	HIDDEN	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_emperor_power_token_lost	HIDDEN	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_create_alliance_no_conditions	Alliance Created	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_enemy_of_the_han_indefinite	HIDDEN	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_confederate_recipient_no_requirements	Faction Joined Confederation	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_join_alliance_proposer	HIDDEN	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_marriage_recieve_female_male	Character Marries into Faction	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_alliance_to_faction_war_no_vote	HIDDEN	false
campaign_diplomacy_automatic_deal_situations_description_dissolve_trade_agreement_on_region_lost	HIDDEN	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_liu_bei_confederate_proposer	Faction Confederated	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_confederate_proposer	Faction Confederated	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_liu_bei_confederate_recipient	Faction Joined Confederation	false
campaign_diplomacy_automatic_deal_situations_description_initiate_civil_war	Civil war	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_enemy_of_the_han_indefinite_break	HIDDEN	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_set_up_lu_bu_annexation	Annexation Treaty	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_emperor_power_token_gained	HIDDEN	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_war_coordination_enable	HIDDEN	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_create_coalition	Coalition Created	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_attitude_manipulation_hostage	Diplomatic Relations Improved	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_marriage_give_male_female	Character Marries into Faction	false
campaign_diplomacy_automatic_deal_situations_description_dissolve_trade_agreement_on_port_building_change	HIDDEN	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_regular_payment_offer	Regular Payment Offered	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_vassal_declares_independence	Vassal Declares Independence	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_vassalise_recipient_forced	Factions Become Master and Vassal	false
campaign_diplomacy_automatic_deal_situations_description_mandate_of_heaven_become_world_leader	HIDDEN	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_create_alliance	Alliance Created	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_attitude_manipulation_positive	Diplomatic Relations Improved	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_create_empire_no_conditions	Empire Created	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_proposer_declares_peace_against_target	Peace Signed	false
campaign_diplomacy_automatic_deal_situations_description_companion_faction_awakens	HIDDEN	false
campaign_diplomacy_automatic_deal_situations_description_governor_defected	War declared	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_attitude_manipulation_negative	Diplomatic Relations Worsened	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_alliance_to_alliance_war_no_vote	HIDDEN	false
campaign_diplomacy_automatic_deal_situations_description_data_defined_situation_recipient_declares_war_against_target	Faction Provides Military Support	false
