key	text	tooltip
#Loc;1;text/db/campaign_diplomacy_movement_options__.loc		
campaign_diplomacy_movement_options_localised_title_campaign_force_movement_options_alliance_vassal	Leave military alliance and declare war on faction	false
campaign_diplomacy_movement_options_localised_title_campaign_force_movement_options_coalition_vassal	Leave coalition and declare war on faction	false
campaign_diplomacy_movement_options_localised_title_campaign_force_movement_options_coalition	Leave coalition and declare war on faction	false
campaign_diplomacy_movement_options_localised_title_treaty_vassalage_any<variable_master>_to_proposer_and_war_with_master_existing_AND	Aid master	false
campaign_diplomacy_movement_options_localised_title_campaign_force_movement_options_empire_not_emperor	Abandon empire and declare war on faction	false
campaign_diplomacy_movement_options_localised_title_campaign_force_movement_options_empire_emperor	Expell subject and declare war on faction	false
campaign_diplomacy_movement_options_localised_title_campaign_force_movement_options_empire_vassal	Abandon empire and declare war on faction	false
campaign_diplomacy_movement_options_localised_title_campaign_force_movement_options_default	War against faction	false
campaign_diplomacy_movement_options_localised_title_treaty_vassalage_any<variable_master>_to_proposer_and_not_vassalage_any<variable_master>_to_recipient_existing_AND	Request permission to declare war	false
campaign_diplomacy_movement_options_localised_title_campaign_force_movement_options_alliance	Leave military alliance and declare war on faction	false
