key	text	tooltip
#Loc;1;text/db/campaign_effect_groups__.loc		
campaign_effect_groups_title_3k_main_campaign_effect_group_region_to_character	From {{tr:map_Region}}	false
campaign_effect_groups_title_3k_main_campaign_effect_group_effects_to_faction	Faction	false
campaign_effect_groups_title_3k_main_campaign_effect_group_effects_to_faction_minister	{{tr:prime_minister}}, Heir or Faction Leader	false
campaign_effect_groups_title_3k_main_campaign_effect_group_effects_to_army_commanding	Commanded Army	false
campaign_effect_groups_title_3k_main_campaign_effect_group_effects_to_province	{{tr:map_Province}}	false
campaign_effect_groups_title_3k_main_campaign_effect_group_effects_to_region	{{tr:map_Region}}	false
campaign_effect_groups_title_3k_main_campaign_effect_group_ministers_to_character	From People in Power	false
campaign_effect_groups_title_3k_main_campaign_effect_group_effects_to_self	Personal	false
campaign_effect_groups_title_3k_main_campaign_effect_group_effects_to_retinue	Retinue	false
campaign_effect_groups_title_3k_main_campaign_effect_group_effects_to_army	Army	false
campaign_effect_groups_title_3k_main_campaign_effect_group_province_to_character	From {{tr:map_Province}}	false
campaign_effect_groups_title_3k_main_campaign_effect_group_effects_to_character	Character	false
campaign_effect_groups_title_3k_main_campaign_effect_group_faction_to_character	From Faction	false
campaign_effect_groups_title_3k_main_campaign_effect_group_effects_to_province_governing	Administered {{tr:map_Province}}	false
campaign_effect_groups_title_3k_dlc04_campaign_effect_group_effects_to_faction_minister_alternative	Court Minister	false
campaign_effect_groups_title_3k_main_campaign_effect_group_effects_to_enemy	Enemy	false
