key	text	tooltip
#Loc;1;text/db/campaign_effect_scope_categories__.loc		
campaign_effect_scope_categories_name_localised_scope_category_province	{{tr:map_Province}}	false
campaign_effect_scope_categories_name_localised_scope_category_faction_minister_alternative	Court Minister	false
campaign_effect_scope_categories_name_localised_scope_category_navy	Navy	false
campaign_effect_scope_categories_name_localised_scope_category_enemy	Enemy	false
campaign_effect_scope_categories_name_localised_scope_category_commanding	Commanded Army	false
campaign_effect_scope_categories_name_localised_scope_category_faction_minister	{{tr:prime_minister}}, Heir or Faction Leader	false
campaign_effect_scope_categories_name_localised_scope_category_faction	Faction	false
campaign_effect_scope_categories_name_localised_scope_category_province_governing	Administered {{tr:map_Province}}	false
campaign_effect_scope_categories_name_localised_scope_category_region	{{tr:map_Region}}	false
campaign_effect_scope_categories_name_localised_scope_category_retinue	Retinue	false
campaign_effect_scope_categories_name_localised_scope_category_personal	Personal	false
campaign_effect_scope_categories_name_localised_scope_category_characters	Character	false
campaign_effect_scope_categories_name_localised_scope_category_force	Military Force	false
campaign_effect_scope_categories_name_localised_scope_category_army	Army	false
