key	text	tooltip
#Loc;1;text/db/campaign_effect_scopes__.loc		
campaign_effect_scopes_localised_text_faction_to_province_own_commandery	[[col:scope_description]](in all your {{tr:map_provinces}})[[/col]]	false
campaign_effect_scopes_localised_text_province_to_army_own	[[col:scope_description]]({{tr:map_province}}-wide)[[/col]]	false
campaign_effect_scopes_localised_text_character_to_force_own	[[col:scope_description]](own army)[[/col]]	false
campaign_effect_scopes_localised_text_character_to_character_any_provincewide_when_governor	[[col:scope_description]](administered {{tr:map_province}})[[/col]]	false
campaign_effect_scopes_localised_text_force_to_region_provincewide_enemy	[[col:scope_description]](enemy {{tr:map_province}})[[/col]]	false
campaign_effect_scopes_localised_text_region_to_region_own_provincewide_verbose	[[col:scope_description]](all {{tr:map_regions}} in this {{tr:map_province}})[[/col]]	false
campaign_effect_scopes_localised_text_province_to_region_own_factionwide	[[col:scope_description]](faction-wide)[[/col]]	false
campaign_effect_scopes_localised_text_character_minister_to_force_hostile_factionwide_unseen_alternative	[[col:scope_description]](faction-wide)[[/col]]	false
campaign_effect_scopes_localised_text_faction_to_faction_own_characters	[[col:scope_description]](all characters)[[/col]]	false
campaign_effect_scopes_localised_text_faction_to_encamp_stance_dummy	[[col:scope_description]](local {{tr:map_province}} from own armies in encamp stance)[[/col]]	false
campaign_effect_scopes_localised_text_force_to_force_any	[[col:scope_description]](faction-wide)[[/col]]	false
campaign_effect_scopes_localised_text_faction_to_character_own_when_commanding	[[col:scope_description]](faction-wide when commanding)[[/col]]	false
campaign_effect_scopes_localised_text_building_to_sea_region_own_provincewide	[[col:scope_description]](local {{tr:map_province}})[[/col]]	false
campaign_effect_scopes_localised_text_character_to_force_own_enemy_territory_when_commanding	[[col:scope_description]](when commanding)[[/col]]	false
campaign_effect_scopes_localised_text_faction_to_faction_leader	[[i]][[col:scope_description]](faction leader)[[/col]][[/i]]	false
campaign_effect_scopes_localised_text_faction_to_general_own	[[col:scope_description]](faction-wide)[[/col]]	false
campaign_effect_scopes_localised_text_region_to_province_own_unseen	[[col:scope_description]](local {{tr:map_provinces}})[[/col]]	false
campaign_effect_scopes_localised_text_character_minister_to_character_factionwide_unseen_alternative	[[col:scope_description]](faction-wide)[[/col]]	false
campaign_effect_scopes_localised_text_region_to_character_own	[[col:scope_description]](local {{tr:map_region}})[[/col]]	false
campaign_effect_scopes_localised_text_faction_to_force_allied	[[col:scope_description]](allied factions)[[/col]]	false
campaign_effect_scopes_localised_text_character_to_force_own_factionwide_allied_territory	[[col:scope_description]](forces in allied territory faction-wide)[[/col]]	false
campaign_effect_scopes_localised_text_force_to_province_own_encamp_special	[[col:scope_description]](local {{tr:map_province}} from own armies in encamp stance)[[/col]]	false
campaign_effect_scopes_localised_text_navy_to_sea_region_own	[[col:scope_description]](local sea region)[[/col]]	false
campaign_effect_scopes_localised_text_faction_to_region_own_unseen	[[col:scope_description]](all {{tr:map_regions}} faction-wide)[[/col]]	false
campaign_effect_scopes_localised_text_force_to_general_own_forcewide	[[col:scope_description]](this army)[[/col]]	false
campaign_effect_scopes_localised_text_province_to_faction_unseen	[[col:scope_description]](faction-wide)[[/col]]	false
campaign_effect_scopes_localised_text_region_to_sea_region_own	[[col:scope_description]](this sea region)[[/col]]	false
campaign_effect_scopes_localised_text_character_to_character_own_forcewide	[[col:scope_description]](this army)[[/col]]	false
campaign_effect_scopes_localised_text_character_to_character_provincewide	[[col:scope_description]](local {{tr:map_province}})[[/col]]	false
campaign_effect_scopes_localised_text_faction_to_force_enemy	[[col:scope_description]](faction-wide)[[/col]]	false
campaign_effect_scopes_localised_text_character_minister_to_faction	{{tr:only_if_faction_leader}}	false
campaign_effect_scopes_localised_text_region_to_force_own	[[col:scope_description]](local {{tr:map_region}})[[/col]]	false
campaign_effect_scopes_localised_text_character_to_province_allied_adjacent	[[col:scope_description]](adjacent allied {{tr:map_provinces}})[[/col]]	false
campaign_effect_scopes_localised_text_force_to_province_enemy_factionwide	[[col:scope_description]](faction-wide)[[/col]]	false
campaign_effect_scopes_localised_text_character_to_region_any_in_adjacent_province	[[col:scope_description]](adjacent {{tr:map_provinces}})[[/col]]	false
campaign_effect_scopes_localised_text_character_to_force_enemy_provincewide_when_governor	[[col:scope_description]](enemy armies in administered {{tr:map_province}})[[/col]]	false
campaign_effect_scopes_localised_text_character_to_navy_own	[[col:scope_description]](commanded navy)[[/col]]	false
campaign_effect_scopes_localised_text_character_to_force_enemy_in_adjacent_province	[[col:scope_description]](enemy armies in adjacent {{tr:map_provinces}})[[/col]]	false
campaign_effect_scopes_localised_text_character_to_region_own_provincewide	[[col:scope_description]](local {{tr:map_province}})[[/col]]	false
campaign_effect_scopes_localised_text_character_minister_to_character_factionwide_alternative	{{tr:only_if_minister}}	false
campaign_effect_scopes_localised_text_force_to_faction_when_garrisoned	[[col:scope_description]](for each garrisoned army)[[/col]]	false
campaign_effect_scopes_localised_text_character_to_faction	[[col:scope_description]](faction-wide)[[/col]]	false
campaign_effect_scopes_localised_text_region_to_region_own	[[col:scope_description]](local {{tr:map_region}})[[/col]]	false
campaign_effect_scopes_localised_text_force_to_region_any_provincewide	[[col:scope_description]](local {{tr:map_province}})[[/col]]	false
campaign_effect_scopes_localised_text_dummy_scope_if_faction_leader	[[i]][[col:scope_description]](if faction leader)[[/col]][[/i]]	false
campaign_effect_scopes_localised_text_character_minister_to_faction_to_character_own_territory_yours_alternative	{{tr:only_if_minister}}	false
campaign_effect_scopes_localised_text_character_minister_to_force_factionwide_alternative	{{tr:only_if_minister}}	false
campaign_effect_scopes_localised_text_province_to_regions_own_in_adjacent_province	[[col:scope_description]](adjacent {{tr:map_provinces}})[[/col]]	false
campaign_effect_scopes_localised_text_building_to_character_all_provincewide	[[col:scope_description]](local {{tr:map_province}})[[/col]]	false
campaign_effect_scopes_localised_text_building_to_character_own_adjacent	[[col:scope_description]](adjacent {{tr:map_provinces}})[[/col]]	false
campaign_effect_scopes_localised_text_character_to_region_provincewide	[[col:scope_description]](local {{tr:map_province}})[[/col]]	false
campaign_effect_scopes_localised_text_character_minister_to_force_hostile_factionwide	{{tr:only_if_faction_leader_factionwide}}	false
campaign_effect_scopes_localised_text_force_to_province_enemy	[[col:scope_description]](enemy {{tr:map_province}})[[/col]]	false
campaign_effect_scopes_localised_text_faction_to_force_own_territory_enemy	[[col:scope_description]](faction-wide)[[/col]]	false
campaign_effect_scopes_localised_text_region_to_region_adjacent	[[col:scope_description]](adjacent {{tr:map_regions}})[[/col]]	false
campaign_effect_scopes_localised_text_character_minister_to_faction_to_character_own_territory_yours_unseen	 	false
campaign_effect_scopes_localised_text_character_minister_to_province_factionwide_unseen_alternative	[[col:scope_description]](faction-wide)[[/col]]	false
campaign_effect_scopes_localised_text_character_minister_to_force_hostile_factionwide_alternative	{{tr:only_if_minister}}	false
campaign_effect_scopes_localised_text_character_to_character_own_when_present	[[col:scope_description]](when present)[[/col]]	false
campaign_effect_scopes_localised_text_character_to_military_force_retinue_own	[[col:scope_description]](own retinue)[[/col]]	false
campaign_effect_scopes_localised_text_faction_to_region_own_province_capitals_only	[[col:scope_description]](all {{tr:map_province}} capitals)[[/col]]	false
campaign_effect_scopes_localised_text_character_to_force_own_in_adjacent_province	[[col:scope_description]](own armies in adjacent {{tr:map_provinces}})[[/col]]	false
campaign_effect_scopes_localised_text_faction_to_character_own_territory_neutral	[[col:scope_description]](all characters)[[/col]]	false
campaign_effect_scopes_localised_text_province_to_region_own_unseen	[[col:scope_description]](local {{tr:map_region}})[[/col]]	false
