key	text	tooltip
#Loc;1;text/db/campaign_ground_types_climate_overrides__.loc		
campaign_ground_types_climate_overrides_onscreen_name_override_aridriver	River	false
campaign_ground_types_climate_overrides_onscreen_name_override_subtropicalsea_lake	Lake	false
campaign_ground_types_climate_overrides_onscreen_name_override_coldriver_navigable_crossing	River Crossing	false
campaign_ground_types_climate_overrides_onscreen_name_override_temperategrassland	Grassland	false
campaign_ground_types_climate_overrides_onscreen_name_override_coldplains	Plains	false
campaign_ground_types_climate_overrides_onscreen_name_override_aridmountain	Mountain	false
campaign_ground_types_climate_overrides_onscreen_name_override_aridsea_coast	Coastal Waters	false
campaign_ground_types_climate_overrides_onscreen_name_override_temperateriver_navigable_crossing	River Crossing	false
campaign_ground_types_climate_overrides_onscreen_name_override_coldlight_forest	Forest	false
campaign_ground_types_climate_overrides_onscreen_name_override_ariddense_forest	Dense Forest	false
campaign_ground_types_climate_overrides_onscreen_name_override_aridriver_navigable	Navigable River	false
campaign_ground_types_climate_overrides_onscreen_name_override_temperatedense_forest	Dense Forest	false
campaign_ground_types_climate_overrides_onscreen_name_override_subtropicalriver_navigable_shallows	Shallow River	false
campaign_ground_types_climate_overrides_onscreen_name_override_temperateriver_navigable_shallows	Shallow River	false
campaign_ground_types_climate_overrides_onscreen_name_override_subtropicalriver	River	false
campaign_ground_types_climate_overrides_onscreen_name_override_coldtundra	Tundra	false
campaign_ground_types_climate_overrides_onscreen_name_override_subtropicalgrassland	Grassland	false
campaign_ground_types_climate_overrides_onscreen_name_override_subtropicalmountain	Mountain	false
campaign_ground_types_climate_overrides_onscreen_name_override_temperateriver	River	false
campaign_ground_types_climate_overrides_onscreen_name_override_aridriver_navigable_shallows	Shallow River	false
campaign_ground_types_climate_overrides_onscreen_name_override_temperatehilly_grassland	Hilly Grassland	false
campaign_ground_types_climate_overrides_onscreen_name_override_colddesert	Desert	false
campaign_ground_types_climate_overrides_onscreen_name_override_temperatelight_forest	Forest	false
campaign_ground_types_climate_overrides_onscreen_name_override_aridhilly_dense_forest	Hilly Dense Forest	false
campaign_ground_types_climate_overrides_onscreen_name_override_coldhilly_plains	Hilly Plains	false
campaign_ground_types_climate_overrides_onscreen_name_override_subtropicalhilly_grassland	Hilly Grassland	false
campaign_ground_types_climate_overrides_onscreen_name_override_coldhilly_light_forest	Hilly Forest	false
campaign_ground_types_climate_overrides_onscreen_name_override_coldsea_coast	Coastal Waters	false
campaign_ground_types_climate_overrides_onscreen_name_override_aridriver_navigable_crossing	River Crossing	false
campaign_ground_types_climate_overrides_onscreen_name_override_ariddesert	Desert	false
campaign_ground_types_climate_overrides_onscreen_name_override_aridsea_ocean	Open Ocean	false
campaign_ground_types_climate_overrides_onscreen_name_override_aridtundra	Tundra	false
campaign_ground_types_climate_overrides_onscreen_name_override_temperatehilly_dense_forest	Hilly Dense Forest	false
campaign_ground_types_climate_overrides_onscreen_name_override_temperatesea_coast	Coastal Waters	false
campaign_ground_types_climate_overrides_onscreen_name_override_temperatewetland	Marsh	false
campaign_ground_types_climate_overrides_onscreen_name_override_temperatesea_ocean	Open Ocean	false
campaign_ground_types_climate_overrides_onscreen_name_override_aridhilly_grassland	Hilly Grassland	false
campaign_ground_types_climate_overrides_onscreen_name_override_subtropicaldense_forest	Dense Jungle	false
campaign_ground_types_climate_overrides_onscreen_name_override_aridsea_lake	Lake	false
campaign_ground_types_climate_overrides_onscreen_name_override_aridhilly_light_forest	Hilly Forest	false
campaign_ground_types_climate_overrides_onscreen_name_override_subtropicalsea_ocean	Open Ocean	false
campaign_ground_types_climate_overrides_onscreen_name_override_coldriver_navigable	Navigable River	false
campaign_ground_types_climate_overrides_onscreen_name_override_subtropicalriver_navigable	Navigable River	false
campaign_ground_types_climate_overrides_onscreen_name_override_subtropicalhilly_light_forest	Hilly Jungle	false
campaign_ground_types_climate_overrides_onscreen_name_override_coldhilly_grassland	Hilly Grassland	false
campaign_ground_types_climate_overrides_onscreen_name_override_coldsea_lake	Lake	false
campaign_ground_types_climate_overrides_onscreen_name_override_subtropicallight_forest	Jungle	false
campaign_ground_types_climate_overrides_onscreen_name_override_subtropicalwetland	Swamp	false
campaign_ground_types_climate_overrides_onscreen_name_override_aridhilly_plains	Hilly Plains	false
campaign_ground_types_climate_overrides_onscreen_name_override_temperatetundra	Tundra	false
campaign_ground_types_climate_overrides_onscreen_name_override_coldsea_ocean	Open Ocean	false
campaign_ground_types_climate_overrides_onscreen_name_override_subtropicaltundra	Tundra	false
campaign_ground_types_climate_overrides_onscreen_name_override_aridlight_forest	Forest	false
campaign_ground_types_climate_overrides_onscreen_name_override_coldhilly_dense_forest	Hilly Dense Forest	false
campaign_ground_types_climate_overrides_onscreen_name_override_aridwetland	Marsh	false
campaign_ground_types_climate_overrides_onscreen_name_override_subtropicaldesert	Desert	false
campaign_ground_types_climate_overrides_onscreen_name_override_temperatesea_lake	Lake	false
campaign_ground_types_climate_overrides_onscreen_name_override_coldmountain	Mountain	false
campaign_ground_types_climate_overrides_onscreen_name_override_subtropicalhilly_dense_forest	Hilly Dense Jungle	false
campaign_ground_types_climate_overrides_onscreen_name_override_temperateplains	Plains	false
campaign_ground_types_climate_overrides_onscreen_name_override_colddense_forest	Dense Forest	false
campaign_ground_types_climate_overrides_onscreen_name_override_temperateriver_navigable	Navigable River	false
campaign_ground_types_climate_overrides_onscreen_name_override_coldwetland	Marsh	false
campaign_ground_types_climate_overrides_onscreen_name_override_subtropicalriver_navigable_crossing	River Crossing	false
campaign_ground_types_climate_overrides_onscreen_name_override_temperatemountain	Mountain	false
campaign_ground_types_climate_overrides_onscreen_name_override_subtropicalplains	Plains	false
campaign_ground_types_climate_overrides_onscreen_name_override_coldgrassland	Grassland	false
campaign_ground_types_climate_overrides_onscreen_name_override_temperatedesert	Desert	false
campaign_ground_types_climate_overrides_onscreen_name_override_coldriver	River	false
campaign_ground_types_climate_overrides_onscreen_name_override_temperatehilly_light_forest	Hilly Forest	false
campaign_ground_types_climate_overrides_onscreen_name_override_aridgrassland	Grassland	false
campaign_ground_types_climate_overrides_onscreen_name_override_subtropicalhilly_plains	Hilly Plains	false
campaign_ground_types_climate_overrides_onscreen_name_override_subtropicalsea_coast	Coastal Waters	false
campaign_ground_types_climate_overrides_onscreen_name_override_aridplains	Plains	false
campaign_ground_types_climate_overrides_onscreen_name_override_temperatehilly_plains	Hilly Plains	false
campaign_ground_types_climate_overrides_onscreen_name_override_coldriver_navigable_shallows	Shallow River	false
