key	text	tooltip
#Loc;1;text/db/campaign_localised_strings__.loc		
campaign_localised_strings_string_politics_action_make_heir_heading	[[col:yellow]]Declare Heir[[/col]]	false
campaign_localised_strings_string_court_screen_post_selected	This post is selected.	false
campaign_localised_strings_string_recruitment_cannot_global_stance	{{tr:recruitment_cannot_global_stance}}	false
campaign_localised_strings_string_3k_dlc07_tutorial_mode_captains_panel_resource_title	Lineage	false
campaign_localised_strings_string_tooltip_province_details_tax_info	This is your tax level. A faction-wide tax can be set in the Treasury panel, and it will be impacted by local modifiers.	false
campaign_localised_strings_string_3k_dlc04_tutorial_mode_hud_pooled_resources_3k_dlc04_pooled_resource_fervour_description	{{tr:dlc04_term_fervour}} is the amount of impassioned support you have amongst your followers. Keep this flame burning strong, honing it into a spear to pierce your enemies.	false
campaign_localised_strings_string_military_force_morale_effect_type_debug	[PH] DEBUG EFFECT	false
campaign_localised_strings_string_3k_main_tutorial_mode_battle_duels_description	This is the status panel for an [[b]]ongoing duel[[/b]], which allows you to keep track of its [[b]]progress[[/b]] and [[b]]strength comparison[[/b]]. If your hero is falling behind, it might be best to [[b]]interfere[[/b]] or [[b]]withdraw[[/b]] from the duel.\\n\\n(Romance mode only) Also consider [[b]]buffing[[/b]] your duellist by using the [[b]]special abilities[[/b]] of other heroes in your army.	false
campaign_localised_strings_string_details_panel_tradition_cannot_select	This force cannot adopt this tradition:	false
campaign_localised_strings_string_3k_main_faction_summary_title_noble	Just as a journey of a thousand miles begins with a single step, every leader must start somewhere. As a noble, your faction leader is no normal member of the body politic, but one who has risen through the ranks of the community to wield considerable martial powers.	false
campaign_localised_strings_string_faction_rank_bandit_5	{$faction$|gender=Bandit King|Bandit Queen}	false
campaign_localised_strings_string_3k_dlc07_liu_yan_ambition_task_lead_battles_desc	Have your heir lead and participate in battles to give him a taste of war's privations.	false
campaign_localised_strings_string_rename	Rename	false
campaign_localised_strings_string_3k_main_recruitment_invalidation_tooltip_target_faction_can_never_receive_underercover_characters	This faction cannot be spied upon.	false
campaign_localised_strings_string_3k_dlc07_tutorial_mode_imperial_hud_description	Selecting this will open the Imperial Intrigue panel, which governs all the mechanics which become active once Emperor Xian comes of age in 197 CE, introducing a struggle over the influence of the new imperial power.	false
campaign_localised_strings_string_3k_dlc07_captains_attack_range_description	Improving your weaponry will allow our ranged attacks to fire even further!	false
campaign_localised_strings_string_3k_dlc07_schemes_unlock_condition_army_public_order	Own a {{tr:map_province}} where you have an army but {{tr:public_order}} is below 0.	false
campaign_localised_strings_string_3k_main_relationships_opinions_family_title	Bound by Family	false
campaign_localised_strings_string_cannot_migrate_already_migrating_expedition	You are already migrating.	false
campaign_localised_strings_string_imperium_tooltip_10	Supreme||The power wielded by your people is undisputable. None shall resist their might, nor the temptation to control it: civil strife is certain.	false
campaign_localised_strings_string_3k_main_tutorial_mode_army_supplies_description	{{tr:tutorial_mode_army_supplies_description}}	false
campaign_localised_strings_string_gdp_animal_husbandry	Livestock	false
campaign_localised_strings_string_issue_own_region_underdeveloped	This region stands to benefit greatly from further investment in infrastructure, my lord. There are engineers and talented masons you can contract to grow the city.	false
campaign_localised_strings_string_3k_dlc07_liu_yan_ambition_task_reach_level_objective	Have your heir level-up.	false
campaign_localised_strings_string_3k_dlc07_liu_yan_ambition_task_developed_town_desc	Build a city worthy of being called a capital, with imposing walls and a lustrous castle.	false
campaign_localised_strings_string_unit_upgrade_cannot_reason_damaged_single	The unit is not at full strength.	false
campaign_localised_strings_string_building_required_tech_tooltip	This will show you where the building is located in the building browser for your capital, though it can be built in any settlement to unlock the {{tr:3k_tr_technology}}.	false
campaign_localised_strings_string_building_reform_unlock_left_click	Left-click to view in reforms screen.	false
campaign_localised_strings_string_replenishment_tooltip_unable_reason_FORCE_REPLENISHMENT_DISABLED	Replenishment disabled	false
campaign_localised_strings_string_military_force_morale_bonus_value_military_force	Military Force	false
campaign_localised_strings_string_details_panel_tradition_unlocked_rank	Unlocked at rank:	false
campaign_localised_strings_string_politics_event_bribe_success	He has accepted the offer and has pledged allegiance to his new party. Now he serves their interests.	false
