key	text	tooltip
#Loc;1;text/db/campaign_map_tooltip_texts__.loc		
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_player_agent	Your %S	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_warning_diplomatic_impact_attack	[[col:yellow]]Attacking foreign assets is an act of war![[/col]]	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_transfer_units_left_clk_select_army	Right-click to transfer\\nLeft-click to select	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_warning_no_access	[[img:ui/skins/default/icon_diplomacy_path.png]][[/img]][[col:red]]Trespassing may have diplomatic repercussions![[/col]]	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_transfer_units_left_clk_select_navy	Right-click to transfer\\nLeft-click to select	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_garrison_port_left_clk_select	Right-click to garrison the port\\nLeft-click to select	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_attack_settlement_left_clk_select_inspection	Right-click to attack the settlement\\nLeft-click to inspect	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_contested_sea_region_self	Replenishment or recruitment only happens at your ports.	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_player_trade_route_self	Your trade route	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_select_inspection	Left-click to inspect	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_select_must_break_blockade	Left-click to select.\\nMust break blockade first.	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_act_against_character_left_clk_select_inspection	Right-click to act\\nLeft-click to inspect	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_must_break_siege	Must break siege first.	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_warning_already_besieged	This settlement is already besieged.	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_allied_general_on_sea	Allied transport ships	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_annexable_minor_settlement	Annexable minor settlement	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_hostile_sea_region_self	No replenishment or recruitment available.	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_warning_already_besieged_non_enemy	This settlement is already besieged.\\n[[col:yellow]]Attacking foreign assets is an act of war![[/col]]	false
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_abandoned_major_region	An abandoned capital of the {{tr:map_province}}.	false
campaign_map_tooltip_texts_tooltip_text_rome_2_tltip_left_ck_inspect_right_clk_disembark_at_coast	Left-click to inspect.\\nRight-click to disembark and attack.	false
