key	text	tooltip
#Loc;1;text/db/campaign_mission_objective_treaty_component_sets__.loc		
campaign_mission_objective_treaty_component_sets_description_n_ep_main_objective_treaties_non_aggression_pact	Have a non-aggression pact with %n factions	false
campaign_mission_objective_treaty_component_sets_description_n_including_3k_dlc06_objective_treaties_vassal_or_dead	UNUSED	false
campaign_mission_objective_treaty_component_sets_description_any_3k_main_objective_treaties_trade	Have a trade agreement with any faction	false
campaign_mission_objective_treaty_component_sets_description_singular_3k_main_objective_treaties_trade	Have a trade agreement with %n	false
campaign_mission_objective_treaty_component_sets_description_less_than_n_3k_dlc04_objective_treaties_food_demand	Have fewer than %n treaties supplying you with food	false
campaign_mission_objective_treaty_component_sets_description_not_singular_3k_dlc04_objective_treaties_food_demand	Have no food income from treaties with %n	false
campaign_mission_objective_treaty_component_sets_description_singular_3k_main_objective_treaties_vassal	Hold %n in vassalage	false
campaign_mission_objective_treaty_component_sets_description_no_human_players_3k_dlc04_objective_treaties_allies	[PH]	false
campaign_mission_objective_treaty_component_sets_description_n_3k_main_objective_treaties_military_access	Have military access agreements with %n factions	false
campaign_mission_objective_treaty_component_sets_description_less_than_n_of_3k_main_objective_treaties_war	Be at war with less than %n of the following factions	false
campaign_mission_objective_treaty_component_sets_description_n_including_ep_main_objective_treaties_non_aggression_pact	Have a non-aggression pact with %n factions including the following	false
campaign_mission_objective_treaty_component_sets_description_all_human_players_3k_dlc06_objective_treaties_vassal_or_dead	[PH]	false
campaign_mission_objective_treaty_component_sets_description_less_than_n_of_3k_main_objective_treaties_military_access	Have military access with fewer than %n of the following factions	false
campaign_mission_objective_treaty_component_sets_description_any_3k_dlc04_objective_treaties_allies	Maintain alliance treaties with any factions	false
campaign_mission_objective_treaty_component_sets_description_n_of_3k_main_objective_coop	Have %n of the following factions as your co-op	false
campaign_mission_objective_treaty_component_sets_description_less_than_n_3k_main_objective_coop	Have less than %n co-op	false
campaign_mission_objective_treaty_component_sets_description_any_3k_main_objective_treaties_vassal	Have any other faction as your vassal	false
campaign_mission_objective_treaty_component_sets_description_n_3k_main_objective_treaties_war	Be at war with %n factions	false
campaign_mission_objective_treaty_component_sets_description_singular_3k_dlc06_objective_treaties_mercenary_contract	Have a mercenary treaty with %n	false
