key	text	tooltip
#Loc;1;text/db/campaign_payload_ui_details__.loc		
campaign_payload_ui_details_description_dummy_sun_jian_introduction_02	Secure the Southlands	false
campaign_payload_ui_details_description_dummy_gongsun_zan_introduction_02	Be wary of Liu Yu and Gongsun Du	false
campaign_payload_ui_details_description_shamoke_an_envoy_arrives_third	The envoy is respectfully dismissed.	false
campaign_payload_ui_details_description_dummy_dlc04_region_transferred	This {{tr:map_region}} is gifted away	false
campaign_payload_ui_details_description_dummy_dlc07_liu_bei_rebels_cao_cao	Liu Bei Rebels against Cao Cao.	false
campaign_payload_ui_details_description_dummy_dlc07_yuan_shao_civil_war	Civil war erupts in Yuan Shao's faction.	false
campaign_payload_ui_details_description_dummy_dlc06_nanman_emerge	Nanman Tribes Appear	false
campaign_payload_ui_details_description_dummy_dilemma_mission_easy	Mission: Build	false
campaign_payload_ui_details_description_deny_governor_independence	Independance denied: %1%	false
campaign_payload_ui_details_description_dummy_do_nothing	Do nothing	false
campaign_payload_ui_details_description_rebellion	Rebellion	false
campaign_payload_ui_details_description_marriage_random	Marriage: %1%	false
campaign_payload_ui_details_description_dummy_dlc06_shamoke_introduction_02	You must unite the tribes or seize the mantle of emperor.	false
campaign_payload_ui_details_description_dummy_dlc04_zhang_bao_introduction_02	Build carefully, for enemies surround you.	false
campaign_payload_ui_details_description_dummy_dlc04_spawn_cao_ren	Character Joins: Cao Ren	false
campaign_payload_ui_details_description_dummy_dlc04_dong_zhuo_introduction_03	Wait for your perfect moment to take power.	false
campaign_payload_ui_details_description_dummy_3k_dlc04_dilemma_zhang_liang_huang_shao_2	Allied faction created: Huang Shao	false
campaign_payload_ui_details_description_undeploy_character		false
campaign_payload_ui_details_description_dummy_gating_corruption	Corruption is now affecting income in your {{tr:map_provinces}} and can be reviewed in the {{tr:map_Province}} Details screen.	false
campaign_payload_ui_details_description_dummy_dlc05_sun_ce_fathers_generals	Your father's generals return to serve you.	false
campaign_payload_ui_details_description_seek_wife	Marriage: %1%	false
campaign_payload_ui_details_description_dummy_dlc04_lu_zhi_introduction_02	Put down rebellions against the empire!	false
campaign_payload_ui_details_description_dummy_gating_ancillaries	Ancillaries may now be equipped in the Character Details screen.	false
campaign_payload_ui_details_description_dummy_dlc04_liu_chong_introduction_02	Be wary of Yuan Shu to the south.	false
campaign_payload_ui_details_description_dummy_yan_baihu_introduction_02	Keep a close eye on Yuan Shu and Sun Ce	false
campaign_payload_ui_details_description_dummy_dlc06_lady_zhurong_wild_fire_introduction_1	Wild Fire can be activated and deactivated by pressing the Wild Fire button.	false
campaign_payload_ui_details_description_dummy_dlc07_cao_cao_yuan_shao_illness	Yuan Shao, your former ally turned enemy, has died. Next season, his heir will rule.	false
campaign_payload_ui_details_description_dummy_dlc06_shamoke_introduction_03	Act with haste or be torn asunder.	false
campaign_payload_ui_details_description_damage_buildings_home_region	Buildings damaged	false
campaign_payload_ui_details_description_dummy_man_of_the_hour_spawn_character	A candidate appears	false
campaign_payload_ui_details_description_construct_siege_equipment	Siege equipment constructed: %1%	false
campaign_payload_ui_details_description_dummy_sima_liang_start_brain	Mission: Seek Diplomatic Support	false
campaign_payload_ui_details_description_dummy_dlc04_sun_jian_introduction_02	Guard and mentor your family.	false
campaign_payload_ui_details_description_dummy_dlc04_transition_incident_liberate_from_tyrant	Liberate the empire from the clutches of the tyrant	false
campaign_payload_ui_details_description_honour_change_positive		false
campaign_payload_ui_details_description_relationship_triggers_negative_large	Relationship [[col:effect_icon_supplement_negative]]deteriorates greatly[[/col]] between %1% and %2%	false
campaign_payload_ui_details_description_dummy_dlc04_empress_he_introduction_02	Thus it has ever been.	false
campaign_payload_ui_details_description_grant_character_ranks		false
campaign_payload_ui_details_description_character_ceo_trigger	%1%: %2%	false
campaign_payload_ui_details_description_dummy_dlc04_liu_chong_legend_01	You will fight battles and gain renown.	false
campaign_payload_ui_details_description_dummy_dlc05_zheng_jiang_introduction	Find a powerbase to build up your strength	false
campaign_payload_ui_details_description_dummy_dilemma_mission_hard	Mission: Conquer	false
campaign_payload_ui_details_description_dummy_dlc04_liu_chong_introduction	Build a land of prosperity.	false
campaign_payload_ui_details_description_dummy_dlc07_liu_yan_introduction_inherited_02	Generate further aspiration by having high-level cities and by conquering settlements.	false
campaign_payload_ui_details_description_dummy_gating_recruitment	Soldiers may now be recruited in your {{tr:map_regions}} and forces.	false
campaign_payload_ui_details_description_character_generated_legendary_water	This option will generate a legendary strategist character.	false
campaign_payload_ui_details_description_dummy_become_vassal_of_yuan_shao	You will become a vassal of Yuan Shao	false
campaign_payload_ui_details_description_dummy_yan_baihu_introduction	Claim Yellow Turban rebellion regions	false
campaign_payload_ui_details_description_damage_walls	Walls destroyed: %1%	false
campaign_payload_ui_details_description_shamoke_an_envoy_arrives_first	Diplomatic relations: %+1% with %2%	false
campaign_payload_ui_details_description_dummy_dlc04_empress_he_introduction_01	Long united, must divide.	false
campaign_payload_ui_details_description_create_automatic_diplomacy_deal	%1%: %2% and %3%	false
campaign_payload_ui_details_description_marriage_shamoke_dilemma_second	Duosi will surely understand...	false
campaign_payload_ui_details_description_wound_character	Character wounded: %1%	false
campaign_payload_ui_details_description_unit_restriction_change		false
campaign_payload_ui_details_description_dummy_dlc04_transition_incident_maintain_empire	Consolidate your power and maintain control of the empire.	false
campaign_payload_ui_details_description_diplomatic_attitude_change	Diplomatic relations: %+1% with %2%	false
campaign_payload_ui_details_description_dummy_dlc07_cao_cao_introduction	Repel Yuan Shao and his allies, while you mount a counter-offensive.	false
campaign_payload_ui_details_description_dummy_rank_mission	Dynasty Mission: Develop Characters	false
campaign_payload_ui_details_description_dummy_heroes_wil_join_cause	Heroes will join your cause	false
campaign_payload_ui_details_description_recall_character_from_assignment	Character recalled from assignment: %1%	false
campaign_payload_ui_details_description_dummy_dlc04_liu_biao_introduction	Rebuild your territory and prestige.	false
campaign_payload_ui_details_description_character_move_to_faction	%1% moves to faction %2%	false
campaign_payload_ui_details_description_dummy_dlc05_liu_bei_introduction_03	Keep an eye on Lü Bu and Cao Cao	false
campaign_payload_ui_details_description_dummy_peace_mission	Dynasty Mission: Make Peace	false
campaign_payload_ui_details_description_dummy_dlc04_transition_incident_seize_empire	Claim the emperorship for yourself.	false
campaign_payload_ui_details_description_dummy_dlc07_cao_cao_introduction_02	You have powerful officers within your faction, use them wisely.	false
campaign_payload_ui_details_description_dummy_kong_rong_introduction	Defend against the Yellow Turbans	false
campaign_payload_ui_details_description_dummy_dlc06_gain_fealty_ceos	Reclaim the fealty of the defeated tribe.	false
campaign_payload_ui_details_description_dummy_dlc05_liu_biao_introduction_02	Beware provoking Li Jue or He Yi	false
campaign_payload_ui_details_description_dummy_dlc04_transition_incident_defeat_regent	Remove the false regent from power	false
campaign_payload_ui_details_description_shamoke_an_envoy_arrives_second	Diplomatic relations: %+1% with %2%	false
campaign_payload_ui_details_description_dummy_become_vassal_of_liu_bei	You will become a vassal of Liu Bei.	false
campaign_payload_ui_details_description_dummy_dlc07_guandu_war_begins	The war for the north begins.	false
campaign_payload_ui_details_description_ep_dilemma_payload	You will receive a dilemma allowing you to spend this money in return for various effects.	false
campaign_payload_ui_details_description_dummy_dlc07_trigger_followup_mission	Your advisors will give you a task to complete.	false
campaign_payload_ui_details_description_spawn_unit_home_region	%1%	false
campaign_payload_ui_details_description_dummy_sun_ce_introduction_02	Achieving Sun Ce's ambitions grants powerful bonuses whilst also delaying his luck from running out. The faster it is stopped, the more of his luck will stay with him forever.	false
campaign_payload_ui_details_description_dummy_dlc04_dong_zhuo_introduction_02	Beware of an unseen enemy to the west.	false
campaign_payload_ui_details_description_military_force_pooled_resource_transaction	%2%: %3% for %1%	false
campaign_payload_ui_details_description_dummy_emperor_flees	Emperor Hui will flee to another powerful faction	false
campaign_payload_ui_details_description_dummy_dlc04_yellow_turbans_pre_dilemma_hint	Unlock missions to bolster the strength of the rebellion	false
campaign_payload_ui_details_description_dummy_dlc06_meng_huo_introduction_01	Unite the tribes of the south under a single banner.	false
campaign_payload_ui_details_description_dummy_zheng_jiang_introduction_02	Find a powerbase to build up your strength	false
campaign_payload_ui_details_description_remove_character_ceos	Trait lost: %2% from %1%	false
campaign_payload_ui_details_description_dummy_yuan_shao_dlc05_introduction_03	Be wary of Zhang Yan and Gongsun Zan to the north!	false
campaign_payload_ui_details_description_dummy_dlc07_faction_council_ready_to_be_convened_02	Your ministers are the characters that hold important positions within your court.	false
campaign_payload_ui_details_description_character_defection	%1% moves to faction %2%	false
campaign_payload_ui_details_description_marriage_shamoke_dilemma_first	Marriage: %1% and %2%	false
campaign_payload_ui_details_description_add_regional_faction_support	Faction Support in %2% changed by %1%	false
campaign_payload_ui_details_description_dummy_lu_bu_reset_personal_victories	Your personal victories counter will reset to 0	false
campaign_payload_ui_details_description_dummy_liu_biao_introduction_02	Defeat the Yellow Turbans	false
campaign_payload_ui_details_description_dummy_yuan_shao_dlc05_introduction_01	Crush the rebels	false
campaign_payload_ui_details_description_demolish_building_chain		false
campaign_payload_ui_details_description_party_power_change		false
campaign_payload_ui_details_description_dummy_dlc05_sun_ce_zhang_hong	If alive, Zhang Hong joins your court	false
campaign_payload_ui_details_description_dummy_dlc04_transition_incident_build_prestige	Continue to build your power and prestige	false
campaign_payload_ui_details_description_dummy_dlc07_liu_yan_introduction_01	Complete aspiration tasks to prepare your heir and offer them various bonuses once they take over.	false
campaign_payload_ui_details_description_dummy_imperial_court_low_political_influence	This is occurring due to the Han Dynasty's low stability.	false
campaign_payload_ui_details_description_dummy_dlc04_sun_ren_born	Character born: Sun Ren	false
campaign_payload_ui_details_description_spawn_agent_home_region	Character recruited: %1%, %2%	false
campaign_payload_ui_details_description_dummy_sun_jian_introduction	Be wary of Liu Biao and his vassals	false
campaign_payload_ui_details_description_kill_character_wounded	Character wounded: %1%	false
campaign_payload_ui_details_description_dummy_hoard_mission	Dynasty Mission: Wealth	false
campaign_payload_ui_details_description_dummy_dlc07_ma_chao_returns	Ma Chao Returns	false
campaign_payload_ui_details_description_dummy_dlc07_liu_yan_dilemma_sons_join	The characters join your faction.	false
campaign_payload_ui_details_description_dummy_dlc04_liu_chong_introduction_03	Luo Jun will be your guide.	false
campaign_payload_ui_details_description_dummy_civil_war_dong_zhuo	Civil War: Dong Zhuo	false
campaign_payload_ui_details_description_dummy_cao_cao_introduction_02	Be wary of Yuan Shu to the west and Tao Qian to the east	false
campaign_payload_ui_details_description_dummy_zheng_jiang_introduction	Make your way past the Han forces	false
campaign_payload_ui_details_description_dummy_dlc07_cao_cao_attacks_wuchao	An attack will be launched on the granaries at Wuchao.	false
campaign_payload_ui_details_description_faction_ceo_trigger	%1% : %2% (faction)	false
campaign_payload_ui_details_description_dummy_dlc05_sun_ce_old_friend_returns	An old friend returns with his army	false
campaign_payload_ui_details_description_dummy_dlc04_zhang_jue_introduction	Unite with your brothers to defeat the Han.	false
campaign_payload_ui_details_description_dummy_gating_food	Your {{tr:map_provinces}} are no longer self-sufficient and require food provisions.	false
campaign_payload_ui_details_description_dummy_gating_diplomacy	You can now forge alliances in diplomacy.	false
campaign_payload_ui_details_description_dummy_dlc04_liu_bei_gain_pingyuan	Region Gained: Pingyuan, District	false
campaign_payload_ui_details_description_dummy_dlc06_shi_xie_190_introduction_01	Appoint family members to positions of power to generate Splendour.	false
campaign_payload_ui_details_description_dummy_ma_teng_introduction	Remove the Yellow Turban threat	false
campaign_payload_ui_details_description_dummy_dlc06_shi_xie_190_introduction_02	Let Splendour accumulate for faction-wide bonuses, or use it to purchase Tribute Chests: powerful ancillaries that give strong bonuses to characters when equipped.	false
