key	text	tooltip
#Loc;1;text/db/campaign_statistics_categories__.loc		
campaign_statistics_categories_localised_description_stat_cat_economy_income	Economy	false
campaign_statistics_categories_localised_description_stat_cat_general	Progress	false
campaign_statistics_categories_localised_description_stat_cat_battles_general	Battles	false
campaign_statistics_categories_localised_description_stat_cat_diplomacy	Diplomacy	false
campaign_statistics_categories_localised_description_stat_cat_battles_aftermath	Aftermaths	false
campaign_statistics_categories_localised_description_stat_cat_military_forces	Retinues	false
campaign_statistics_categories_localised_description_stat_cat_empire	Faction	false
campaign_statistics_categories_localised_description_stat_cat_agents_actions	Spies	false
campaign_statistics_categories_localised_description_stat_cat_vip	Notable Characters	false
campaign_statistics_categories_localised_description_stat_cat_agents_general	Characters	false
