key	text	tooltip
#Loc;1;text/db/campaign_statistics_strings__.loc		
campaign_statistics_strings_localised_description_economy_expenditure_total	Total expenditure	false
campaign_statistics_strings_localised_description_number_of_soldiers_killed	Number of soldiers killed	false
campaign_statistics_strings_localised_description_items_attained	Ancillaries attained	false
campaign_statistics_strings_localised_description_years_elapsed	Years elapsed	false
campaign_statistics_strings_localised_description_marriages_arranged	Marriages arranged	false
campaign_statistics_strings_localised_description_confederations_made	Confederations made	false
campaign_statistics_strings_localised_description_duel_participation	Duel participation	false
campaign_statistics_strings_localised_description_military_battles_crushing_defeats	Crushing defeats	false
campaign_statistics_strings_localised_description_diplomacy_trade_max	Most trade agreements	false
campaign_statistics_strings_localised_description_payments_made	Payments made	false
campaign_statistics_strings_localised_description_payments_received	Payments received	false
campaign_statistics_strings_localised_description_rebellions_in_own_lands	Rebellions in own lands	false
campaign_statistics_strings_localised_description_failed_spy_actions	Captured spies	false
campaign_statistics_strings_localised_description_total_number_of_wars	Total number of wars	false
campaign_statistics_strings_localised_description_civil_wars_occurred_in_faction	Civil wars in own faction	false
campaign_statistics_strings_localised_description_longest_serving_character	Loyal Servant	false
campaign_statistics_strings_localised_description_military_settlements_occupied	Settlements occupied	false
campaign_statistics_strings_localised_description_deals_rejected_by_others	Deals rejected by others	false
campaign_statistics_strings_localised_description_military_battles_siege	Siege battles	false
campaign_statistics_strings_localised_description_characters_recruited	Characters recruited	false
campaign_statistics_strings_localised_description_region_gain_from_trade	Counties gained from trade	false
campaign_statistics_strings_localised_description_military_forces_current	Current forces	false
campaign_statistics_strings_localised_description_empire_provinces_max	Most {{tr:map_provinces}} held	false
campaign_statistics_strings_localised_description_most_soldiers_killed_in_one_battle	Most soldiers killed in one battle	false
campaign_statistics_strings_localised_description_military_battles_victories_naval	Naval engagement victories	false
campaign_statistics_strings_localised_description_diplomacy_war_total_declarations	War declarations	false
campaign_statistics_strings_localised_description_economy_income_total_looting	Total income from looting/sacking	false
campaign_statistics_strings_localised_description_characters_lost_departed	Characters left the faction	false
campaign_statistics_strings_localised_description_empire_settlements_lost	Counties lost	false
campaign_statistics_strings_localised_description_military_units_total_destroyed	Units destroyed	false
campaign_statistics_strings_localised_description_diplomacy_war_current	Current wars	false
campaign_statistics_strings_localised_description_military_battles_total	Total battles fought	false
campaign_statistics_strings_localised_description_max_sized_retinues	Max. sized retinues	false
campaign_statistics_strings_localised_description_governors_held	Administrators	false
campaign_statistics_strings_localised_description_military_battles_victories_settlement	Resource settlement battle victories	false
campaign_statistics_strings_localised_description_deals_broken_by_you	Deals broken by you	false
campaign_statistics_strings_localised_description_military_battles_naval	Naval engagements	false
campaign_statistics_strings_localised_description_highest_population_level	Highest population level	false
campaign_statistics_strings_localised_description_empire_technologies_all	{{tr:Technologies}} researched	false
campaign_statistics_strings_localised_description_empire_settlements_current	Current counties held	false
campaign_statistics_strings_localised_description_military_settlements_raised	Settlements razed	false
campaign_statistics_strings_localised_description_deals_rejected_by_you	Deals rejected by you	false
campaign_statistics_strings_localised_description_military_battles_victories_siege	Siege battle victories	false
campaign_statistics_strings_localised_description_spies_exposed	Spies exposed	false
campaign_statistics_strings_localised_description_total_spy_actions	Total spy actions	false
campaign_statistics_strings_localised_description_governors_rebelled	Administrators rebelled	false
campaign_statistics_strings_localised_description_economy_income_total	Total income	false
campaign_statistics_strings_localised_description_your_spies_deserted	Your spies deserted	false
campaign_statistics_strings_localised_description_successful_spy_actions	Successful spy actions	false
campaign_statistics_strings_localised_description_total_active_characters	Total active characters	false
campaign_statistics_strings_localised_description_military_battles_defeats_land	Land battle defeats	false
campaign_statistics_strings_localised_description_military_battles_fought	Battles fought personally	false
campaign_statistics_strings_localised_description_military_battles_victories	Total victories	false
campaign_statistics_strings_localised_description_military_battles_defeats_ambush	Ambush battle defeats	false
campaign_statistics_strings_localised_description_military_battles_defeats_naval	Naval engagement defeats	false
campaign_statistics_strings_localised_description_economy_expenditure_max	Highest ever expenditure	false
campaign_statistics_strings_localised_description_most_successful_duellist	Champion Duellist	false
campaign_statistics_strings_localised_description_characters_with_the_most_kills	Talented Warrior	false
campaign_statistics_strings_localised_description_your_spies_hired_by_others	Your spies hired by others	false
campaign_statistics_strings_localised_description_military_forces_established	Total forces established	false
campaign_statistics_strings_localised_description_economy_income_total_trade	Total income from trade	false
campaign_statistics_strings_localised_description_encampment_battles_victories	Encampment battle victories	false
campaign_statistics_strings_localised_description_characters_deceased_in_service	Characters died in service	false
campaign_statistics_strings_localised_description_encampment_battles_fought	Encampment battles	false
campaign_statistics_strings_localised_description_military_battles_defeats_settlement	Resource settlement battle defeats	false
campaign_statistics_strings_localised_description_military_battles_victories_ambush	Ambush battle victories	false
campaign_statistics_strings_localised_description_current_turn	Current turn	false
campaign_statistics_strings_localised_description_deals_made_by_you	Deals made by you	false
campaign_statistics_strings_localised_description_empire_settlements_captured	Counties captured	false
campaign_statistics_strings_localised_description_favourite_most_used_character	Prolific Achiever	false
campaign_statistics_strings_localised_description_empire_provinces_current	Current {{tr:map_provinces}} held	false
campaign_statistics_strings_localised_description_diplomacy_trade_current	Current trade agreements	false
campaign_statistics_strings_localised_description_economy_income_max	Highest ever income	false
campaign_statistics_strings_localised_description_military_battles_defeats_siege	Siege battle defeats	false
campaign_statistics_strings_localised_description_successful_spy_assassinations	Characters assassinated	false
campaign_statistics_strings_localised_description_empire_settlements_max	Most counties held	false
campaign_statistics_strings_localised_description_duels_won	Duels won	false
campaign_statistics_strings_localised_description_completed_missions	Missions completed	false
campaign_statistics_strings_localised_description_military_battles_settlement	Resource settlement battles	false
campaign_statistics_strings_localised_description_military_units_total_recruited	Units recruited	false
campaign_statistics_strings_localised_description_military_units_total_lost	Units lost	false
campaign_statistics_strings_localised_description_deals_broken_by_other	Deals broken by others	false
campaign_statistics_strings_localised_description_number_of_soldiers_lost	Number of soldiers lost	false
campaign_statistics_strings_localised_description_empire_buildings_constructed	Buildings constructed	false
campaign_statistics_strings_localised_description_military_battles_land	Land battles	false
campaign_statistics_strings_localised_description_encampment_battles_defeats	Encampment battle defeats	false
campaign_statistics_strings_localised_description_military_settlements_looted	Settlements looted and occupied	false
campaign_statistics_strings_localised_description_military_forces_max	Most concurrent forces	false
campaign_statistics_strings_localised_description_military_battles_autoresolved	Battles auto-resolved	false
campaign_statistics_strings_localised_description_items_traded	Ancillaries traded	false
campaign_statistics_strings_localised_description_highest_number_of_kills_by_one_character	Highest number of kills by one character	false
campaign_statistics_strings_localised_description_military_settlements_sacked	Settlements sacked	false
campaign_statistics_strings_localised_description_regions_traded_away	Counties traded away	false
campaign_statistics_strings_localised_description_most_soldiers_lost_in_one_battle	Most soldiers lost in one battle	false
campaign_statistics_strings_localised_description_military_battles_heroic_victories	Heroic victories	false
campaign_statistics_strings_localised_description_characters_executed	Characters executed	false
campaign_statistics_strings_localised_description_military_battles_victories_land	Land battle victories	false
campaign_statistics_strings_localised_description_diplomacy_war_max	Most wars	false
campaign_statistics_strings_localised_description_empire_factions_client_vassal	Vassals established	false
campaign_statistics_strings_localised_description_alliances	Alliances & coalitions	false
campaign_statistics_strings_localised_description_military_battles_ambush	Ambush battles	false
campaign_statistics_strings_localised_description_governors_promoted	Administrators promoted	false
campaign_statistics_strings_localised_description_empire_factions_encountered	Factions encountered	false
campaign_statistics_strings_localised_description_economy_income_total_tax	Total income from commanderies	false
campaign_statistics_strings_localised_description_deals_made_by_others	Deals made by others	false
campaign_statistics_strings_localised_description_military_battles_defeats	Total defeats	false
campaign_statistics_strings_localised_description_empire_factions_destroyed	Factions destroyed	false
campaign_statistics_strings_localised_description_population	Population	false
campaign_statistics_strings_localised_description_alliances_left	Alliances & coalitions left	false
