key	text	tooltip
#Loc;1;text/db/campaign_unit_stat_bonuses__.loc		
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_shield1	Superior shields	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_horses1	Superior horses	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_horses0	Improved horses	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_morale1	Morale: Trained	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_accuracy0	Accuracy: Regular	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_attack1	Attack: Trained	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_defence1	Defence: Trained	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_charge3	Charge: Veteran	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_morale3	Morale: Veteran	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_armour1	Superior armour	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_morale0	Morale: Regular	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_shield2	Exceptional shields	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_weapon1	Superior weapons	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_charge2	Charge: Experienced	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_defence4	Defence: Elite	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_weapon2	Exceptional weapons	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_weapon0	Improved weapons	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_ammunition0	Improved ammunition	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_charge0	Charge: Regular	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_armour0	Improved armour	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_charge1	Charge: Trained	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_accuracy4	Accuracy: Elite	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_horses2	Exceptional horses	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_morale2	Morale: Experienced	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_morale4	Morale: Elite	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_armour2	Exceptional armour	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_defence3	Defence: Veteran	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_charge4	Charge: Elite	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_hull_health2	Exceptional ship hulls	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_attack3	Attack: Veteran	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_attack4	Attack: Elite	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_hull_health0	Improved ship hulls	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_attack2	Attack: Experienced	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_hull_health1	Superior ship hulls	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_accuracy1	Accuracy: Trained	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_defence2	Defence: Experienced	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_attack0	Attack: Regular	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_shield0	Improved shields	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_ammunition1	Superior ammunition	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_defence0	Defence: Regular	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_accuracy2	Accuracy: Experienced	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_ammunition2	Exceptional ammunition	false
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_accuracy3	Accuracy: Veteran	false
