key	text	tooltip
#Loc;1;text/db/campaigns__.loc		
campaigns_bullet_list_3k_main_campaign_map		false
campaigns_onscreen_name_3k_dlc05_start_pos	A World Betrayed	false
campaigns_bullet_list_3k_dlc04_start_pos		false
campaigns_bullet_list_3k_dlc05_start_pos		false
campaigns_description_3k_main_campaign_map	Dong Zhuo seizes the young emperor	false
campaigns_description_3k_dlc04_start_pos	The Han falters and rebellions rise	false
campaigns_description_8p_start_pos	A divided family battles for the throne	false
campaigns_description_3k_dlc07_start_pos	Yuan Shao campaigns against Cao Cao	false
campaigns_description_3k_dlc05_start_pos	Warlords inherit a world in chaos	false
campaigns_bullet_list_8p_start_pos		false
campaigns_bullet_list_3k_dlc07_start_pos		false
campaigns_onscreen_name_3k_dlc04_start_pos	Mandate of Heaven	false
campaigns_onscreen_name_3k_dlc07_start_pos	Fates Divided	false
campaigns_onscreen_name_8p_start_pos	Eight Princes	false
campaigns_onscreen_name_3k_main_campaign_map	Rise of the Warlords	false
