key	text	tooltip
#Loc;1;text/db/ceo_categories__.loc		
ceo_categories_title_3k_dlc05_ceo_category_ancillary_titles	Titles	false
ceo_categories_title_3k_main_ceo_category_gender	Gender	false
ceo_categories_title_3k_main_ceo_category_equipment_permissions	Equipment Permissions	false
ceo_categories_title_3k_dlc05_ceo_category_hidden	Hidden	false
ceo_categories_title_3k_dlc06_ceo_category_factional_king_mulu_rituals	Rituals	false
ceo_categories_title_3k_dlc04_ceo_category_factional_lu_zhi	Great Library	false
ceo_categories_title_3k_main_ceo_category_potential	Potential	false
ceo_categories_title_3k_main_ceo_category_ancillary_armour	Armour	false
ceo_categories_title_3k_dlc05_ceo_category_factional_lu_bu	Greatest Warriors	false
ceo_categories_title_3k_main_ceo_category_childhood	Childhood	false
ceo_categories_title_3k_main_ceo_category_class	Class	false
ceo_categories_title_3k_dlc06_ceo_category_nanman_skills	Nanman Skills	false
ceo_categories_title_3k_main_ceo_category_ancillary_mount	Mount	false
ceo_categories_title_3k_dlc04_ceo_category_political_support	Political Support	false
ceo_categories_title_3k_dlc04_ceo_category_factional_liu_chong	Trophy Cabinet	false
ceo_categories_title_3k_ytr_ceo_category_learning	Path of Learning	false
ceo_categories_title_3k_main_ceo_category_ancillary_follower	Follower	false
ceo_categories_title_3k_dlc07_ceo_category_factional_yuan_shao	Yuan Shao Captain Armoury Quests	false
ceo_categories_title_3k_dlc06_ceo_category_factional_nanman_fealty	Fealty	false
ceo_categories_title_3k_main_ceo_category_ancillary_accessory	Accessories	false
ceo_categories_title_3k_main_ceo_category_ancillary_weapon	Weapon	false
ceo_categories_title_3k_main_ceo_category_traits_personality	Personality Trait	false
ceo_categories_title_3k_main_ceo_category_protagonist	Protagonist	false
ceo_categories_title_3k_main_ceo_category_traits_physical	Physical Trait	false
ceo_categories_title_3k_dlc05_ceo_category_factional_sun_ce	Sun Ce Ambitions	false
ceo_categories_title_3k_main_ceo_category_career	Career	false
ceo_categories_title_3k_main_ceo_category_wealth	Wealth	false
