key	text	tooltip
#Loc;1;text/db/character_skills__.loc		
character_skills_localised_description_3k_main_skill_bodyguard_guan_yu_alt_2	A hero's resolve is not to seem the bravest, but to be it.	false
character_skills_localised_name_ep_dyn_special_ability_clear_a_path	Clear a Path	false
character_skills_localised_description_3k_main_skill_mastery_wood_3_patience_mlvl_3	A gem is not polished without rubbing, nor a man perfected without trials.	false
character_skills_localised_description_3k_ytr_skill_special_ability_metal_alt_2	These words will fortify the spirit.	false
character_skills_localised_description_3k_ytr_skill_special_ability_water_alt_2	True strength lies not in the mind or body, but within the spirit.	false
character_skills_localised_name_3k_ytr_skill_scholar_insight	Insight	false
character_skills_localised_description_3k_dlc05_skill_special_ability_earth_into_the_breach	A charge, fuelled by stern hearts and even sterner blades, will rip enemy lines apart.	false
character_skills_localised_description_3k_dlc06_skill_special_ability_water_turning_the_tides	Upon nearby enemy unit routing nearby own units recieve a morale buff.	false
character_skills_localised_name_3k_dlc05_skill_mastery_metal_5_stealth_mlvl_3	Stealth	false
character_skills_localised_name_3k_main_skill_bodyguard_lady_sun_alt_1	Vanguard	false
character_skills_localised_name_3k_dlc06_skill_special_ability_flying_daggers	Flying Daggers	false
character_skills_localised_name_3k_ytr_skill_veteran_fanaticism	Fanaticism	false
character_skills_localised_description_3k_main_skill_bodyguard_wood_wood_alt_2	A hero's resolve is not to seem the bravest, but to be it.	false
character_skills_localised_name_3k_ytr_skill_special_ability_wood	Commanding Shout	false
character_skills_localised_description_3k_main_skill_special_ability_fire_hail_of_arrows	A flurry of shafts slows the enemy advance.	false
character_skills_localised_name_3k_dlc07_skill_emperor_earth_imperious	Imperious	false
character_skills_localised_description_3k_main_skill_mastery_water_archer_1_precision_mlvl_3	Accuracy safeguards energy, so it is never wasted.	false
character_skills_localised_description_3k_main_skill_special_ability_wood_binding_fury	The strength of the forest brought to bear against a single foe.	false
character_skills_localised_description_ep_dyn_special_ability_multishot	Fires a flurry of arrows that can hit multiple targets.	false
character_skills_localised_name_3k_ytr_skill_special_ability_gong_du	Killing Ground	false
character_skills_localised_description_3k_main_skill_bodyguard_lu_bu_alt_2	Concentrate on the moment: fight, don't think. Use your instincts.	false
character_skills_localised_name_3k_main_skill_bodyguard_dong_zhuo	Vanguard	false
character_skills_localised_name_3k_main_skill_bodyguard_wood_wood_alt_1	Champion	false
character_skills_localised_description_3k_ytr_skill_special_ability_gong_du	Where others see rocks and trees, you see advantages.	false
character_skills_localised_description_3k_main_skill_special_ability_fire	Concentrate on the moment: fight, don't think. Use your instincts.	false
character_skills_localised_description_ep_dyn_special_ability_cleansing_aura	Gradually heal nearby allies over time. 	false
character_skills_localised_name_3k_ytr_skill_special_ability_metal_alt_2	Preach	false
character_skills_localised_name_3k_ytr_skill_bodyguard_huang_shao_alt_2	Impromptu Humility	false
character_skills_localised_description_3k_dlc04_skill_special_ability_catch_the_blade	Direct damage attack with addition of self inflicted damage.	false
character_skills_localised_description_3k_main_skill_special_ability_metal_hail_of_arrows	A flurry of shafts slows the enemy advance.	false
character_skills_localised_description_3k_ytr_skill_special_ability_wood_alt_2	The land is not just the earth, but the forests and mountains, and all the hidden, ancient places.	false
character_skills_localised_name_3k_ytr_skill_healer_tranquillity	Tranquillity	false
character_skills_localised_description_3k_main_skill_bodyguard_zhang_fei	Concentrate on the moment: fight, don't think. Use your instincts.	false
character_skills_localised_name_3k_main_skill_special_ability_fire_devastating_roar	Devastating Roar	false
character_skills_localised_name_3k_main_skill_bodyguard_zhuge_liang_alt_2	Strategist	false
character_skills_localised_description_3k_main_skill_special_ability_wood_unstoppable	His relentless attack makes foes cower before him!	false
character_skills_localised_description_3k_main_skill_special_ability_metal_alt_2	Martial expertise through hard work. Practice. Preparation. Endless repetition.	false
