key	text	tooltip
#Loc;1;text/db/custom_battle_loadouts__.loc		
custom_battle_loadouts_description_ep_custom_battle_loadout_sima_liang_03	HIDDEN	false
custom_battle_loadouts_description_3k_dlc05_custom_battle_loadout_zhang_zhao_01	HIDDEN	false
custom_battle_loadouts_name_ep_dyn_custom_battle_loadout_cao_cao_01	Dynasty Mode - HIDDEN	false
custom_battle_loadouts_name_3k_dlc04_custom_battle_loadout_empress_he_01	Lady He	false
custom_battle_loadouts_name_3k_main_custom_battle_loadout_cao_cao_02	Imperial Chancellor	false
custom_battle_loadouts_name_3k_main_custom_battle_loadout_zhang_liao_02	General	false
custom_battle_loadouts_description_3k_main_custom_battle_loadout_zheng_jiang_02	HIDDEN	false
custom_battle_loadouts_description_3k_dlc05_custom_battle_loadout_da_qiao_03	HIDDEN	false
custom_battle_loadouts_description_3k_cp01_custom_battle_loadout_jia_xu_03	HIDDEN	false
custom_battle_loadouts_description_3k_main_custom_battle_loadout_sima_yi_01	HIDDEN	false
custom_battle_loadouts_name_3k_main_custom_battle_loadout_xiahou_yuan_02	General	false
custom_battle_loadouts_name_3k_dlc06_custom_battle_loadout_king_duosi_02	Solitary Mountain	false
custom_battle_loadouts_name_3k_dlc06_custom_battle_loadout_xun_you_01	Prudent Advisor	false
custom_battle_loadouts_description_3k_main_custom_battle_loadout_zheng_jiang_01	HIDDEN	false
custom_battle_loadouts_name_3k_dlc05_custom_battle_loadout_zhang_hong_01	Strategist	false
custom_battle_loadouts_name_3k_dlc06_custom_battle_loadout_li_ru_03	Gentleman of the Palace	false
custom_battle_loadouts_description_3k_dlc07_custom_battle_loadout_lady_zhen_01	HIDDEN	false
custom_battle_loadouts_name_3k_dlc06_custom_battle_loadout_king_wutugu_01	Careless Warrior	false
custom_battle_loadouts_description_3k_main_custom_battle_loadout_liu_bei_02	HIDDEN	false
custom_battle_loadouts_description_3k_ytr_custom_battle_loadout_huang_shao_03	HIDDEN	false
custom_battle_loadouts_name_3k_main_custom_battle_loadout_yue_jin_01	Commandant	false
custom_battle_loadouts_description_3k_dlc04_custom_battle_loadout_huangfu_song_01	HIDDEN	false
custom_battle_loadouts_description_3k_dlc07_custom_battle_loadout_yuan_tan_hero_01	HIDDEN	false
custom_battle_loadouts_description_3k_main_custom_battle_loadout_zhuge_liang_02	HIDDEN	false
custom_battle_loadouts_description_ep_custom_battle_loadout_sima_wei_03	HIDDEN	false
custom_battle_loadouts_description_3k_dlc04_custom_battle_loadout_zhang_jue_02	HIDDEN	false
custom_battle_loadouts_description_3k_dlc04_custom_battle_loadout_zhang_liang_03	HIDDEN	false
custom_battle_loadouts_name_ep_custom_battle_loadout_sima_yue_02	Warlord	false
custom_battle_loadouts_name_3k_main_custom_battle_loadout_huang_zhong_01	General	false
custom_battle_loadouts_description_3k_dlc05_custom_battle_loadout_da_qiao_02	HIDDEN	false
custom_battle_loadouts_description_ep_dyn_custom_battle_loadout_sun_quan_01	HIDDEN	false
custom_battle_loadouts_name_3k_dlc06_custom_battle_loadout_king_wutugu_02	Immovable Lord	false
custom_battle_loadouts_name_3k_main_custom_battle_loadout_ma_teng_03	Warlord	false
custom_battle_loadouts_name_3k_main_custom_battle_loadout_xiahou_dun_03	One-Eyed	false
custom_battle_loadouts_description_3k_dlc05_custom_battle_loadout_yan_yu_02	HIDDEN	false
custom_battle_loadouts_name_ep_dyn_custom_battle_loadout_gan_ning_01	Dynasty Mode - HIDDEN	false
custom_battle_loadouts_description_3k_dlc06_custom_battle_loadout_king_duosi_03	HIDDEN	false
custom_battle_loadouts_name_3k_dlc06_custom_battle_loadout_king_duosi_01	Superstitious Warrior	false
custom_battle_loadouts_description_ep_dyn_custom_battle_loadout_zhuge_liang_01	HIDDEN	false
custom_battle_loadouts_description_3k_main_custom_battle_loadout_lady_sun_02	HIDDEN	false
custom_battle_loadouts_name_3k_dlc04_custom_battle_loadout_diao_chan_03	Enchantress	false
custom_battle_loadouts_name_3k_ytr_custom_battle_loadout_zhang_kai_03	The Yellow King	false
custom_battle_loadouts_description_3k_main_custom_battle_loadout_xiahou_dun_03	HIDDEN	false
custom_battle_loadouts_description_3k_main_custom_battle_loadout_zhao_yun_03	HIDDEN	false
custom_battle_loadouts_name_3k_main_custom_battle_loadout_tao_qian_01	Official	false
custom_battle_loadouts_description_ep_dyn_custom_battle_loadout_gongsun_zan_01	HIDDEN	false
custom_battle_loadouts_description_3k_dlc05_custom_battle_loadout_yan_yu_03	HIDDEN	false
custom_battle_loadouts_description_3k_main_custom_battle_loadout_zhang_liao_03	HIDDEN	false
custom_battle_loadouts_name_3k_dlc07_custom_battle_loadout_lady_zhen_01	Strategist	false
custom_battle_loadouts_description_ep_custom_battle_loadout_sima_liang_01	HIDDEN	false
custom_battle_loadouts_name_3k_main_custom_battle_loadout_xu_huang_01	Commandant	false
custom_battle_loadouts_name_3k_ytr_custom_battle_loadout_generic_wood_02	Wood - HIDDEN	false
custom_battle_loadouts_name_3k_main_custom_battle_loadout_kong_rong_03	Teacher of the Classics	false
custom_battle_loadouts_name_ep_custom_battle_loadout_sima_jiong_03	Prince	false
custom_battle_loadouts_name_3k_dlc07_custom_battle_loadout_cao_pi_01	General	false
custom_battle_loadouts_name_3k_main_custom_battle_loadout_sun_ce_02	Warlord	false
custom_battle_loadouts_name_3k_dlc07_custom_battle_loadout_zhang_he_hero_01	Commandant	false
custom_battle_loadouts_description_3k_main_custom_battle_loadout_zhuge_liang_01	HIDDEN	false
custom_battle_loadouts_name_3k_dlc07_custom_battle_loadout_yu_jin_hero_01	Commandant	false
custom_battle_loadouts_name_3k_main_custom_battle_loadout_zhang_liao_01	Commandant	false
custom_battle_loadouts_name_3k_ytr_custom_battle_loadout_he_yi_03	The Yellow King	false
custom_battle_loadouts_description_3k_main_custom_battle_loadout_xiahou_dun_01	HIDDEN	false
custom_battle_loadouts_name_3k_dlc06_custom_battle_loadout_generic_nanman_02	Nanman - HIDDEN	false
custom_battle_loadouts_name_ep_dyn_custom_battle_loadout_dong_zhuo_01	Dynasty Mode - HIDDEN	false
custom_battle_loadouts_name_3k_dlc04_custom_battle_loadout_liu_chong_03	Emperor	false
custom_battle_loadouts_name_3k_dlc06_custom_battle_loadout_king_wutugu_04	The Rattan King [[img:unit_elephant]][[/img]]	false
custom_battle_loadouts_name_3k_dlc07_custom_battle_loadout_cao_pi_02	King	false
custom_battle_loadouts_name_3k_cp01_custom_battle_loadout_pang_tong_02	Mastermind	false
custom_battle_loadouts_description_ep_dyn_custom_battle_loadout_dong_zhuo_01	HIDDEN	false
custom_battle_loadouts_description_3k_cp01_custom_battle_loadout_pang_tong_01	HIDDEN	false
custom_battle_loadouts_name_ep_custom_battle_loadout_sima_lun_03	Prince	false
custom_battle_loadouts_description_ep_dyn_custom_battle_loadout_zheng_jiang_01	HIDDEN	false
custom_battle_loadouts_description_3k_main_custom_battle_loadout_han_sui_03	HIDDEN	false
custom_battle_loadouts_description_3k_main_custom_battle_loadout_zhuge_liang_03	HIDDEN	false
custom_battle_loadouts_description_3k_main_custom_battle_loadout_liu_biao_03	HIDDEN	false
custom_battle_loadouts_name_3k_cp01_custom_battle_loadout_guo_jia_01	Strategist	false
custom_battle_loadouts_name_3k_cp01_custom_battle_loadout_guo_jia_02	Advisor	false
custom_battle_loadouts_description_ep_custom_battle_loadout_sima_lun_03	HIDDEN	false
