key	text	tooltip
#Loc;1;text/db/dilemmas__.loc		
dilemmas_localised_title_3k_main_faction_sun_give_the_seal_dilemma	Yuan Shu Demands the Seal	false
dilemmas_localised_title_3k_dlc04_emergence_global_emergence_spawn_yuan_shao_dilemma	Yuan Shao Raises His Blade	false
dilemmas_localised_description_3k_dlc04_dilemma_zhang_liang_huang_shao	The rebellion's victories have attracted an individual of great talent to your cause. He seeks your support to recognise him as an independent warlord, but would also be content to serve under you. On what basis do you wish to employ him?	false
dilemmas_localised_title_3k_main_assignment_resettlement_programme_01_dilemma_scripted	Immovable	false
dilemmas_localised_title_3k_dlc07_dilemma_liu_bei_aided_by_sun_quan	A Helping Hand	false
dilemmas_localised_title_3k_dlc07_guandu_wuchao_03_yuan_shao_dilemma	Heart of the Matter	false
dilemmas_localised_description_3k_dlc04_dilemma_zhang_jue_he_yi	The rebellion's victories have attracted an individual of great talent to your cause. He seeks your support to recognise him as an independent warlord, but would also be content to serve under you. On what basis do you wish to employ him?	false
dilemmas_localised_description_3k_main_tutorial_progression_yuan_shu_primary_dilemma_scripted_allied_lb	Your frequent ally, Sun Jian, has sent you a request for aid - he is beset by Liu Biao, who marches on the orders of Yuan Shao. In exchange for aid, Sun Jian promises to aid you against your brother. Yet Sun Jian harbours ambition above his station, and should be treated with caution. \\n\\n Perhaps he should, at last, vanish forever...	false
dilemmas_localised_title_3k_main_faction_dong_melting_colossi_dilemma	Melting the Jin Ren	false
dilemmas_localised_title_ep_dilemma_missions_dynasty_income_vs_military	A New Dynasty: Men or Money?	false
dilemmas_localised_description_3k_dlc07_guandu_wuchao_01_cao_cao_dilemma	Your new minister, Xu You seems a man of great talent. He mentions that a strike against Yuan Shao's supply lines would cripple his forces. He will point out a region holding the majority of Yuan Shao's supplies, if you agree to muster your forces against it.	false
dilemmas_localised_description_ep_dilemma_alignment_generic_heart	Your advisors recommended you serve the people, and that is what you have chosen to do. Yet the other princes of Jin see this as neglect. They insist you spend more on courtly distractions, to keep them entertained.	false
dilemmas_localised_description_3k_main_tutorial_progression_sun_jian_primary_dilemma_scripted_allied_sj	You spy a large force ahead of you, flying the banner of Liu Biao. As you draw closer, a rider meets you. \\n\\n "My master, Liu Biao, has heard that you hold the Imperial Seal. You must return it to the emperor at once, or face war for your thievery." \\n\\n One of your generals tells you of Yuan Shu - one who would be willing to aid you should you keep the seal.	false
dilemmas_localised_title_3k_dlc04_mission_3k_dlc04_empress_he_tutorial_05_complete_dilemma	Chen Dan Stands Accused	false
dilemmas_localised_title_ep_dilemma_protector_sima_ai	Family Values	false
dilemmas_localised_description_3k_main_ancillary_hex_mark_dilemma_scripted	From the ashes of the battlefield, a horse is brought before you. It belonged to the enemy general and he was seen to be killed by an unfortunate accident whilst riding it. Its skin a dappled grey and, on its head, a small white dot. \\n\\n One of your advisors reels in horror, stating that this horse is surely cursed and you should not take it.	false
dilemmas_localised_description_3k_dlc07_guandu_start_01_yuan_shao_dilemma	Your power in the north continues to rise, but across the river lies the domain of Cao Cao. While he was your one time friend, the increase in troops along your borders can no longer be ignored. Is now the time to snuff him out?	false
