key	text	tooltip
#Loc;1;text/db/dynasty_upgrades__.loc		
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_strike_from_afar	Strike From Afar	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_cavalry_master	Cavalry Master	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_ordered_mind	Ordered Mind	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_restoration	Restoration	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_ceaseless_assault	Ceaseless Assault	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_adamant_resolve	Adamant Resolve	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_phoenix_rising	Phoenix Rising	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_burning_soul	Burning Soul	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_executioner	Executioner	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_arrow_storm	Arrow Storm	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_distant_courage	Distant Courage	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_poisoned_weapons	Poisoned Weapons	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_stone_bulwark	Stone Bulwark	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_time_of_need	Time of Need	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_stalwart_defender	Stalwart Defender	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_crushing_blows	Crushing Blows	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_swift_fingers	Swift Fingers	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_quickfire	Quickfire	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_wildfire	Wildfire	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_blood_fury	Blood Fury	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_flowing_water	Flowing Water	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_stifling_deluge	Stifling Deluge	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_assassinate	Assassinate	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_strength_of_the_mountain	Strength of the Mountain	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_vengeance	Vengeance	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_inward_focus	Inward Focus	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_masters_patience	Master's Patience	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_deep_rooted	Deep-rooted	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_fire_bomb	Fire Bomb	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_tenacity_of_steel	Tenacity of Steel	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_inspiring_surge	Inspiring Surge	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_protectors_aegis	Protector's Aegis	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_nature_s_ally	Nature's Ally	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_blade_breaker	Blade Breaker	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_analyse_weakness	Analyse Weakness	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_elemental_vigour	Elemental Vigour	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_sheltering_boughs	Sheltering Boughs	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_blazing_glory	Blazing Glory	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_cry_of_the_forest	Cry of the Forest	false
dynasty_upgrades_onscreen_name_ep_dyn_upgrade_cleansing_aura	Cleansing Aura	false
