key	text	tooltip
#Loc;1;text/db/effect_bundles__.loc		
effect_bundles_localised_description_ep_effect_bundle_pooled_resource_sima_wei_level_4	Like a widespread fire, the flame of your aspirations have swept across the land.	false
effect_bundles_localised_description_3k_dlc07_effect_bundle_liu_yan_ambition_reward_ancillary_spawn	Commission a local craftsman to create a special item for you and your court.	false
effect_bundles_localised_title_3k_dlc07_bundle_extended_progression_default_spies_02	Progression: Spies	false
effect_bundles_localised_title_3k_main_bundle_faction_rank_yuan_shu_4	Duchy	false
effect_bundles_localised_description_3k_dlc07_issue_own_armies_in_enemy_territory	Whether by bribes or displeasure of their present governor the rural population is providing this force with information on the surrounding area.	false
effect_bundles_localised_description_3k_dlc07_captains_armoury_stalk	placeholder	false
effect_bundles_localised_description_3k_main_effect_bundle_public_order_outraged_outlaws	The people in this {{tr:map_province}} are outraged by your negligence.	false
effect_bundles_localised_description_3k_dlc06_effect_bundle_region_gdp_nanman_village_very_high	This village is a meagre yet promising community of commoners and artisans.	false
effect_bundles_localised_description_3k_main_bundle_faction_rank_yuan_shu_3	Your have begun your ascent to greatness, but there is much yet to do.	false
effect_bundles_localised_description_3k_dummy_effect_bundle_political_action_wealth_decrease_9_to_8	Request financial support from this character to support your cause	false
effect_bundles_localised_title_3k_dummy_effect_bundle_political_action_wealth_decrease_3_to_2	Request Aid	false
effect_bundles_localised_title_3k_dlc05_effect_bundle_white_tiger_confederation_3	 	false
effect_bundles_localised_title_ep_effect_bundle_jin_empire_economy	 	false
effect_bundles_localised_description_3k_dlc07_payload_imperial_aid_food	The emperor has sent aid to preserve their loyal subject.	false
effect_bundles_localised_title_3k_dlc07_effect_bundle_disable_pooled_resource_supply	Supply Stockpile Contaminated	false
effect_bundles_localised_title_3k_ytr_faction_trait_he_yi	Dominion of He Yi	false
effect_bundles_localised_title_ep_effect_bundle_pooled_resource_jurisdiction_level_1	Jurisdiction: Insignificant	false
effect_bundles_localised_description_ep_milestone_payload_throne_usurped_betrayal	Your sudden betrayal has appalled all!	false
effect_bundles_localised_title_ep_prince_of_hejian_faction_trait	Military Security	false
effect_bundles_localised_description_3k_main_effect_bundle_campaign_ground_type_tundra	Tundra makes it very difficult to maintain supply lines for passing armies.	false
effect_bundles_localised_description_3k_main_effect_bundle_population_he_yi_city_medium	This city is bustling with activity, its diverse population living their lives and plying their trades day-to-day.	false
effect_bundles_localised_title_3k_dummy_effect_bundle_political_action_wealth_decrease_7_to_6	Request Aid	false
effect_bundles_localised_description_3k_dlc07_bundle_extended_progression_default_armies_02	"To raise an army once the war is over, and regret one's lateness." – Proverb	false
effect_bundles_localised_title_ep_frontend_leader_bundle_sima_ai_ruler	 -	false
effect_bundles_localised_title_3k_dlc07_captains_armoury_guerrilla_deployment	placeholder	false
effect_bundles_localised_description_k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_6	{{tr:pooled_resource_effect_bundle_flaming_confinement_description}}	false
effect_bundles_localised_description_3k_main_bundle_edict_fire	A veteran soldier, tasked with bringing extra security to the commandery's borders.	false
effect_bundles_localised_description_ep_frontend_leader_bundle_sima_wei_ruler	-	false
effect_bundles_localised_title_3k_main_effect_bundle_faction_support_human_generic_0_to_20_normal	Support: None	false
effect_bundles_localised_title_3k_dlc06_effect_bundle_shi_xie_non_family_character_satisfaction_penalty	Publicly Chastised	false
effect_bundles_localised_description_3k_dlc06_effect_bundle_pooled_resource_mulu_rituals_level_5	HIDDEN	false
effect_bundles_localised_title_3k_dlc05_frontend_leader_bundle_lu_bu_ruler	 	false
effect_bundles_localised_description_3k_main_effect_bundle_food_legendary_shortage_tier_2	Your realm is experiencing a food shortage and the people are miserable.	false
effect_bundles_localised_description_3k_main_effect_bundle_faction_support_human_yuan_shu_40_to_60_hard	As normal life resumes, this region is starting to support its owners.	false
effect_bundles_localised_description_3k_dlc04_frontend_leader_prince_liu_chong_ruler	 	false
effect_bundles_localised_description_3k_main_bundle_stance_navy_blockading	This fleet is preparing to assault the port settlement.	false
