key	text	tooltip
#Loc;1;text/db/effects__.loc		
effects_value_format_3k_ytr_dummy_unlocks_assignment_ytr_heaven_1		false
effects_value_format_3k_main_skill_adamant_resolve		false
effects_value_format_3k_main_effect_undercover_character_defence_against_action_network_cost_bonus		false
effects_value_format_ep_dummy_effect_faction_unique_sima_jiong_control_reward		false
effects_value_format_3k_dlc05_dummy_effect_faction_resource_lu_bu_momentum_court_action		false
effects_value_format_3k_dlc05_effect_bandit_network_cost_reduction_yang_jianye		false
effects_description_3k_main_effect_province_population_attraction_from_migration	[[b]]%+n[[/b]] population growth (migration)	false
effects_description_3k_main_effect_undercover_character_defence_against_action_cover_cost_bonus_family_member_hidden	[HIDDEN] [[b]]%+n[[/b]] cover cost for enemy spies who are family members	false
effects_description_3k_main_effect_force_all_campaign_recruitment_cost_all	[[b]]%+n%[[/b]] recruitment cost	false
effects_value_format_3k_main_dummy_effect_character_action_cost_dong_zhuo		false
effects_value_format_3k_dlc05_effect_unit_cap_metal_venerable_wu		false
effects_value_format_3k_main_effect_province_siege_tower_projectile_advanced		false
effects_description_3k_main_effect_unit_rank_new_recruits_peasants	[[b]]%+n[[/b]] starting rank for peasant recruits	false
effects_description_3k_main_ancillary_testudo_formation	Enables formation: Turtle	false
effects_value_format_3k_dlc07_skill_ability_mighty_thrust		false
effects_value_format_3k_main_effect_province_supply_stockpile_abs_increase_from_food		false
effects_value_format_3k_dlc06_stomp		false
effects_description_3k_dlc04_effect_faction_resource_liu_biao_domain_gain_buildings	%+n domain	false
effects_description_3k_main_faction_trait_zhang_yan_1	Enables: Ignore Forest Penalties	false
effects_value_format_3k_dlc07_effect_unit_cap_wood_dongzhoubing_defenders		false
effects_value_format_3k_dlc05_effect_bandit_network_cost_reduction_sili_luoyang		false
effects_description_3k_dlc05_effect_force_military_supplies_from_raiding_dummy	Generates loot (when used in enemy territory)	false
effects_description_3k_main_effect_economy_gdp_mod_silk	[[b]]%+n%[[/b]] income from silk	false
effects_description_3k_dlc05_effect_bandit_network_cost_reduction_liang_anding	[HIDDEN] %+n cost of establishing connections with the Watchers of the Long Rampart	false
effects_description_3k_dlc07_dummy_effect_liu_yan_ambition_tradeoff_tracker	[[b]]%n[[/b]] Trade-offs enabled	false
effects_description_3k_main_frontend_description_specialisation_yuan_shu_2	[[b]]Characters[[/b]] will periodically appear in your court, offering their services in myriad positions around your realm. 	false
effects_value_format_ep_dyn_ability_multishot		false
effects_description_3k_main_skill_poisioned_blade	Ability: Poisoned Blade	false
effects_value_format_3k_dlc05_dummy_effect_bandit_network_bing_shangdang		false
effects_value_format_3k_dlc07_dummy_effect_faction_resources_cao_cao_deceive		false
effects_description_3k_dlc05_dummy_effect_bandit_network_yi_badong	[[i]]Ownership of {{tr:map_regions}} within Badong will make it easier to expand your local bandit network.[[/i]]	false
effects_value_format_3k_dlc05_dummy_effect_bandit_network_bing_taiyuan		false
effects_value_format_3k_main_effect_faction_trait_gongsun_zan_reinforcement		false
effects_value_format_3k_dummy_effect_court_position_tutor		false
effects_description_3k_dlc06_dummy_effect_bandit_network_jiaozhi_jiuzhen	[[i]]Ownership of {{tr:map_regions}} within Jiuzhen will make it easier to expand your local bandit network.[[/i]]	false
effects_description_3k_dlc06_effect_pooled_resource_mulu_pride_from_rituals	%n pride from rituals	false
effects_value_format_3k_main_effect_population_effects_kong_rong_trade		false
effects_description_3k_main_effect_action_effects_gift_to_emperor	Gifting this emperor seat to your vassal lord will enable them to ascend to the throne and avoid war between you.	false
effects_description_3k_dlc04_deployables_towers_enable	%+n Towers (pre-battle deployable) (land battle)	false
effects_value_format_ep_frontend_description_specialisation_prince_of_qi_3		false
effects_description_3k_dlc06_effect_unit_stats_battle_movement_speed_mod_axe_infantry	[[b]]%+n%[[/b]] speed for axe infantry	false
effects_description_3k_dlc07_dummy_issue_non_allied_factions_control_northern_ports	Bohai Bay Pirate Raids Launched	false
effects_description_ep_effect_faction_resource_sima_liang_jurisdiction_gain_buildings	[[b]]%+n[[/b]] jurisdiction	false
effects_value_format_3k_dlc06_dummy_effect_mulu_pride_rituals_info		false
effects_value_format_3k_dlc05_effect_bandit_network_cost_reduction_jing_xiangyang		false
effects_value_format_ep_effect_faction_resource_sima_jiong_control_gain_buildings		false
effects_value_format_3k_main_skill_loose_formation		false
effects_description_3k_dlc05_effect_unit_cap_metal_peoples_warband	Peoples Warband available for recruitment: %+n	false
effects_description_3k_dlc05_effect_unit_cap_metal_fists_of_the_bandit_queen	Fists of the Bandit Queen available for recruitment: %+n	false
effects_value_format_ep_frontend_description_specialisation_prince_of_hejian_3		false
effects_description_3k_dlc07_effect_captain_missions_unlock_dummy	Unlocks access to the captain missions	false
effects_value_format_3k_main_effect_ai_hint_spy		false
effects_description_3k_dlc05_effect_unit_cap_metal_white_tiger_warriors	White Tiger Warriors available for recruitment: %+n	false
effects_description_3k_dlc05_effect_bandit_network_category_cost_reduction_bandits	[[b]]%+n%[[/b]] cost of establishing Outlaws & Outcasts connections	false
effects_value_format_3k_dlc07_effect_dummy_imperial_favour_low		false
effects_value_format_3k_dummy_effect_assignment_unlock_fire_oversee_mustering		false
effects_value_format_3k_dlc06_skill_natures_protection		false
effects_description_ep_dummy_effect_faction_rank_increase	Increase your prestige by capturing and expanding settlements or by constructing special buildings. Prestige is also acquired through decisions made in events or by building a strong alignment.	false
effects_description_ep_dummy_effect_faction_resource_null_capture_chance	No effect on the chance of capturing enemy officers post-battle	false
effects_description_3k_main_effect_characters_satisfaction_sentinel_technologies	[[b]]%+n[[/b]] satisfaction for sentinels	false
effects_value_format_ep_dummy_effect_progression_rank_emperor_might_flee		false
effects_description_3k_main_effect_unit_stats_ranged_ap_damage_water_units	[[b]]%+n%[[/b]] armour-piercing ranged damage for ranged units	false
effects_description_3k_main_effect_force_military_supplies_from_stances	[[b]]%+n[[/b]] {{tr:military_supplies}}	false
effects_description_3k_main_effect_dummy_technologies_fire	[[col:scope_description]]This branch will lead to increased military capabilities.[[/col]]	false
effects_description_3k_main_frontend_description_specialisation_ma_teng_1	[[b]]Encamp[[/b]] is a stance for armies that allow them to set up a more permanent camp.\\n\\n[[b]]Food[[/b]] is used to establish bigger settlements.	false
effects_value_format_3k_main_ancillary_scare_horse		false
effects_value_format_3k_main_effect_pooled_resource_intimidation_gain_rate_1_dong_zhuo		false
effects_description_3k_main_effect_attribute_mounted_fire_parthian	Enables: Fire Backwards	false
effects_value_format_3k_dummy_effect_ceo_subcategory_weapon_mace_two_handed		false
effects_value_format_3k_dlc06_dummy_effect_character_stat_mod_melee_damage		false
effects_value_format_3k_main_effect_force_all_campaign_loot_income		false
effects_description_3k_main_prestige_objectives	[HIDDEN]	false
effects_value_format_3k_main_effect_construction_cost_artisan_and_market		false
effects_description_3k_dlc05_effect_force_military_supplies_from_raiding_mod	[[b]]%+n%[[/b]] {{tr:military_supplies}} (when raiding enemy territory)	false
effects_description_3k_dlc06_effect_dummy_technologies_diplomacy_unlock_mercenary_contracts	Unlocks the diplomatic option to offer yourself as a mercenary to other factions	false
effects_description_3k_dlc06_effect_bandit_network_cost_reduction_xu_xiapi	[HIDDEN] %+n cost of establishing connections with the	false
effects_value_format_3k_dlc05_dummy_effect_bandit_network_yang_yuzhang		false
effects_description_3k_dlc04_ability_way_of_the_thunder	Ability: Way of the Thunder	false
effects_description_3k_dlc04_effect_region_fervour_regional_fervour_adjacent	[[b]]%+n[[/b]] {{tr:dlc04_term_regional_fervour}} neighbouring {{tr:map_regions}}	false
effects_value_format_3k_dlc05_effect_bandit_network_cost_reduction_yang_lujiang		false
effects_value_format_3k_main_skill_the_dragons_gaze		false
effects_description_3k_main_effect_economy_gdp_abs_peasantry	[[b]]%+n[[/b]] income (peasantry)	false
effects_description_3k_dlc05_dummy_effect_bandit_network_jing_xiangyang	[[i]]Ownership of {{tr:map_regions}} within Xiangyang will make it easier to expand your local bandit network.[[/i]]	false
effects_description_3k_dummy_effect_kong_rong_monopoly_civilised	Every army reduces faction-wide trade influence by [[b]]%+n%[[/b]]	false
