key	text	tooltip
#Loc;1;text/db/effects_generalised_descriptions__.loc		
effects_generalised_descriptions_localised_description_3k_main_frontend_generalised_description_playstyle_ma_teng	[[col:gold]][[b]]Playstyle focus:[[/b]][[/col]] Cavalry & military supplies 	false
effects_generalised_descriptions_localised_description_3k_dlc05_effect_description_buildings_military_craftsmen_bows	Crafts higher-quality bows for your troops. However, cannot produce unique items.	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_provinces_character_experience_gain	As characters gain experience, they will rank up, gaining access to new skills and abilities.	false
effects_generalised_descriptions_localised_description_3k_dlc04_frontend_generalised_description_specialisation_prince_lu_zhi_2	• Can place books on display for unique effects	false
effects_generalised_descriptions_localised_description_3k_dlc04_frontend_generalised_description_deployables_stakes	A highly-effective anti-cavalry measure, stakes are planted into the ground at an angle to skewer any horses trampling over them.	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_provinces_silk_and_spice	Silk and spice are separate income types that can be increased by their relevant income modifiers.	false
effects_generalised_descriptions_localised_description_3k_main_faction_trait_generalised_description_faction_trait_intimidation_dong_zhuo	Tyrant	false
effects_generalised_descriptions_localised_description_3k_main_effect_generalised_description_faction_trait_defender_of_the_north_gongsun_zan	Defender of the North	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_available_assignments	You can only send so many characters on assignments at once. This can be modified by ranking up, constructing buildings and reforms.	false
effects_generalised_descriptions_localised_description_3k_dlc04_frontend_generalised_description_specialisation_zhang_jue_1	• Resource shared with other Yellow Turbans	false
effects_generalised_descriptions_localised_description_3k_main_faction_trait_kong_rong_1	Scholar of Jian'an	false
effects_generalised_descriptions_localised_description_3k_dlc05_frontend_generalised_description_specialisation_lu_bu_4	• Alternative victory condition: Kill the other two emperors	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_provinces_attrition_to_enemies	Attrition slowly saps at the strength of an army, gradually depleting their numbers.	false
effects_generalised_descriptions_localised_description_3k_ytr_frontend_generalised_description_specialisation_huang_shao_2	• Increases character experience	false
effects_generalised_descriptions_localised_description_ep_frontend_generalised_description_specialisation_prince_of_zhao_1	• Incites proxy wars and enables diplomatic deception	false
effects_generalised_descriptions_localised_description_3k_dlc04_frontend_generalised_description_specialisation_zhang_jue_4	• Zeal is gained from every casualty	false
effects_generalised_descriptions_localised_description_3k_dlc05_effect_description_buildings_economy_banditry	Banditry is a separate income and food generation type that can be greatly increased by local bandit forces using the share the spoils stance.	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_redeployment_cost	Each character costs a set amount to deploy; reducing this allows you to more efficiently deploy armies across your campaign.	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_provinces_construction_cost	This reduces construction cost of other buildings. This can help to provide a boost to infrastructural improvements - and even temporary bonuses can be worth hit.	false
effects_generalised_descriptions_localised_description_3k_main_effect_generalised_description_faction_trait_master_of_cavalry_gongsun_zan	White Horse General	false
effects_generalised_descriptions_localised_description_3k_main_effect_generalised_description_faction_trait_spearhead_yuan_shao	Spearhead	false
effects_generalised_descriptions_localised_description_ep_frontend_generalised_description_specialisation_prince_of_donghai_2	• Influence is gained through special assignments	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_character_satisfaction_strategist	Satisfaction is how content a character is with their current faction and situation. If it falls too low, they may choose to leave.	false
effects_generalised_descriptions_localised_description_3k_main_faction_trait_he_yi_2	• Increases replenishment	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_forces_equipment_upgrades	Better equipment improves your unit's battle prowess, creating a more effective fighting force.	false
effects_generalised_descriptions_localised_description_3k_dlc04_frontend_generalised_description_specialisation_zhang_liang_2	• Increases damage when defending	false
effects_generalised_descriptions_localised_description_3k_main_frontend_generalised_description_playstyle_huang_shao	[[col:gold]][[b]]Playstyle focus:[[/b]][[/col]] Research & wisdom 	false
effects_generalised_descriptions_localised_description_3k_main_frontend_generalised_description_specialisation_yuan_shao_1	• Allows recruitment of new characters	false
effects_generalised_descriptions_localised_description_3k_dlc04_frontend_generalised_description_specialisation_prince_liu_chong_1	• Acquires trophies from achievements	false
effects_generalised_descriptions_localised_description_3k_dlc05_frontend_generalised_description_playstyle_white_tiger_yan	[[col:gold]][[b]]Playstyle focus:[[/b]][[/col]] Coalition-building & tribal networks	false
effects_generalised_descriptions_localised_description_3k_dlc07_frontend_generalised_description_specialisation_liu_zhang_1	• Carry the torch of your predecessor.	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_region_garrison	A garrison army cannot be moved from the settlement, but will provide defence when the enemy attacks.	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_tribute_diplomacy	Tributary states will pay a per-turn sum - tribute - to their master, or else risk war.	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_population_conscription	With increased conscription, additional population will be drafted into the military.	false
effects_generalised_descriptions_localised_description_3k_dlc04_frontend_generalised_description_deployables_oil	Laying down flammable liquid on the battlefield, before lighting it as the enemy pass over, creates a gruesome, if not effective defensive measure.	false
effects_generalised_descriptions_localised_description_3k_main_frontend_generalised_description_playstyle_kong_rong	[[col:gold]][[b]]Playstyle focus:[[/b]][[/col]] Trade & population 	false
effects_generalised_descriptions_localised_description_3k_main_effect_generalised_description_faction_trait_trait_infamous_zheng_jiang	Infamy	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_economy_banditry	Bandits roam this {{tr:map_province}}, reducing your income.	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_character_satisfaction_champion	Satisfaction is how content a character is with their current faction and situation. If it falls too low, they may choose to leave.	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_character_salary	Each character has a post that requires a salary. Promoting them, and increasing their salary, will improve their satisfaction.	false
effects_generalised_descriptions_localised_description_3k_ytr_frontend_generalised_description_specialisation_he_yi_2	• Increases replenishment	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_provinces_public_order	Increasing {{tr:public_order}} is crucial for maintaining civil order in growing settlements. If it gets too low, the populace will rebel.	false
effects_generalised_descriptions_localised_description_3k_main_faction_trait_generalised_description_faction_trait_warlord_start_dong_zhuo	Prime Minister	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_provinces_food_production_mod	Producing and maintaining a healthy food supply is vital to keep settlements growing and well-supplied.	false
effects_generalised_descriptions_localised_description_3k_main_faction_trait_zhang_yan_2	King of Black Mountain	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_provinces_supply_stockpile	Reserves are required for a settlement to endure a long siege, and for increasing military supplies of local armies. This increases the maximum that can be stored.	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_forces_unit_morale	A unit's morale determines how long they can hold against the enemy in battle.	false
effects_generalised_descriptions_localised_description_3k_main_effect_generalised_description_trait_leader_of_the_coalition_yuan_shao	Leader of the Coalition	false
effects_generalised_descriptions_localised_description_3k_dlc05_frontend_generalised_description_specialisation_white_tiger_yan_3	• Reduces recruitment cost of non-bandit units	false
effects_generalised_descriptions_localised_description_3k_main_effect_generalised_description_faction_trait_lineage_yuan_shao	Lineage	false
effects_generalised_descriptions_localised_description_3k_dlc05_frontend_generalised_description_specialisation_sun_ce_1	• Grants extreme speed on the campaign	false
effects_generalised_descriptions_localised_description_ep_frontend_generalised_description_playstyle_prince_of_changsha	[[col:gold]][[b]]Playstyle focus:[[/b]][[/col]] Internal development 	false
effects_generalised_descriptions_localised_description_3k_dlc06_frontend_generalised_description_specialisation_shi_xie_1	• Splendour increases trade influence, public order, and diplomatic relations	false
effects_generalised_descriptions_localised_description_3k_dlc07_frontend_generalised_description_specialisation_liu_yan_3	• Spend aspiration on inheritance rewards for powerful effects.	false
effects_generalised_descriptions_localised_description_income	[NEEDS REPLACEMENT] Generates income	false
effects_generalised_descriptions_localised_description_ep_frontend_generalised_description_specialisation_prince_of_donghai	• Decreases construction cost 	false
effects_generalised_descriptions_localised_description_ep_frontend_generalised_description_playstyle_prince_of_hejian	[[col:gold]][[b]]Playstyle focus:[[/b]][[/col]] Defence & infrastructure 	false
effects_generalised_descriptions_localised_description_3k_main_faction_trait_zhang_yan_1	Flying Swallow	false
effects_generalised_descriptions_localised_description_3k_dlc05_effect_description_buildings_military_craftsmen_weapons	Crafts higher-quality weapons for your troops. However, cannot produce unique items.	false
effects_generalised_descriptions_localised_description_3k_main_faction_trait_liu_biao_3	Refuge of Gentlemen	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_provinces_resources_entrepreneurs	Entrepreneurs enable the development of certain resource settlements to higher levels.	false
effects_generalised_descriptions_localised_description_3k_dlc06_generalised_description_tribute_chests	Tribute Chests, once equipped, can't be unequipped. They will provide bonuses for 20 turns, and then disappear the next turn.	false
effects_generalised_descriptions_localised_description_ep_frontend_generalised_description_specialisation_prince_of_runan_3	• Increases replenishment and the chance to capture characters	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_blank	[[col:red]] [[/col]]	false
effects_generalised_descriptions_localised_description_3k_main_frontend_generalised_description_specialisation_gongsun_zan_1	• Unique military inspector court positions	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_siege_tower_projectiles	Siege towers fire projectiles on approaching enemies. These upgrades will equip towers with stronger projectiles.	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_forces_replenishment	Replenishment is the rate at which a unit recovers its numbers lost to battle or attrition.	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_provinces_resources_industrialists	Industrialists enable the development of certain resource settlements to higher levels.	false
effects_generalised_descriptions_localised_description_3k_main_frontend_generalised_description_playstyle_yuan_shao	[[col:gold]][[b]]Playstyle focus:[[/b]][[/col]] Alliances 	false
effects_generalised_descriptions_localised_description_3k_main_effect_generalised_description_faction_trait_vanguard_sun_jian	[[img:horse_lord]][[/img]] General of the Vanguard	false
effects_generalised_descriptions_localised_description_unlocks_tech	[[col:green]]Unlocks technologies[[/col]]\\n\\nEnables the implementation of reforms and doctrines.	false
effects_generalised_descriptions_localised_description_3k_main_frontend_generalised_description_specialisation_yuan_shu_3	• Legitimacy is gained through unique diplomatic deals	false
effects_generalised_descriptions_localised_description_3k_dlc05_frontend_generalised_description_playstyle_sun_ce	[[col:gold]][[b]]Playstyle focus:[[/b]][[/col]] Characters & expansion	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_faction_support_gain	If the owner of a commandery is not well loved by its people, public order, supplies and income from that area will be affected. Over time, the population will become more accustomed to the owner's rule, which may gradually ease any negative impact.	false
effects_generalised_descriptions_localised_description_3k_main_frontend_generalised_description_specialisation_zhang_yan_2	• Can ambush when attacking	false
effects_generalised_descriptions_localised_description_ep_frontend_generalised_description_specialisation_prince_of_changsha_3	• Reformation is determined by settlement development	false
effects_generalised_descriptions_localised_description_3k_main_frontend_generalised_description_specialisation_liu_bei_4	• Satisfaction can be managed with unique assignments	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_character_satisfaction_vanguard	Satisfaction is how content a character is with their current faction and situation. If it falls too low, they may choose to leave.	false
effects_generalised_descriptions_localised_description_3k_main_frontend_generalised_description_playstyle_sun_jian	[[col:gold]][[b]]Playstyle focus:[[/b]][[/col]] Expansion 	false
effects_generalised_descriptions_localised_description_3k_dlc04_frontend_generalised_description_playstyle_zhang_bao	[[col:gold]][[b]]Playstyle focus:[[/b]][[/col]] Symbiosis & aggression 	false
effects_generalised_descriptions_localised_description_3k_dlc04_frontend_generalised_description_specialisation_zhang_jue_2	• Increases income and replenishment	false
effects_generalised_descriptions_localised_description_3k_dlc07_frontend_generalised_description_specialisation_cao_cao_1.5	• Deceives in diplomatic negotiations	false
effects_generalised_descriptions_localised_description_3k_main_frontend_generalised_description_specialisation_sun_jian_3	• Heroism is gained from inflicting more casualties than the enemy	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_unlocks_technologies	New reforms and areas of study are vital to grow your faction and increase your power.	false
effects_generalised_descriptions_localised_description_3k_main_frontend_generalised_description_specialisation_liu_biao_2	• Required to increase maximum domain size	false
effects_generalised_descriptions_localised_description_3k_dlc05_frontend_generalised_description_playstyle_lu_bu	[[col:gold]][[b]]Playstyle focus:[[/b]][[/col]] One-man army	false
effects_generalised_descriptions_localised_description_3k_ytr_frontend_generalised_description_specialisation_he_yi_1	• Access to unique post siege option	false
effects_generalised_descriptions_localised_description_3k_main_effect_generalised_description_faction_trait_metal_character_province_mod_gongsun_zan	Industrial Administrator	false
effects_generalised_descriptions_localised_description_3k_dlc06_frontend_generalised_description_specialisation_nanman_king_mulu_4	• Research economic reforms faster	false
effects_generalised_descriptions_localised_description_3k_main_frontend_generalised_description_playstyle_zheng_jiang	[[col:gold]][[b]]Playstyle focus:[[/b]][[/col]] Aggressive expansion 	false
effects_generalised_descriptions_localised_description_3k_dlc06_frontend_generalised_description_specialisation_nanman_king_mulu_1	• Defeat high-ranking characters to gain Pride quickly	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_province_building_time_agricultural_garrisons	Agricultural garrisons are troops stationed in vital economic regions in order to defend them.	false
effects_generalised_descriptions_localised_description_unlocks_resource	[[col:green]]Unlocks resources[[/col]]\\n\\nThese resources are required to upgrade certain buildings to higher levels.	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_prestige	{{tr:info_mode_prestige}} determines your standing in the world and will increase the rank of your faction. 	false
effects_generalised_descriptions_localised_description_3k_dlc04_frontend_generalised_description_specialisation_zhang_bao_3	• Decreases over time 	false
effects_generalised_descriptions_localised_description_3k_dlc05_frontend_generalised_description_specialisation_lu_bu_1	• Momentum is increased by defeating other warriors.	false
effects_generalised_descriptions_localised_description_3k_dlc07_frontend_generalised_description_specialisation_liu_zhang_3	• Use the large amounts of aspiration gathered by your predecessor to purchase powerful inheritance bonuses.	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_provinces_corruption	Corruption is the loss of income due to the size of your realm to various, insalubrious elements of society.	false
effects_generalised_descriptions_localised_description_unlocks_unit	[[col:green]]Unlocks units[[/col]]	false
effects_generalised_descriptions_localised_description_ep_frontend_generalised_description_playstyle_prince_of_runan	[[col:gold]][[b]]Playstyle focus:[[/b]][[/col]] Lawful rule 	false
effects_generalised_descriptions_localised_description_ep_frontend_generalised_description_specialisation_prince_of_hejian	• Garrisoned armies increase reserves and faction support	false
effects_generalised_descriptions_localised_description_3k_main_faction_trait_yuan_shu	• Can forge alliances from the start	false
effects_generalised_descriptions_localised_description_ep_frontend_generalised_description_specialisation_prince_of_runan	• Jurisdiction is gained through buildings and from vassals secured through co-operation	false
effects_generalised_descriptions_localised_description_3k_dlc06_frontend_generalised_description_specialisation_shomoke_4	• Research political reforms faster	false
effects_generalised_descriptions_localised_description_3k_main_faction_trait_huang_shao_1	Assignment: Seeker	false
effects_generalised_descriptions_localised_description_3k_main_frontend_generalised_description_playstyle_cao_cao	[[col:gold]][[b]]Playstyle focus:[[/b]][[/col]] Diplomatic manipulation 	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_faction_research_rate	The speed at which you complete reforms will speed up the rate of your faction's development. 	false
effects_generalised_descriptions_localised_description_ep_frontend_generalised_description_specialisation_prince_of_runan_2	• Greatly increases income from the faction leader's estates	false
effects_generalised_descriptions_localised_description_3k_main_faction_trait_he_yi_1	Advanced Occupy	false
effects_generalised_descriptions_localised_description_3k_main_frontend_generalised_description_other_effects_liu_bei_militia	[[img:leader_of_the_people]][[/img]] Support from the People	false
effects_generalised_descriptions_localised_description_3k_main_frontend_generalised_description_specialisation_zheng_jiang_2	• Increases character experience	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_seasonal_deployments	Each turn, you can deploy a set amount of characters to your campaign. This can be increased through reforms and by ranking up.	false
effects_generalised_descriptions_localised_description_3k_dlc06_frontend_generalised_description_specialisation_nanman_king_mulu_2	• Gain access to multiple animal units	false
effects_generalised_descriptions_localised_description_3k_dlc06_frontend_generalised_description_specialisation_shi_xie_2	• Spend Splendour on creating Tribute Chests	false
effects_generalised_descriptions_localised_description_3k_main_effect_generalised_description_faction_trait_the_marquis_yuan_shao	Marquis	false
effects_generalised_descriptions_localised_description_3k_dlc04_frontend_generalised_description_specialisation_zhang_liang_1	• Resource shared with other Yellow Turbans	false
effects_generalised_descriptions_localised_description_3k_dlc05_frontend_generalised_description_specialisation_sun_ce_2	• Ambitions slow depletion and grant bonuses	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_economy_spice	Spice is a separate income type that can be increased by spice-specific buildings and reforms, and characters.	false
effects_generalised_descriptions_localised_description_3k_main_frontend_generalised_description_playstyle_liu_biao	[[col:gold]][[b]]Playstyle focus:[[/b]][[/col]] Characters & politics 	false
effects_generalised_descriptions_localised_description_ep_frontend_generalised_description_specialisation_prince_of_qi	• Control increases noble support and decreases corruption	false
effects_generalised_descriptions_localised_description_3k_main_effect_description_buildings_population_overpopulation	Densely-populated settlements will lose population as people migrate into the surrounding counties.	false
effects_generalised_descriptions_localised_description_3k_dlc06_frontend_generalised_description_specialisation_nanman_lady_zhurong_2	• Powers of the fire-god	false
effects_generalised_descriptions_localised_description_3k_dlc07_frontend_generalised_description_specialisation_liu_yan_1	• Prepare to pass the torch to your heir by stockpiling aspiration via trade-offs and conquest.	false
