key	text	tooltip
#Loc;1;text/db/elemental_groups__.loc		
elemental_groups_onscreen_description_water	Placeholder	false
elemental_groups_onscreen_description_earth	Placeholder	false
elemental_groups_onscreen_name_wood	Wood	false
elemental_groups_onscreen_name_water	Water	false
elemental_groups_onscreen_description_wood	Placeholder	false
elemental_groups_onscreen_name_metal	Metal	false
elemental_groups_onscreen_name_buildings_wu_xing_construction_cost	 	false
elemental_groups_onscreen_description_buildings_wu_xing_construction_cost	 	false
elemental_groups_onscreen_description_fire	Placeholder	false
elemental_groups_onscreen_name_earth	Earth	false
elemental_groups_onscreen_name_fire	Fire	false
elemental_groups_onscreen_description_metal	Placeholder	false
