key	text	tooltip
#Loc;1;text/db/event_feed_subcategories__.loc		
event_feed_subcategories_subcategory_title_3k_event_subcategory_diplomacy_war_peace	War & Peace	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_character_appointments	Appointments	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_diplomacy_treaty_broken_manipulated	Treaties Manipulated	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_diplomacy_state_matters	Diplomatic Reports	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_military_siege_blockade	Sieges & Blockades	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_character_loyalty_issues	Wavering Loyalty	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_spy_actions	Spy Actions	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_ceo_traits_gained	Traits Gained	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_diplomacy_treaty_broken	Treaties Broken	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_provinces_developments	Provincial Developments	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_character_friends_rivals	Relationships	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_character_developments	Character Developments	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_captives	Captives	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_world_events	World Events	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_faction_event_dilemma_incident	Dilemmas & Incidents	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_ceo_ancillaries_gained	Ancillaries Gained	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_character_defections	Defections	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_spy_events	Spy Events	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_character_ranks	Character Ranks Gained	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_military_occupation	Occupation	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_spy	 	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_provinces_buildings	Buildings	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_military_army_developments	Army Reports	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_faction_developments	Faction Developments	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_faction_crises	Faction Crises	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_faction_missions_objectives	Missions & Objectives	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_military_ambushes	Ambushes	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_diplomacy_trade	Trade	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_character_wounds_deaths	Wounds & Deaths	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_diplomacy_war_coordination	War Co-ordination	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_military_enemy_raids	Raids	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_provinces_crises	Provincial Crises	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_character_assignments	Assignments	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_military_attrition	Attrition	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_faction_family_tree	Dynasty	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_ceo_traits_lost	Traits Lost	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_military_battle	Battles	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_diplomacy_treaty_negotiated	Treaties Negotiated	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_ceo_ancillaries_lost	Ancillaries Lost	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_military_territorial_disputes	Territorial Disputes	false
event_feed_subcategories_subcategory_title_3k_event_subcategory_military_army_lost	Armies Lost	false
