key	text	tooltip
#Loc;1;text/db/event_feed_summary_events__.loc		
event_feed_summary_events_title_military_army_destroyed	Army Lost!	false
event_feed_summary_events_title_character_ceo_stolen_ancillary	Ancillary Seized	false
event_feed_summary_events_title_diplomacy_trespassing_by_us	Trespassing!	false
event_feed_summary_events_title_character_new_in_pool	{{tr:character_new_in_pool}}	false
event_feed_summary_events_title_character_ceo_changed_node_ancillary	Ancillary Earned	false
event_feed_summary_events_title_character_ceo_removed	Trait Lost	false
event_feed_summary_events_title_character_ceo_gained_ancillary	Ancillary Gained	false
event_feed_summary_events_title_provinces_settlement_razed_us	Settlement Razed	false
event_feed_summary_events_title_character_ready_for_duty	Ready for Duty	false
event_feed_summary_events_title_character_ceo_stolen	Trait Seized	false
event_feed_summary_events_title_conquest_siege_lifted	Enemy Military Investment Ended	false
event_feed_summary_events_title_military_path_blocked	Path Blocked!	false
event_feed_summary_events_title_conquest_settlement_captured_by_us	Settlement Occupied	false
event_feed_summary_events_title_provinces_settlement_sacked	Settlement Sacked	false
event_feed_summary_events_title_character_assigned_governorship	Administrator Appointed	false
event_feed_summary_events_title_provinces_settlement_looted_us	Settlement Looted	false
event_feed_summary_events_title_faction_ceo_removed	Trait Lost	false
event_feed_summary_events_title_faction_ceo_gained	Trait Gained	false
event_feed_summary_events_title_character_assigned_post	Minister Promoted	false
event_feed_summary_events_title_faction_resource_lost	Resource Lost	false
event_feed_summary_events_title_trade_route_suspended_building_change	Trade Route Suspended: Building Lost	false
event_feed_summary_events_title_captive_released_by_us	Prisoner Released	false
event_feed_summary_events_title_undercover_character_scouted_region	Spy Scout Report	false
event_feed_summary_events_title_conquest_siege_established	Military Investment!	false
event_feed_summary_events_title_diplomacy_trespassing	Trespassing!	false
event_feed_summary_events_title_character_assigned_general	General Appointed	false
event_feed_summary_events_title_military_ambusher_discovered_yours	Ambush Failed	false
event_feed_summary_events_title_military_attrition	Attrition!	false
event_feed_summary_events_title_provinces_building_demolished	Demolition Complete	false
event_feed_summary_events_title_provinces_settlement_razed	Settlement Razed	false
event_feed_summary_events_title_character_new_active_character_in_pool	{{tr:character_new_active_character_in_pool}}	false
event_feed_summary_events_title_military_unit_recruited	Unit Recruited	false
event_feed_summary_events_title_character_assignment_recalled	Assignment Recalled	false
event_feed_summary_events_title_faction_ceo_gained_ancillary	Ancillary Gained	false
event_feed_summary_events_title_captive_executed_by_us	Prisoner Executed	false
event_feed_summary_events_title_military_army_withdraws	Army Withdraws	false
event_feed_summary_events_title_provinces_settlement_sacked_us	Settlement Sacked	false
event_feed_summary_events_title_character_banished	Character Dismissed	false
event_feed_summary_events_title_conquest_siege_lifted_by_us	Military Investment Ended	false
event_feed_summary_events_title_provinces_building_constructed	Construction Complete	false
event_feed_summary_events_title_military_army_raised	Army Raised	false
event_feed_summary_events_title_conquest_siege_established_by_us	Military Investment!	false
event_feed_summary_events_title_conquest_settlement_capital_captured_by_us	Captured Enemy Capital!	false
event_feed_summary_events_title_character_ceo_removed_ancillary	Ancillary Lost	false
event_feed_summary_events_title_character_wounded	Wounded!	false
event_feed_summary_events_title_provinces_settlement_looted	Settlement Looted	false
event_feed_summary_events_title_faction_ceo_changed_node_ancillary	Ancillary Earned	false
event_feed_summary_events_title_trade_route_suspended_capital_moved	Trade Route Suspended: Capital Moved	false
event_feed_summary_events_title_faction_capital_moved_by_us	New Capital	false
event_feed_summary_events_title_faction_ceo_changed_node	Trait Improved	false
event_feed_summary_events_title_faction_ceo_stolen	Trait Seized	false
event_feed_summary_events_title_trade_route_suspended_region_lost	Trade Route Suspended: Region Lost	false
event_feed_summary_events_title_captive_hired_by_us	Prisoner Hired	false
event_feed_summary_events_title_faction_ceo_stolen_ancillary	Ancillary Seized	false
event_feed_summary_events_title_conquest_settlement_surrender_warning_by_us	Enemy Surrender Imminent!	false
event_feed_summary_events_title_faction_resource_gained	Resource Gained	false
event_feed_summary_events_title_character_ceo_changed_node	Trait Improved	false
event_feed_summary_events_title_military_army_disbanded	Army Disbanded	false
event_feed_summary_events_title_character_loyalty_low	Wavering Loyalty	false
event_feed_summary_events_title_character_assignment_issued	Assignment Issued	false
event_feed_summary_events_title_faction_capital_moved	New Capitals	false
event_feed_summary_events_title_conquest_battle	Battle	false
event_feed_summary_events_title_faction_ceo_removed_ancillary	Ancillary Lost	false
event_feed_summary_events_title_military_ambusher_discovered	Ambush Discovered	false
event_feed_summary_events_title_character_ceo_gained	Trait Gained	false
event_feed_summary_events_title_trade_route_reestablished	Trade Route Re-established	false
event_feed_summary_events_title_character_rank_gained	Rank Gained	false
event_feed_summary_events_title_military_army_founded	Army Founded	false
event_feed_summary_events_title_character_assignment_suspended	Assignment Suspended	false
