key	text	tooltip
#Loc;1;text/db/event_feed_targeted_events__.loc		
event_feed_targeted_events_title_faction_bankruptcyevent_feed_target_faction	Bankrupt	false
event_feed_targeted_events_title_trade_route_suspended_building_changeevent_feed_target_faction_2	Trade Route Suspended: Building Lost	false
event_feed_targeted_events_title_captive_released_by_usevent_feed_target_captor_faction	Prisoner Released	false
event_feed_targeted_events_title_military_army_disbandedevent_feed_target_military_force_faction	Army Disbanded	false
event_feed_targeted_events_title_character_ceo_changed_nodeevent_feed_target_character_faction	Trait Improved	false
event_feed_targeted_events_title_faction_civil_war_forceevent_feed_target_faction_instigator_faction	Civil War	false
event_feed_targeted_events_title_undercover_character_returns_due_to_banishmentevent_feed_target_character_undercover_source_faction	Spy Returning	false
event_feed_targeted_events_title_faction_succession_regencyevent_feed_target_faction_new_leader_known_to	Faction Regency	false
event_feed_targeted_events_title_scripted_transient_eventevent_feed_target_faction	#(title)	false
event_feed_targeted_events_title_undercover_character_defectsevent_feed_target_character_undercover_source_faction	Spy Defects	false
event_feed_targeted_events_title_character_marriage_diplomaticevent_feed_target_proposer_faction	Marriage	false
event_feed_targeted_events_title_undercover_character_garrison_actionevent_feed_target_character_undercover_source_faction	Spy Activity	false
event_feed_targeted_events_title_world_power_token_faction_declares_emperorevent_feed_target_faction	Imperial Seat	false
event_feed_targeted_events_title_undercover_character_returns_due_to_low_loyaltyevent_feed_target_character_undercover_source_faction	Spy Returning	false
event_feed_targeted_events_title_faction_imperium_level_increaseevent_feed_target_faction	{{tr:faction_rank_up}}	false
event_feed_targeted_events_title_scripted_persistent_eventevent_feed_target_faction	#(title)	false
event_feed_targeted_events_title_military_unit_recruitedevent_feed_target_military_unit_faction	Unit Recruited	false
event_feed_targeted_events_title_character_ceo_stolen_ancillaryevent_feed_target_stealing_character_faction	Ancillary Seized	false
event_feed_targeted_events_title_undercover_character_character_actionevent_feed_target_character_undercover_source_faction	Spy Activity	false
event_feed_targeted_events_title_provinces_building_demolishedevent_feed_target_building_faction	Demolition Complete	false
event_feed_targeted_events_title_scripted_transient_located_eventevent_feed_target_faction	#(title)	false
event_feed_targeted_events_title_faction_becomes_world_leaderevent_feed_target_faction_known_to	Challenger for the Throne	false
event_feed_targeted_events_title_faction_joins_confederationevent_feed_target_confederation	Faction Confederated	false
event_feed_targeted_events_title_undercover_character_returns_unhiredevent_feed_target_character_undercover_source_faction	Spy Returning	false
event_feed_targeted_events_title_character_assigned_generalevent_feed_target_character_faction	General Appointed	false
event_feed_targeted_events_title_trade_route_suspended_building_changeevent_feed_target_faction_1	Trade Route Suspended: Building Lost	false
event_feed_targeted_events_title_conquest_battleevent_feed_target_conquest_battle_defender_parent_army_faction	#(battle_info)	false
event_feed_targeted_events_title_character_ceo_stolenevent_feed_target_stealing_character_faction	Trait Seized	false
event_feed_targeted_events_title_undercover_character_assigned_governorshipevent_feed_target_character_undercover_source_faction	Spy Promoted: Administrator	false
event_feed_targeted_events_title_diplomacy_faction_encounteredevent_feed_target_diplomacy_faction_2	Faction Encountered	false
event_feed_targeted_events_title_conquest_settlement_capital_capturedevent_feed_target_conquest_captured_from	Capital Lost	false
event_feed_targeted_events_title_faction_event_mission_failedevent_feed_target_mission_faction	Mission Failed	false
event_feed_targeted_events_title_diplomacy_trespassingevent_feed_target_faction	Foreign Trespasser	false
event_feed_targeted_events_title_undercover_character_garrison_actionevent_feed_target_target_faction	Enemy Spy Activity	false
event_feed_targeted_events_title_conquest_province_contestedevent_feed_target_owner	Commandery Contested	false
