key	text	tooltip
#Loc;1;text/db/experience_triggers__.loc		
experience_triggers_localised_description_Trigger_Agent_Anti_Force_Fail_Critical_AI		false
experience_triggers_localised_description_Trigger_Agent_Anti_Settlement_Fail_Opportune_Human		false
experience_triggers_localised_description_Trigger_Hero_Victory		false
experience_triggers_localised_description_Trigger_Secondary_General_Victory_Pyrrhic		false
experience_triggers_localised_description_Trigger_General_Settlement_Captured		false
experience_triggers_localised_description_Trigger_Agent_Anti_Settlement_Fail_Human		false
experience_triggers_localised_description_Trigger_General_Defeat		false
experience_triggers_localised_description_Trigger_General_Victory_Pyrrhic		false
experience_triggers_localised_description_Trigger_Agent_Anti_Character_Force_Success_High_Rank_Bonus_Human		false
experience_triggers_localised_description_Trigger_General_Victory		false
experience_triggers_localised_description_Trigger_Agent_Friendly_Target_Action_With_Skill_AI		false
experience_triggers_localised_description_Trigger_Agent_Anti_Settlement_Success_Human		false
experience_triggers_localised_description_Trigger_General_Is_Garrisoned		false
experience_triggers_localised_description_Trigger_Hero_Defeat_Crushing		false
experience_triggers_localised_description_Trigger_Agent_Anti_Character_Fail_AI		false
experience_triggers_localised_description_Trigger_Agent_Anti_Character_Success_Critical_AI		false
experience_triggers_localised_description_Trigger_Agent_Friendly_Target_Action_AI		false
experience_triggers_localised_description_Trigger_General_Victory_Heroic		false
experience_triggers_localised_description_Trigger_Secondary_General_Victory		false
experience_triggers_localised_description_Trigger_Secondary_General_Defeat		false
experience_triggers_localised_description_Trigger_Agent_Deployed_Action_AI		false
experience_triggers_localised_description_Trigger_Secondary_General_Defeat_Valiant		false
experience_triggers_localised_description_Trigger_Agent_Anti_Character_Fail_Human		false
experience_triggers_localised_description_Trigger_Agent_Anti_Character_Force_Success_Medium_Rank_Bonus_AI		false
experience_triggers_localised_description_Trigger_Agent_Anti_Character_Force_Success_Medium_Rank_Bonus_Human		false
experience_triggers_localised_description_Trigger_Agent_Anti_Settlement_Fail_Critical_Human		false
experience_triggers_localised_description_Trigger_General_Defeat_Valiant		false
experience_triggers_localised_description_Trigger_Agent_Anti_Settlement_Fail_Opportune_AI		false
experience_triggers_localised_description_Trigger_Agent_Anti_Force_Success_Human		false
experience_triggers_localised_description_Trigger_General_Raiding		false
experience_triggers_localised_description_Trigger_Agent_Friendly_Target_Action_Human		false
experience_triggers_localised_description_Trigger_Agent_Anti_Force_Fail_AI		false
experience_triggers_localised_description_Trigger_Hero_Defeat		false
experience_triggers_localised_description_Trigger_Secondary_General_Victory_Heroic		false
experience_triggers_localised_description_Trigger_Agent_Anti_Character_Fail_Critical_Human		false
experience_triggers_localised_description_Trigger_Agent_Anti_Force_Fail_Opportune_AI		false
experience_triggers_localised_description_Trigger_Agent_Anti_Settlement_Success_AI		false
experience_triggers_localised_description_Trigger_Hero_Victory_Pyrrhic		false
experience_triggers_localised_description_Trigger_Agent_Anti_Character_Success_AI		false
experience_triggers_localised_description_Trigger_Hero_Victory_Heroic		false
experience_triggers_localised_description_Trigger_Hero_Defeat_Valiant		false
experience_triggers_localised_description_Trigger_Agent_Anti_Force_Success_AI		false
experience_triggers_localised_description_Trigger_General_Successful_Ambush		false
experience_triggers_localised_description_Trigger_Agent_Anti_Character_Fail_Opportune_Human		false
experience_triggers_localised_description_Trigger_Agent_Anti_Character_Force_Success_High_Rank_Bonus_AI		false
experience_triggers_localised_description_Trigger_Agent_Anti_Character_Success_Human		false
experience_triggers_localised_description_Trigger_General_Horde_Completed_Construction_Project		false
experience_triggers_localised_description_Trigger_Agent_Deployed_Action_Human		false
experience_triggers_localised_description_Trigger_Agent_Anti_Settlement_Fail_Critical_AI		false
experience_triggers_localised_description_Trigger_Agent_Anti_Character_Fail_Opportune_AI		false
experience_triggers_localised_description_Trigger_Agent_Anti_Force_Fail_Human		false
experience_triggers_localised_description_Trigger_Agent_Anti_Character_Success_Critical_Human		false
experience_triggers_localised_description_Trigger_Agent_Anti_Character_Fail_Critical_AI		false
experience_triggers_localised_description_Trigger_Agent_Anti_Settlement_Fail_AI		false
experience_triggers_localised_description_Trigger_Agent_Anti_Force_Fail_Opportune_Human		false
experience_triggers_localised_description_Trigger_General_Settlement_Razed		false
experience_triggers_localised_description_Trigger_Agent_Friendly_Target_Action_With_Skill_Human		false
experience_triggers_localised_description_Trigger_Secondary_General_Defeat_Crushing		false
experience_triggers_localised_description_Trigger_General_Defeat_Crushing		false
experience_triggers_localised_description_Trigger_Agent_Anti_Force_Fail_Critical_Human		false
