key	text	tooltip
#Loc;1;text/db/faction_groups__.loc		
faction_groups_name_localised_3k_yellow_turbans	Yellow Turbans	false
faction_groups_name_localised_3k_the_coalition	The Coalition	false
faction_groups_description_localised_3k_regional_warlords	Unused	false
faction_groups_description_localised_3k_imperial_warlords	Unused	false
faction_groups_description_localised_3k_nanman	Unused	false
faction_groups_description_localised_3k_the_coalition	Unused	false
faction_groups_description_localised_3k_the_han	Unused	false
faction_groups_name_localised_3k_the_eight_princes	Princes of Jin	false
faction_groups_description_localised_3k_bandits	Unused	false
faction_groups_description_localised_3k_Imperial_governors	Unused	false
faction_groups_name_localised_3k_bandits	Bandits & Outlaws	false
faction_groups_description_localised_3k_yellow_turbans	Unused	false
faction_groups_name_localised_3k_warlords	Warlords	false
faction_groups_name_localised_3k_regional_warlords	Regional Warlords	false
faction_groups_name_localised_3k_Imperial_governors	Imperial Governors	false
faction_groups_name_localised_3k_yellow_turban_remnants	Yellow Turban Remnants	false
faction_groups_description_localised_3k_the_eight_princes	Unused	false
faction_groups_description_localised_3k_yellow_turban_remnants	Unused	false
faction_groups_name_localised_3k_nanman	Southern Tribes	false
faction_groups_name_localised_3k_imperial_warlords	Imperial Warlords	false
faction_groups_description_localised_3k_the_empire	Unused	false
faction_groups_name_localised_3k_the_han	The Han Dynasty	false
faction_groups_name_localised_3k_the_empire	The Empire	false
faction_groups_description_localised_3k_warlords	Unused	false
