key	text	tooltip
#Loc;1;text/db/faction_resource_ids__.loc		
faction_resource_ids_tooltip_3k_main_provincial_resources_silk	Silk\\n\\nThis is a resource that can be obtained from special settlements.	false
faction_resource_ids_localised_description_3k_main_provincial_resources_spice	Spice	false
faction_resource_ids_localised_description_3k_main_provincial_resources_farms	Grain	false
faction_resource_ids_localised_description_3k_main_provincial_resources_salt	Salt	false
faction_resource_ids_tooltip_3k_main_provincial_resources_copper	Copper\\n\\nThis is a resource that can be obtained from special settlements.	false
faction_resource_ids_tooltip_3k_main_provincial_resources_salt	Salt\\n\\nThis is a resource that can be obtained from special settlements.	false
faction_resource_ids_localised_description_3k_main_provincial_resources_jobs_artisans	Artisans	false
faction_resource_ids_localised_description_3k_main_provincial_resources_rice	Rice	false
faction_resource_ids_localised_description_3k_main_provincial_resources_jobs_industrialists	Industrialists	false
faction_resource_ids_localised_description_3k_main_provincial_resources_lumber	Lumber	false
faction_resource_ids_tooltip_3k_main_provincial_resources_jobs_industrialists	Industrialists\\n\\nProficient industrialists will be provided by certain buildings in {{tr:map_province}} capitals.	false
faction_resource_ids_localised_description_3k_main_provincial_resources_fishing	Fishing	false
faction_resource_ids_tooltip_3k_main_provincial_resources_iron	Iron\\n\\nThis is a resource that can be obtained from special settlements.	false
faction_resource_ids_tooltip_3k_main_provincial_resources_jobs_artisans	Artisans\\n\\nProficient artisans will be provided by certain buildings in {{tr:map_province}} capitals.	false
faction_resource_ids_tooltip_3k_main_provincial_resources_horses	Horses\\n\\nThis is a resource that can be obtained from special settlements.	false
faction_resource_ids_tooltip_3k_main_provincial_resources_lumber	Lumber\\n\\nThis is a resource that can be obtained from special settlements.	false
faction_resource_ids_localised_description_3k_main_provincial_resources_tools	Tools	false
faction_resource_ids_localised_description_3k_main_provincial_resources_iron	Iron	false
faction_resource_ids_tooltip_3k_main_provincial_resources_spice	Spice\\n\\nThis is a resource that can be obtained from special settlements.	false
faction_resource_ids_tooltip_3k_main_provincial_resources_jobs_entrepreneurs	Entrepreneurs\\n\\nProficient entrepreneurs will be provided by certain buildings in {{tr:map_province}} capitals.	false
faction_resource_ids_localised_description_3k_main_provincial_resources_jobs_entrepreneurs	Entrepreneurs	false
faction_resource_ids_tooltip_3k_main_provincial_resources_farms	Grain\\n\\nThis is a resource that can be obtained from special settlements.	false
faction_resource_ids_tooltip_3k_main_provincial_resources_tools	Tools\\n\\nThis is a resource that can be obtained from special settlements.	false
faction_resource_ids_tooltip_3k_main_provincial_resources_jade	Jade\\n\\nThis is a resource that can be obtained from special settlements.	false
faction_resource_ids_tooltip_3k_main_provincial_resources_rice	Rice\\n\\nThis is a resource that can be obtained from special settlements.	false
faction_resource_ids_tooltip_3k_main_provincial_resources_fishing	Fishing\\n\\nThis is a resource that can be obtained from special settlements.	false
faction_resource_ids_tooltip_3k_main_provincial_resources_tea	Tea\\n\\nThis is a resource that can be obtained from special settlements.	false
faction_resource_ids_localised_description_3k_main_provincial_resources_jade	Jade	false
faction_resource_ids_localised_description_3k_main_provincial_resources_horses	Horses	false
faction_resource_ids_localised_description_3k_main_provincial_resources_tea	Tea	false
faction_resource_ids_localised_description_3k_main_provincial_resources_silk	Silk	false
faction_resource_ids_tooltip_3k_main_provincial_resources_livestock	Livestock\\n\\nThis is a resource that can be obtained from special settlements.	false
faction_resource_ids_localised_description_3k_main_provincial_resources_livestock	Livestock	false
faction_resource_ids_localised_description_3k_main_provincial_resources_copper	Copper	false
