key	text	tooltip
#Loc;1;text/db/frontend_faction_leader_playstyles__.loc		
frontend_faction_leader_playstyles_localised_title_3k_main_faction_liu_yan	Playstyle focus: Inheritance & aspiration	false
frontend_faction_leader_playstyles_localised_tooltip_3k_dlc04_faction_zhang_liang	 	false
frontend_faction_leader_playstyles_localised_title_3k_dlc06_faction_shamoke	Playstyle focus: Reformation	false
frontend_faction_leader_playstyles_localised_title_ep_faction_prince_of_qi	Playstyle focus: Centralised government	false
frontend_faction_leader_playstyles_localised_title_3k_dlc04_faction_zhang_bao	Playstyle focus: Symbiosis & aggression	false
frontend_faction_leader_playstyles_localised_title_3k_dlc07_faction_liu_zhang	Playstyle focus: Inheritance & aspiration	false
frontend_faction_leader_playstyles_localised_title_3k_dlc05_faction_sun_ce	Playstyle focus: Characters & expansion	false
frontend_faction_leader_playstyles_localised_title_3k_main_faction_ma_teng	Playstyle focus: Cavalry & military supplies	false
frontend_faction_leader_playstyles_localised_title_3k_main_faction_liu_bei	Playstyle focus: Companionship	false
frontend_faction_leader_playstyles_localised_title_3k_dlc06_faction_shi_xie	Playstyle focus: Family & tribute	false
frontend_faction_leader_playstyles_localised_tooltip_ep_faction_prince_of_chu	 	false
frontend_faction_leader_playstyles_localised_title_3k_dlc06_faction_nanman_meng_huo	Playstyle focus: Aggressive expansion	false
frontend_faction_leader_playstyles_localised_tooltip_3k_main_faction_yellow_turban_rebels	 	false
frontend_faction_leader_playstyles_localised_title_3k_main_faction_gongsun_zan	Playstyle focus: Balanced military	false
frontend_faction_leader_playstyles_localised_title_ep_faction_prince_of_changsha	Playstyle focus: Internal development	false
frontend_faction_leader_playstyles_localised_title_3k_main_faction_cao_cao	Playstyle focus: Diplomatic manipulation	false
frontend_faction_leader_playstyles_localised_tooltip_3k_main_faction_ma_teng	 	false
frontend_faction_leader_playstyles_localised_tooltip_3k_dlc06_faction_shamoke	 	false
frontend_faction_leader_playstyles_localised_tooltip_ep_faction_prince_of_qi	 	false
frontend_faction_leader_playstyles_localised_title_test	[PH]Title	false
frontend_faction_leader_playstyles_localised_tooltip_ep_faction_prince_of_hejian	 	false
frontend_faction_leader_playstyles_localised_tooltip_3k_dlc04_faction_lu_zhi	 	false
frontend_faction_leader_playstyles_localised_tooltip_3k_dlc04_faction_prince_liu_chong	 	false
frontend_faction_leader_playstyles_localised_title_3k_main_faction_lu_bu	Playstyle focus: One-man army	false
frontend_faction_leader_playstyles_localised_title_3k_dlc06_faction_king_mulu	Playstyle focus: Mastery of the elements	false
frontend_faction_leader_playstyles_localised_tooltip_3k_main_faction_cao_cao	 	false
frontend_faction_leader_playstyles_localised_tooltip_3k_dlc05_faction_white_tiger_yan	 	false
frontend_faction_leader_playstyles_localised_tooltip_ep_faction_prince_of_changsha	 	false
frontend_faction_leader_playstyles_localised_tooltip_3k_main_faction_dong_zhuo	 	false
frontend_faction_leader_playstyles_localised_tooltip_ep_faction_prince_of_chengdu	 	false
frontend_faction_leader_playstyles_localised_title_3k_dlc04_faction_zhang_liang	Playstyle focus: Symbiosis & defence	false
frontend_faction_leader_playstyles_localised_tooltip_3k_dlc06_faction_shi_xie	 	false
frontend_faction_leader_playstyles_localised_title_3k_main_faction_sun_jian	Playstyle focus: Expansion	false
frontend_faction_leader_playstyles_localised_title_3k_main_faction_yellow_turban_rebels	Playstyle focus: Population	false
frontend_faction_leader_playstyles_localised_title_3k_main_faction_kong_rong	Playstyle focus: Trade & population	false
frontend_faction_leader_playstyles_localised_title_3k_main_faction_yellow_turban_anding	Playstyle focus: Raiding & looting	false
frontend_faction_leader_playstyles_localised_title_3k_main_faction_dong_zhuo	Playstyle focus: Oppression & control	false
frontend_faction_leader_playstyles_localised_title_3k_dlc04_faction_prince_liu_chong	Playstyle focus: Majesty	false
frontend_faction_leader_playstyles_localised_tooltip_3k_main_faction_tao_qian	 	false
frontend_faction_leader_playstyles_localised_title_3k_main_faction_zheng_jiang	Playstyle focus: Aggressive expansion	false
frontend_faction_leader_playstyles_localised_tooltip_3k_dlc06_faction_nanman_lady_zhurong	 	false
frontend_faction_leader_playstyles_localised_title_3k_dlc04_faction_lu_zhi	Playstyle focus: Scholarship & teaching	false
frontend_faction_leader_playstyles_localised_tooltip_3k_main_faction_lu_bu	 	false
frontend_faction_leader_playstyles_localised_tooltip_ep_faction_prince_of_zhao	 	false
frontend_faction_leader_playstyles_localised_title_ep_faction_prince_of_hejian	Playstyle focus: Defence & infrastructure	false
frontend_faction_leader_playstyles_localised_title_ep_faction_prince_of_zhao	Playstyle focus: Espionage & diplomacy	false
frontend_faction_leader_playstyles_localised_title_ep_faction_prince_of_chu	Playstyle focus: Aggressive expansion	false
frontend_faction_leader_playstyles_localised_title_3k_main_faction_yuan_shu	Playstyle focus: Despotism & economy	false
