key	text	tooltip
#Loc;1;text/db/frontend_faction_leader_unique_characters__.loc		
frontend_faction_leader_unique_characters_localised_description_3k_dlc05_template_historical_yue_jin_hero_metal	[[b]]Yue Jin[[/b]]\\nThe Lion of Yangping\\n\\nGeneral type: {{tr:3k_general_type_metal}}\\n\\n[[col:flavour]][[i]]What Yue Jin lacks in stature he makes up for in fierceness, fearlessness, and deadliness with his bow.[[/col]][[/i]]	false
frontend_faction_leader_unique_characters_localised_description_3k_dlc05_template_historical_xun_yu_hero_water	[[b]]Xun Yu[[/b]]\\nHegemon's Aide\\n\\nGeneral type: {{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]"Here comes my Zifang!"[[/col]][[/i]]	false
frontend_faction_leader_unique_characters_localised_description_3k_main_template_historical_ma_chao_hero_fire	[[b]]Ma Chao[[/b]]\\nMost-brilliant Warrior\\n\\nGeneral type: {{tr:3k_general_type_fire}}\\n\\n[[col:flavour]][[i]]With a complexion like jade and eyes like shooting stars, Ma Chao is a warrior truly brilliant in appearance.[[/col]][[/i]]	false
frontend_faction_leader_unique_characters_localised_description_3k_dlc07_template_historical_xiahou_dun_hero_wood	[[b]]Xiahou Dun[[/b]]\\nHotheaded Officer\\n\\nGeneral type: {{tr:3k_general_type_wood}}\\n\\n[[col:flavour]][[i]]Those who know Xiahou Dun know not to get on his bad side.[[/col]][[/i]]	false
frontend_faction_leader_unique_characters_localised_description_3k_dlc04_template_historical_yuan_shao_earth	[[b]]Yuan Shao[[/b]]\\nPreeminent Commander\\n\\nGeneral type: {{tr:3k_general_type_earth}}\\n\\n[[col:flavour]][[i]]Yuan Shao's astuteness, dignity and arrogance are the mark of his ancestors, many of whom served emperors past.[[/col]][[/i]]	false
frontend_faction_leader_unique_characters_localised_description_3k_main_template_historical_guan_yu_hero_wood	[[b]]Guan Yu[[/b]]\\nGod of War\\n\\nGeneral type: {{tr:3k_general_type_wood}}\\n\\n[[col:flavour]][[i]]A famed warrior and righteous slayer of all who dare oppose him, Guan Yu’s deification is already assured.[[/col]][[/i]]	false
frontend_faction_leader_unique_characters_localised_description_3k_dlc05_ytr_template_historical_huang_shao_hero_metal	[[b]]Huang Shao[[/b]]\\nWielder of the Heavenly Way\\n\\nGeneral type: {{tr:3k_ytr_general_type_scholar}}\\n\\n[[col:flavour]][[i]]All uprisings, no matter how widespread, stand little chance of success without strong leadership.[[/col]][[/i]]	false
frontend_faction_leader_unique_characters_localised_description_3k_dlc07_template_historical_guan_yu_hero_wood	[[b]]Guan Yu[[/b]]\\nGod of War\\n\\nGeneral type: {{tr:3k_general_type_wood}}\\n\\n[[col:flavour]][[i]]A famed warrior and righteous slayer of all who dare oppose him, Guan Yu’s deification is already assured.[[/col]][[/i]]	false
frontend_faction_leader_unique_characters_localised_description_3k_main_template_historical_yan_liang_hero_fire	[[b]]Yan Liang[[/b]]\\nValiant Vanguard\\n\\nGeneral type: {{tr:3k_general_type_fire}}\\n\\n[[col:flavour]][[i]]A foremost general of considerable military prowess, the gutsy Yan Liang is unmatched among ordinary warriors.[[/col]][[/i]]	false
