key	text	tooltip
#Loc;1;text/db/frontend_faction_leader_unique_features__.loc		
frontend_faction_leader_unique_features_localised_description_3k_dlc04_unique_features_lu_zhi_defenders_of_the_empire	[[b]]Defenders of the Empire[[/b]]\\n[[col:scope_description]]Spear infantry[[/col]]\\n\\nAvailable for characters rank 3 or higher\\n\\nRole: frontline\\n[[col:green]]+[[/col]] Unbreakable\\n[[col:green]]+[[/col]] Missile defence\\n\\n[[col:flavour]][[i]]The empire is, above all, imbued with the will of heaven. It will be defended![[/col]][[/i]]	false
frontend_faction_leader_unique_features_localised_description_3k_dlc04_unique_features_zhang_liang_tyrant_slayers	[[b]]Tyrant Slayers[[/b]]\\n[[col:scope_description]]Shock cavalry[[/col]]\\n\\nAvailable for characters rank 6 or higher\\n\\nRole: flanking\\n[[col:green]]+[[/col]] Strong charge\\n[[col:green]]+[[/col]] Good against generals\\n\\n[[col:flavour]][[i]]The leaders of the land are tainted by corruption, and must be cleansed with steel.[[/col]][[/i]]	false
frontend_faction_leader_unique_features_localised_description_3k_dlc05_unique_features_sun_ce_hand_maiden	[[b]]Handmaid Guard[[/b]]\\n[[col:scope_description]]Melee cavalry[[/col]]\\n\\nAvailable for characters of rank 3 or higher\\n\\nRole: anti-missile\\n[[col:green]]+[[/col]] Good morale \\n[[col:green]]+[[/col]] Missile defence\\n\\n[[col:flavour]][[i]]As bodyguards for nobles, the Handmaid Guard are particularly fearsome, able to stand toe-to-toe with any of China's best fighters.[[/col]][[/i]]	false
frontend_faction_leader_unique_features_localised_description_3k_main_unique_features_ma_teng_qiang_raiders	[[b]]Qiang Raiders[[/b]]\\n[[col:scope_description]]Melee cavalry[[/col]]\\n\\nAvailable for characters rank 5 or higher\\n\\nRole: flanking\\n[[col:green]]+[[/col]] Fatigue immunity\\n[[col:red]]-[[/col]] Defence vs. spears\\n\\n[[col:flavour]][[i]]Merciless tribal cavalry, crashing into enemies with a devastating charge and dispatching any survivors with swords.[[/col]][[/i]]	false
frontend_faction_leader_unique_features_localised_description_3k_main_unique_features_dong_zhuo_xiliang_cavalry	[[b]]Xiliang Cavalry[[/b]]\\n[[col:scope_description]]Shock cavalry[[/col]]\\n\\nAvailable for characters rank 3 or higher\\n\\nRole: assault\\n[[col:green]]+[[/col]] Good charge\\n[[col:red]]-[[/col]] Weak against missile attacks\\n\\n[[col:flavour]][[i]]Trained in the tradition of nomadic horsemen, the speed and power of this cavalry’s charge scatter all before it.[[/col]][[/i]]	false
frontend_faction_leader_unique_features_localised_description_ep_unique_features_sima_ying_qiang_hunters	[[b]]Qiang Hunters[[/b]]\\n[[col:scope_description]]Horse archers[[/col]]\\n\\nAvailable for characters rank 3 or higher\\n\\nRole: skirmisher\\n[[col:green]]+[[/col]] Fatigue immunity\\n[[col:green]]+[[/col]] Melee\\n\\n[[col:flavour]][[i]]Tribal archers who excel at skirmishing due to their accuracy, endurance and long polearms to counter enemy cavalry assaults.[[/col]][[/i]]	false
frontend_faction_leader_unique_features_localised_description_3k_main_unique_features_dong_zhuo_conscription	[[b]]Enforced Conscription[[/b]]\\n[[col:scope_description]]Military building chain[[/col]]\\n\\n[[col:green]]+[[/col]] Starting rank for new recruits \\n[[col:green]]+[[/col]] Seasonal retinue deployment \\n[[col:green]]+[[/col]] {{tr:Public_order}}\\n[[col:green]]-[[/col]] Mustering time\\n[[col:green]]-[[/col]] Redeployment cost \\n[[col:red]]-[[/col]] Population growth \\n\\n[[col:flavour]][[i]]Even with a standing army, the realm’s stability must be assured by drawing bodies from the population – willingly or otherwise![[/col]][[/i]]	false
frontend_faction_leader_unique_features_localised_description_ep_unique_features_sima_wei_chu_spearmen	[[b]]Chu Spearman[[/b]]\\n[[col:scope_description]]Polearm infantry[[/col]]\\n\\nAvailable for characters rank 3 or higher\\n\\nRole: anti-cavalry\\n[[col:green]]+[[/col]] Great against armored cavalry\\n\\n[[col:flavour]][[i]]These spearmen are trained to hold the line, thrusting out at any who would oppose them, or their lord![[/col]][[/i]]	false
frontend_faction_leader_unique_features_localised_description_3k_dlc06_unique_features_shi_xie_bonds_of_family	[[b]]Bonds of Family[[/b]]\\n[[col:scope_description]]Passive effect[[/col]]\\n\\nReduced cost of marrying and adopting characters.\\n\\n[[i]][[col:flavour]]In the far south, far from the capital, there is nothing more important than a strong, powerful family.[[/col]][[/i]]	false
frontend_faction_leader_unique_features_localised_description_ep_unqiue_features_sima_liang_demesne	[[b]]Domain[[/b]]\\n[[col:scope_description]]Government type[[/col]]\\n\\nRestricts the number of {{tr:map_regions}} that can be governed without penalties\\n\\n[[i]][[col:flavour]]One's domain cannot outreach one's jurisdiction, lest order succumb to chaos.[[/col]][[/i]]	false
frontend_faction_leader_unique_features_localised_description_3k_dlc06_unique_features_nanman_lady_zhurong_tiger_slingers	[[b]]Tiger Slingers[[/b]]\\n[[col:scope_description]]Ranged infantry[[/col]]\\n\\nAvailable for characters rank 1 or higher\\n\\nRole: skirmishers\\n[[col:green]]+[[/col]] Causes scare\\n[[col:green]]+[[/col]] Has wild animals\\n\\n[[col:flavour]][[i]]All will fight in the defence of their leader, but others will fight all the more fiercely to avenge them.[[/col]][[/i]]	false
frontend_faction_leader_unique_features_localised_description_3k_dlc04_unique_features_tao_qian_territorial_spearmen	[[b]]Territorial Spearmen[[/b]]\\n[[col:scope_description]]Spear infantry[[/col]]\\n\\nAvailable for characters rank 3 or higher\\n\\nRole: anti-cavalry\\n[[col:green]]+[[/col]] Morale when defending\\n[[col:green]]+[[/col]] Melee defence when defending\\n[[col:green]]+[[/col]] Melee damage when defending\\n[[col:red]]-[[/col]] Weak against missile attacks\\n\\n[[col:flavour]][[i]]Put a spear in these men's hands and they will fight. Against all odds, for their homes, they will fight…[[/col]][[/i]]	false
frontend_faction_leader_unique_features_localised_description_3k_main_unique_features_ma_teng_qiang_hunters	[[b]]Qiang Hunters[[/b]]\\n[[col:scope_description]]Horse archers[[/col]]\\n\\nAvailable for characters rank 3 or higher\\n\\nRole: skirmisher\\n[[col:green]]+[[/col]] Fatigue immunity\\n[[col:green]]+[[/col]] Melee\\n\\n[[col:flavour]][[i]]Tribal archers who excel at skirmishing due to their accuracy, endurance and long polearms to counter enemy cavalry assaults.[[/col]][[/i]]	false
frontend_faction_leader_unique_features_localised_description_ep_unique_features_sima_ying_qiang_raiders	[[b]]Qiang Raiders[[/b]]\\n[[col:scope_description]]Melee cavalry[[/col]]\\n\\nAvailable for characters rank 5 or higher\\n\\nRole: flanking\\n[[col:green]]+[[/col]] Fatigue immunity\\n[[col:red]]-[[/col]] Defence vs. spears\\n\\n[[col:flavour]][[i]]Merciless tribal cavalry, crashing into enemies with a devastating charge and dispatching any survivors with swords.[[/col]][[/i]]	false
frontend_faction_leader_unique_features_localised_description_3k_dlc06_unique_features_shamoke_fealty	[[b]]Lord of the Five Valleys[[/b]]\\n[[col:scope_description]]Faction feature[[/col]]\\n\\n[[i]]Fealties are gained through conquering Nanman factions. Each tribe starts with one and must gather the others to unite the tribes.[[/i]]\\n\\n[[i]][[col:flavour]]All that you see before you... this is the land of the five valleys..[[/col]][[/i]]	false
