key	text	tooltip
#Loc;1;text/db/ground_type_stat_effect_groups__.loc		
ground_type_stat_effect_groups_onscreen_name_3k_main_cavalry_light	Light Cavalry	false
ground_type_stat_effect_groups_onscreen_name_3k_main_cavalry_light_nanman	Nanman Light Cavalry	false
ground_type_stat_effect_groups_onscreen_name_3k_main_cavalry_heavy	Heavy Cavalry	false
ground_type_stat_effect_groups_onscreen_name_3k_main_infantry_light_nanman	Nanman Light Infantry	false
ground_type_stat_effect_groups_onscreen_name_3k_main_cavalry_medium_nanman	Nanman Medium Cavalry	false
ground_type_stat_effect_groups_onscreen_name_3k_main_cavalry_heavy_nanman	Nanman Heavy Cavalry	false
ground_type_stat_effect_groups_onscreen_name_3k_dlc04_unit_water_yaoguai_hunters	Yaoguai Hunters	false
ground_type_stat_effect_groups_onscreen_name_3k_main_infantry_medium	Medium Infantry	false
ground_type_stat_effect_groups_onscreen_name_3k_main_infantry_light	Light Infantry	false
ground_type_stat_effect_groups_onscreen_name_3k_main_infantry_heavy	Heavy Infantry	false
ground_type_stat_effect_groups_onscreen_name_3k_main_infantry_medium_nanman	Nanman Medium Infantry	false
ground_type_stat_effect_groups_onscreen_name_3k_main_cavalry_medium	Medium Cavalry	false
ground_type_stat_effect_groups_onscreen_name_3k_main_elephant	Elephant	false
ground_type_stat_effect_groups_onscreen_name_3k_main_infantry_heavy_nanman	Nanman Heavy Infantry	false
