key	text	tooltip
#Loc;1;text/db/land_units__.loc		
land_units_onscreen_name_3k_main_unit_wood_warriors_of_ye	Warriors of Ye	false
land_units_onscreen_name_3k_main_hero_metal_zhang_liao	Zhang Liao	false
land_units_concealed_name_3k_ytr_hero_wood_pei_yuanshao		false
land_units_concealed_name_3k_dlc06_general_nanman_generic		false
land_units_onscreen_name_3k_dlc04_unit_earth_mounted_sabre_defectors	Mounted Sabre Defectors	false
land_units_concealed_name_3k_dlc04_unit_metal_imperial_sword_guard		false
land_units_onscreen_name_3k_ytr_hero_wood_generic	Generic Wood	false
land_units_concealed_name_3k_ytr_hero_metal_generic		false
land_units_concealed_name_ep_dyn_hero_metal_xu_huang		false
land_units_concealed_name_ep_unit_fire_cataphracts		false
land_units_concealed_name_3k_dlc04_unit_water_qiang_archers		false
land_units_concealed_name_3k_dlc05_unit_metal_bandit_warriors		false
land_units_onscreen_name_3k_dlc04_unit_metal_bringers_of_peace	Bringers of Peace	false
land_units_concealed_name_3k_main_unit_wood_heavy_ji_infantry		false
land_units_onscreen_name_ep_dyn_hero_metal_yue_jin	Yue Jin	false
land_units_concealed_name_3k_dlc04_unit_wood_imperial_gate_guards		false
land_units_concealed_name_ep_dyn_hero_earth_yuan_shao		false
land_units_concealed_name_3k_ytr_general_water_he_yi		false
land_units_onscreen_name_3k_main_general_earth_sun_quan	Sun Quan	false
land_units_onscreen_name_3k_dlc05_unit_fire_bandit_raiders	Bandit Raiders	false
land_units_onscreen_name_3k_main_unit_wood_peasant_band	Peasant Band	false
land_units_onscreen_name_3k_dlc04_unit_fire_tyrant_slayers	Tyrant Slayers	false
land_units_concealed_name_3k_dlc05_hero_water_zhang_zhao		false
land_units_onscreen_name_3k_main_unit_metal_warriors_of_the_left	Warriors of the Left	false
land_units_onscreen_name_ep_dyn_hero_earth_yuan_shu	Yuan Shu	false
land_units_onscreen_name_3k_main_hero_earth_yuan_shao	Yuan Shao	false
land_units_onscreen_name_3k_main_hero_metal_huang_zhong	Huang Zhong	false
land_units_concealed_name_3k_dlc07_unit_fire_northern_lancer_cavalry		false
land_units_onscreen_name_3k_main_unit_water_defenders_of_earth	Defenders of Earth	false
land_units_concealed_name_3k_main_unit_wood_warriors_of_ye		false
land_units_onscreen_name_3k_main_general_earth_liu_zhang	Liu Zhang	false
land_units_onscreen_name_3k_main_hero_water_kong_rong	Kong Rong	false
land_units_concealed_name_3k_dlc04_unit_metal_exemplars_of_the_tao		false
land_units_onscreen_name_3k_dlc05_hero_earth_da_qiao	Da Qiao	false
