key	text	tooltip
#Loc;1;text/db/loading_screen_quotes__.loc		
loading_screen_quotes_bulletpoints_3k_main_sun_leader_quote_01		false
loading_screen_quotes_description_3k_main_all_flavour_quote_08	"To send men into battle without having trained them is simply to throw them away." - Ying Shao	false
loading_screen_quotes_title_3k_main_all_flavour_quote_02	Romance of the Three Kingdoms	false
loading_screen_quotes_title_3k_main_sun_leader_quote_02	Sun Quan	false
loading_screen_quotes_bulletpoints_3k_main_liu_leader_quote_01		false
loading_screen_quotes_title_3k_main_cao_leader_quote_01	Cao Cao	false
loading_screen_quotes_bulletpoints_3k_main_liu_leader_quote_02		false
loading_screen_quotes_bulletpoints_3k_main_cao_leader_quote_03		false
loading_screen_quotes_description_3k_main_all_flavour_quote_05	"He who wins people, prospers; he who loses them, fails. Your present plan should be to seek humans of high aims and farseeing views, and you can establish yourself firmly." - Zhou Yu	false
loading_screen_quotes_bulletpoints_3k_main_sun_leader_quote_02		false
loading_screen_quotes_title_3k_main_sun_leader_quote_01	Sun Jian	false
loading_screen_quotes_title_3k_main_all_flavour_quote_01	Romance of the Three Kingdoms	false
loading_screen_quotes_description_3k_main_all_flavour_quote_04	"Those who are skilled in combat do not become angered, those who are skilled at winning do not become afraid. Thus the wise win before they fight, while the ignorant fight to win." - Zhuge Liang	false
loading_screen_quotes_bulletpoints_3k_main_all_flavour_quote_01		false
loading_screen_quotes_title_3k_main_sun_leader_quote_03	Sun Ce	false
loading_screen_quotes_bulletpoints_3k_main_all_flavour_quote_02		false
loading_screen_quotes_bulletpoints_3k_main_cao_leader_quote_02		false
loading_screen_quotes_bulletpoints_3k_main_all_flavour_quote_07		false
loading_screen_quotes_title_3k_main_all_flavour_quote_08	Romance of the Three Kingdoms	false
loading_screen_quotes_title_3k_main_all_flavour_quote_07	Romance of the Three Kingdoms	false
loading_screen_quotes_description_3k_main_liu_leader_quote_03	"Do no evilness because it is a small one; do not leave a small deed undone because it is just a petty one" - Liu Bei	false
