key	text	tooltip
#Loc;1;text/db/map_pins__.loc		
map_pins_localised_title_3k_dlc05_startpos_pin_zheng_jiang_cao_cao	{{tr:3k_startpos_label_cao_cao_header}}	false
map_pins_localised_description_3k_dlc04_startpos_pin_zhang_jue_zhang_bao	{{tr:3k_dlc04_startpos_label_zhang_jue_zhang_bao}}	false
map_pins_localised_description_3k_dlc04_startpos_pin_zhang_liang_zhang_jue	{{tr:3k_dlc04_startpos_label_zhang_jue_zhang_bao}}	false
map_pins_localised_title_3k_startpos_pin_kong_rong_kong_rong	{{tr:3k_startpos_label_kong_rong_header}}	false
map_pins_localised_title_3k_dlc05_startpos_pin_yuan_shao_yuan_shao	{{tr:3k_startpos_label_yuan_shao_header}}	false
map_pins_localised_title_3k_dlc04_startpos_pin_dong_zhuo_zhang_jue	{{tr:3k_dlc04_startpos_label_zhang_jue_header}}	false
map_pins_localised_title_3k_dlc05_startpos_pin_yan_baihu_yellow_turban	{{tr:3k_startpos_label_yellow_turban_genneric_header}}	false
map_pins_localised_description_3k_startpos_pin_yuan_shao_captive_emperor	[[i]]{{tr:3k_startpos_label_yuan_shao_captive_emperor}}[[/i]]	false
map_pins_localised_title_3k_startpos_pin_yuan_shu_yuan_shu	{{tr:3k_startpos_label_yuan_shu_header}}	false
map_pins_localised_description_3k_startpos_pin_zheng_jiang_zhang_yan	[[i]]{{tr:3k_startpos_label_zheng_jiang_zhang_yan}}[[/i]]	false
map_pins_localised_title_3k_startpos_pin_kong_rong_dong_zhuo	{{tr:3k_startpos_label_dong_zhuo_header}}	false
map_pins_localised_description_3k_dlc05_startpos_pin_ma_teng_ma_teng	[[i]]{{tr:3k_startpos_label_ma_teng_ma_teng}}[[/i]]	false
map_pins_localised_title_3k_dlc05_startpos_pin_yuan_shu_lu_bu	{{tr:3k_startpos_label_lu_bu_header}}	false
map_pins_localised_description_3k_startpos_pin_cao_cao_dong_zhuo	[[i]]{{tr:3k_startpos_label_cao_cao_dong_zhuo}}[[/i]]	false
map_pins_localised_title_3k_dlc05_startpos_pin_yuan_shu_liu_bei	{{tr:3k_startpos_label_liu_bei_header}}	false
